"","Week.number","Week.ended","Total.deaths..all.ages","Total.deaths..average.of.corresponding","All.respiratory.diseases..ICD.10.J00.J99...ICD.10.v.2001","All.Under.1.year","All.01.14","All.15.44","All.45.64","All.65.74","All.75.84","All.85.","Male.Under.1.year","Male.01.14","Male.15.44","Male.45.64","Male.65.74","Male.75.84","Male.85.","Female.Under.1.year","Female.01.14","Female.15.44","Female.45.64","Female.65.74","Female.75.84","Female.85.","North.East","North.West","Yorkshire.and.The.Humber","East.Midlands","West.Midlands","East","London","South.East","South.West","Wales","X","ICD.10.v.2010","All.respiratory.diseases..ICD.10.J00.J99...ICD.10.v.2010","All.respiratory.diseases..ICD.10.J00.J99..ICD.10.v.2013..IRIS.","ICD.10.v.2010..NCHS.","week.over.the.previous.5.years.1..England.and.Wales.","week.over.the.previous.5.years.1..England.","week.over.the.previous.5.years.1..Wales.","Deaths.where.the.underlying.cause.was.respiratory.disease..ICD.10.J00.J99.","Deaths.where.COVID.19.was.mentioned.on.the.death.certificate..ICD.10.U07.1.and.U07.2.","All..1","All.1.4","All.5.9","All.10.14","All.15.19","All.20.24","All.25.29","All.30.34","All.35.39","All.40.44","All.45.49","All.50.54","All.55.59","All.60.64","All.65.69","All.70.74","All.75.79","All.80.84","All.85.89","All.90.","Male..1","Male.1.4","Male.5.9","Male.10.14","Male.15.19","Male.20.24","Male.25.29","Male.30.34","Male.35.39","Male.40.44","Male.45.49","Male.50.54","Male.55.59","Male.60.64","Male.65.69","Male.70.74","Male.75.79","Male.80.84","Male.85.89","Male.90.","Female..1","Female.1.4","Female.5.9","Female.10.14","Female.15.19","Female.20.24","Female.25.29","Female.30.34","Female.35.39","Female.40.44","Female.45.49","Female.50.54","Female.55.59","Female.60.64","Female.65.69","Female.70.74","Female.75.79","Female.80.84","Female.85.89","Female.90.","England","Total.deaths.all.ages","Average.5.years.England.and.Wales","Average.5.years.England","Average.5.years.Wales","Respiratory.deaths"
"1",1,2010-01-08,12968,12050,2345,61,24,299,1570,2049,3952,5012,25,9,184,894,1214,2004,1683,36,15,115,676,835,1948,3329,648,1686,1317,1091,1370,1412,1226,1904,1395,879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,2010-01-15,12541,12600,2293,69,29,331,1465,1860,3883,4902,40,17,214,895,1082,1925,1719,29,12,117,570,778,1958,3183,612,1772,1163,1098,1258,1263,1262,1981,1354,758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,2010-01-22,11762,11692.2,1955,66,18,347,1392,1781,3501,4654,35,9,219,826,1045,1755,1609,31,9,128,566,736,1746,3045,550,1576,1133,963,1216,1174,1186,1877,1294,774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,2010-01-29,11056,11069.2,1698,68,21,336,1300,1666,3359,4305,39,9,222,770,976,1687,1458,29,12,114,530,690,1672,2847,555,1495,1031,938,1106,1143,1093,1856,1150,663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,2010-02-05,10524,10840.4,1635,72,18,317,1308,1588,3123,4089,32,11,203,764,914,1635,1441,40,7,114,544,674,1488,2648,556,1385,987,874,1097,1156,1035,1576,1147,688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,2010-02-12,10117,10602.4,1566,79,28,308,1239,1596,3002,3864,45,14,200,753,963,1611,1346,34,14,108,486,633,1391,2518,553,1402,941,858,1024,1032,1049,1547,1070,622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,2010-02-19,10102,10774.8,1551,71,17,329,1276,1560,3015,3834,40,3,216,760,927,1521,1373,31,14,113,516,633,1494,2461,521,1371,960,802,1029,1099,1031,1570,1069,636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,2010-02-26,10295,10715.2,1468,73,27,340,1315,1600,3106,3833,36,14,222,780,948,1551,1334,37,13,118,535,652,1555,2499,471,1363,1040,880,1020,1149,983,1594,1098,665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,2010-03-05,9981,10793.8,1412,55,31,348,1230,1547,3003,3765,33,16,235,743,940,1529,1288,22,15,113,487,607,1474,2477,535,1417,952,778,1060,1064,917,1580,1041,623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,2010-03-12,9792,10572.8,1381,45,28,334,1259,1552,2917,3653,27,20,214,726,912,1446,1297,18,8,120,533,640,1471,2356,512,1390,984,800,941,1074,960,1457,1042,607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
