"Week number","Week ended","Total deaths, all ages","Total deaths: average of corresponding","All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010","All Under 1 year","All 01-14","All 15-44","All 45-64","All 65-74","All 75-84","All 85+","Male Under 1 year","Male 01-14","Male 15-44","Male 45-64","Male 65-74","Male 75-84","Male 85+","Female Under 1 year","Female 01-14","Female 15-44","Female 45-64","Female 65-74","Female 75-84","Female 85+","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales"
"1","40914","10514","12455","1789","48","19","181","1255","1570","3140","4280","22","11","95","723","907","1608","1513","26","8","86","532","663","1532","2767","520","1442","1069","852","1002","1127","1096","1584","1139","660"
"    2.0","40921.0","11343.0","12851.4"," 1934.0","   61.0","   17.0","  282.0"," 1370.0"," 1795.0"," 3372.0"," 4393.0","   29.0","    9.0","  170.0","  784.0"," 1024.0"," 1749.0"," 1516.0","   32.0","    8.0","  112.0","  586.0","  771.0"," 1623.0"," 2877.0","  611.0"," 1452.0"," 1150.0","  922.0"," 1165.0"," 1189.0"," 1099.0"," 1836.0"," 1177.0","  707.0"
"    3.0","40928.0","10393.0","11812.8"," 1629.0","   48.0","   17.0","  279.0"," 1204.0"," 1601.0"," 3047.0"," 4197.0","   31.0","   11.0","  180.0","  727.0","  922.0"," 1570.0"," 1478.0","   17.0","    6.0","   99.0","  477.0","  679.0"," 1477.0"," 2719.0","  546.0"," 1429.0"," 1093.0","  869.0"," 1038.0"," 1050.0","  974.0"," 1652.0"," 1088.0","  635.0"
"    4.0","40935.0","10320.0","11053.6"," 1584.0","   45.0","   28.0","  285.0"," 1240.0"," 1626.0"," 3008.0"," 4088.0","   29.0","   14.0","  184.0","  733.0","  977.0"," 1575.0"," 1440.0","   16.0","   14.0","  101.0","  507.0","  649.0"," 1433.0"," 2648.0","  556.0"," 1377.0"," 1074.0","  871.0"," 1077.0"," 1047.0","  993.0"," 1569.0"," 1095.0","  644.0"
"    5.0","40942.0","10117.0","10614.6"," 1622.0","   52.0","   26.0","  280.0"," 1245.0"," 1531.0"," 2939.0"," 4044.0","   34.0","   11.0","  167.0","  739.0","  883.0"," 1513.0"," 1481.0","   18.0","   15.0","  113.0","  506.0","  648.0"," 1426.0"," 2563.0","  507.0"," 1382.0"," 1010.0","  856.0"," 1046.0"," 1105.0"," 1020.0"," 1507.0"," 1083.0","  586.0"
"    6.0","40949.0","10287.0","10316.6"," 1612.0","   50.0","   18.0","  312.0"," 1237.0"," 1650.0"," 2942.0"," 4077.0","   28.0","   12.0","  210.0","  737.0","  960.0"," 1540.0"," 1477.0","   22.0","    6.0","  102.0","  500.0","  690.0"," 1402.0"," 2600.0","  493.0"," 1354.0"," 1039.0","  890.0"," 1043.0"," 1088.0"," 1032.0"," 1597.0"," 1116.0","  622.0"
"    7.0","40956.0","10532.0","10402.2"," 1682.0","   53.0","   16.0","  290.0"," 1164.0"," 1639.0"," 3118.0"," 4252.0","   30.0","   11.0","  186.0","  683.0","  950.0"," 1601.0"," 1570.0","   23.0","    5.0","  104.0","  481.0","  689.0"," 1517.0"," 2682.0","  533.0"," 1430.0"," 1037.0","  857.0"," 1015.0"," 1102.0"," 1127.0"," 1668.0"," 1117.0","  628.0"
"    8.0","40963.0","11086.0","10326.8"," 1826.0","   75.0","   14.0","  320.0"," 1220.0"," 1667.0"," 3234.0"," 4551.0","   47.0","   12.0","  224.0","  701.0","  967.0"," 1622.0"," 1696.0","   28.0","    2.0","   96.0","  519.0","  700.0"," 1612.0"," 2855.0","  563.0"," 1465.0"," 1086.0","  935.0"," 1086.0"," 1204.0"," 1159.0"," 1787.0"," 1148.0","  630.0"
"    9.0","40970.0","10945.0","10157.8"," 1892.0","   55.0","   22.0","  278.0"," 1310.0"," 1614.0"," 3286.0"," 4374.0","   33.0","   15.0","  183.0","  767.0","  951.0"," 1686.0"," 1524.0","   22.0","    7.0","   95.0","  543.0","  663.0"," 1600.0"," 2850.0","  504.0"," 1417.0"," 1085.0","  868.0"," 1128.0"," 1182.0"," 1149.0"," 1738.0"," 1171.0","  668.0"
"   10.0","40977.0","10507.0"," 9962.4"," 1647.0","   57.0","   16.0","  318.0"," 1185.0"," 1585.0"," 3074.0"," 4270.0","   34.0","    8.0","  225.0","  685.0","  907.0"," 1600.0"," 1489.0","   23.0","    8.0","   93.0","  500.0","  678.0"," 1474.0"," 2781.0","  533.0"," 1419.0"," 1006.0","  856.0"," 1099.0"," 1155.0"," 1002.0"," 1652.0"," 1089.0","  679.0"
