"Week number","Week ended","Total deaths, all ages","Total deaths: average of corresponding","All respiratory diseases (ICD-10 J00-J99)
ICD-10 v 2013 (IRIS)","All Under 1 year","All 01-14","All 15-44","All 45-64","All 65-74","All 75-84","All 85+","Male Under 1 year","Male 01-14","Male 15-44","Male 45-64","Male 65-74","Male 75-84","Male 85+","Female Under 1 year","Female 01-14","Female 15-44","Female 45-64","Female 65-74","Female 75-84","Female 85+","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales"
"    1","43105","12723","12079"," 2361","   52","   18","  208"," 1290"," 1976"," 3612"," 5565","   32","   11","  118","  748"," 1120"," 1865"," 2080","   20","    7","   90","  542","  856"," 1747"," 3485","  640"," 1747"," 1300"," 1085"," 1313"," 1404"," 1130"," 1902"," 1393","  783"
"2","43112","15050","13167","3075","73","17","302","1561","2321","4155","6621","42","5","186","918","1347","2120","2499","31","12","116","643","974","2035","4122","837","2113","1481","1266","1468","1677","1342","2371","1552","904"
"3","43119","14256","12418","2829","59","22","286","1507","2191","3866","6325","33","12","185","888","1268","2009","2390","26","10","101","619","923","1857","3935","783","1828","1387","1175","1544","1562","1239","2287","1535","885"
"    4","43126","13935","11954"," 2672","   50","   25","  298"," 1459"," 2157"," 3824"," 6122","   26","   18","  219","  889"," 1273"," 1978"," 2264","   24","    7","   79","  570","  884"," 1846"," 3858","  779"," 1855"," 1363"," 1165"," 1433"," 1553"," 1264"," 2184"," 1460","  850"
"    5","43133","13285","11605"," 2479","   41","   14","  339"," 1404"," 1988"," 3661"," 5838","   24","    8","  216","  809"," 1186"," 1960"," 2204","   17","    6","  123","  595","  802"," 1701"," 3634","  740"," 1728"," 1285"," 1154"," 1441"," 1468"," 1208"," 2046"," 1382","  815"
"    6","43140","12495","11333"," 2197","   45","   23","  293"," 1347"," 2032"," 3376"," 5374","   26","   13","  190","  816"," 1183"," 1786"," 2043","   19","   10","  103","  531","  849"," 1590"," 3331","  663"," 1615"," 1206"," 1109"," 1335"," 1359"," 1041"," 1867"," 1378","  801"
"    7","43147","12246","11059"," 2081","   48","   17","  318"," 1377"," 1953"," 3492"," 5041","   24","   11","  196","  836"," 1168"," 1851"," 1999","   24","    6","  122","  541","  785"," 1641"," 3042","  612"," 1665"," 1230"," 1024"," 1285"," 1307"," 1171"," 1810"," 1283","  803"
"    8","43154","12142","11125"," 2128","   26","   13","  294"," 1378"," 1896"," 3398"," 5137","   18","    7","  206","  840"," 1067"," 1731"," 1915","    8","    6","   88","  538","  829"," 1667"," 3222","  671"," 1677"," 1196"," 1034"," 1251"," 1300"," 1105"," 1757"," 1314","  789"
"    9","43161","10854","11037"," 1900","   45","   11","  254"," 1229"," 1728"," 3028"," 4559","   25","    6","  168","  745","  998"," 1579"," 1751","   20","    5","   86","  484","  730"," 1449"," 2808","  551"," 1485"," 1125","  907"," 1308"," 1088"," 1060"," 1611","  997","  634"
"   10","43168","12997","10935"," 2302","   47","   27","  287"," 1362"," 2019"," 3691"," 5564","   26","   16","  195","  806"," 1158"," 1945"," 2142","   21","   11","   92","  556","  861"," 1746"," 3422","  677"," 1690"," 1192"," 1072"," 1390"," 1390"," 1177"," 1919"," 1560","  896"
"   11","43175","12788","10774"," 2271","   47","   17","  329"," 1316"," 1989"," 3594"," 5496","   25","    7","  219","  798"," 1157"," 1879"," 2075","   22","   10","  110","  518","  832"," 1715"," 3421","  614"," 1690"," 1203"," 1116"," 1343"," 1358"," 1121"," 1954"," 1414","  918"
"   12","43182","11913","10289"," 1946","   46","   15","  278"," 1349"," 1917"," 3342"," 4966","   35","    5","  182","  810"," 1133"," 1732"," 1885","   11","   10","   96","  539","  784"," 1610"," 3081","  576"," 1516"," 1124"," 1038"," 1263"," 1251"," 1095"," 1853"," 1283","  774"
