"Week.number","Week.ended","Total.deaths..all.ages","week.over.the.previous.5.years.1..England.and.Wales.","week.over.the.previous.5.years.1..England.","week.over.the.previous.5.years.1..Wales.","Deaths.where.COVID.19.was.mentioned.on.the.death.certificate..ICD.10.U07.1.and.U07.2.","North.East","North.West","Yorkshire.and.The.Humber","East.Midlands","West.Midlands","East","London","South.East","South.West","Wales","All.Under.1.year","Male.Under.1.year","Female.Under.1.year","All.01.14","Male.01.14","Female.01.14","All.15.44","Male.15.44","Female.15.44","All.45.64","Male.45.64","Female.45.64","All.65.74","Male.65.74","Female.65.74","All.75.84","Male.75.84","Female.75.84","All.85.","Male.85.","Female.85.","All.respiratory.diseases..ICD.10.J00.J99..ICD.10.v.2013..IRIS."
1,43833,12254,12175,11412,756,0,673,1806,1240,1060,1349,1162,1113,1814,1225,787,48,30,18,16,8,8,189,115,74,1201,665,536,1860,1112,748,3584,1879,1705,5355,2080,3275,2141
2,43840,14058,13822,12933,856,0,707,1932,1339,1195,1450,1573,1272,2132,1487,939,50,29,21,26,15,11,275,176,99,1500,884,616,2198,1270,928,4014,2096,1918,5994,2358,3636,2477
3,43847,12990,13216,12370,812,0,647,1696,1278,1106,1407,1457,1073,2064,1466,767,69,38,31,16,11,5,314,207,107,1518,939,579,2013,1161,852,3715,1966,1749,5345,2108,3237,2189
4,43854,11856,12760,11933,802,0,612,1529,1187,1024,1231,1410,1028,1833,1253,723,53,28,25,21,14,7,314,214,100,1356,820,536,1958,1145,813,3337,1770,1567,4814,1924,2890,1893
5,43861,11612,12206,11419,760,0,561,1461,1136,1015,1262,1286,1092,1820,1233,727,50,22,28,15,11,4,308,195,113,1348,858,490,1928,1120,808,3256,1746,1510,4707,1842,2865,1746
6,43868,10986,11925,11154,729,0,564,1529,1072,922,1052,1259,987,1729,1157,690,30,14,16,16,11,5,271,174,97,1329,784,545,1809,1049,760,3056,1588,1468,4473,1786,2687,1572
7,43875,10944,11627,10876,722,0,573,1427,1059,976,1159,1172,967,1688,1169,728,43,29,14,12,8,4,286,184,102,1288,767,521,1754,1060,694,3009,1596,1413,4556,1847,2709,1602
8,43882,10841,11548,10790,724,0,539,1477,1087,924,1116,1167,1032,1675,1118,679,51,32,19,18,11,7,321,202,119,1271,725,546,1743,998,745,3034,1672,1362,4402,1799,2603,1619
9,43889,10816,11183,10448,698,0,572,1476,1078,919,1174,1115,1085,1587,1133,651,49,30,19,20,15,5,315,203,112,1257,717,540,1793,1064,729,2968,1580,1388,4413,1826,2587,1547
10,43896,10895,11498,10745,720,0,568,1490,1112,930,1098,1149,982,1726,1170,652,56,31,25,20,10,10,312,203,109,1252,744,508,1769,1034,735,3123,1663,1460,4360,1773,2587,1583
11,43903,11019,11205,10447,727,5,590,1472,1053,915,1187,1211,964,1751,1174,675,53,24,29,22,8,14,311,198,113,1340,819,521,1753,1049,704,3104,1652,1452,4434,1820,2614,1508
12,43910,10645,10573,9841,677,103,522,1443,1012,947,1115,1043,1008,1657,1156,719,44,25,19,12,8,4,275,185,90,1264,767,497,1780,1033,747,3067,1655,1412,4204,1725,2479,1546
13,43917,11141,10130,9414,665,539,542,1538,982,922,1035,1182,1297,1822,1092,719,49,27,22,13,5,8,283,186,97,1301,764,537,1805,1089,716,3247,1793,1454,4444,1867,2577,1539
14,43924,16387,10305,9601,667,3475,770,2137,1436,1246,1812,1717,2511,2294,1520,920,51,26,25,21,7,14,288,183,105,1860,1157,703,2734,1701,1033,5005,2873,2132,6428,2847,3581,1968
15,43931,18516,10520,9807,671,6213,849,2597,1503,1452,2182,1984,2832,2604,1560,928,38,28,10,14,7,7,332,201,131,2111,1315,796,2946,1804,1142,5613,3246,2367,7462,3347,4115,1777
16,43938,22351,10497,9787,661,8758,1155,3195,1960,1632,2536,2466,3275,3084,1854,1169,51,24,27,15,7,8,353,217,136,2294,1401,893,3380,2071,1309,6657,3735,2922,9601,3990,5611,1794
17,43945,21997,10458,9768,662,8237,1103,3109,2095,1711,2481,2299,2785,3334,1924,1124,54,33,21,12,9,3,404,251,153,2283,1434,849,3238,2015,1223,6513,3621,2892,9493,3865,5628,1597
18,43952,17953,9941,9289,624,6035,922,2503,1844,1418,1975,1982,1953,2853,1554,929,48,30,18,11,5,6,345,213,132,1897,1183,714,2601,1571,1030,5142,2760,2382,7909,3095,4814,1288
19,43959,12657,9576,8937,612,3930,769,1790,1328,1094,1326,1321,1213,1887,1218,692,28,16,12,20,13,7,233,147,86,1370,847,523,1935,1129,806,3627,1979,1648,5444,2078,3366,930
20,43966,14573,10188,9526,635,3810,845,1992,1589,1283,1502,1543,1329,2251,1449,772,56,34,22,19,11,8,287,180,107,1643,987,656,2188,1290,898,4167,2293,1874,6213,2448,3765,1144
21,43973,12288,9940,9299,614,2589,718,1636,1236,1041,1319,1397,1125,1937,1177,692,51,26,25,16,12,4,339,222,117,1481,906,575,1883,1124,759,3455,1822,1633,5063,1985,3078,946
22,43980,9824,8171,7607,546,1822,550,1337,1046,863,970,1095,841,1515,1011,587,40,22,18,14,8,6,232,156,76,1123,662,461,1567,894,673,2880,1541,1339,3968,1551,2417,788
