"","Week.number","Week.ended","Total.deaths..all.ages","All.Under.1.year","All.01.14","All.15.44","All.45.64","All.65.74","All.75.84","All.85.","Male.Under.1.year","Male.01.14","Male.15.44","Male.45.64","Male.65.74","Male.75.84","Male.85.","Female.Under.1.year","Female.01.14","Female.15.44","Female.45.64","Female.65.74","Female.75.84","Female.85.","North.East","North.West","Yorkshire.and.The.Humber","East.Midlands","West.Midlands","East","London","South.East","South.West","Wales"
"1",1,2010-01-08,12968,61,24,299,1570,2049,3952,5012,25,9,184,894,1214,2004,1683,36,15,115,676,835,1948,3329,648,1686,1317,1091,1370,1412,1226,1904,1395,879
"2",2,2010-01-15,12541,69,29,331,1465,1860,3883,4902,40,17,214,895,1082,1925,1719,29,12,117,570,778,1958,3183,612,1772,1163,1098,1258,1263,1262,1981,1354,758
"3",3,2010-01-22,11762,66,18,347,1392,1781,3501,4654,35,9,219,826,1045,1755,1609,31,9,128,566,736,1746,3045,550,1576,1133,963,1216,1174,1186,1877,1294,774
"4",4,2010-01-29,11056,68,21,336,1300,1666,3359,4305,39,9,222,770,976,1687,1458,29,12,114,530,690,1672,2847,555,1495,1031,938,1106,1143,1093,1856,1150,663
"5",5,2010-02-05,10524,72,18,317,1308,1588,3123,4089,32,11,203,764,914,1635,1441,40,7,114,544,674,1488,2648,556,1385,987,874,1097,1156,1035,1576,1147,688
"6",6,2010-02-12,10117,79,28,308,1239,1596,3002,3864,45,14,200,753,963,1611,1346,34,14,108,486,633,1391,2518,553,1402,941,858,1024,1032,1049,1547,1070,622
"7",7,2010-02-19,10102,71,17,329,1276,1560,3015,3834,40,3,216,760,927,1521,1373,31,14,113,516,633,1494,2461,521,1371,960,802,1029,1099,1031,1570,1069,636
"8",8,2010-02-26,10295,73,27,340,1315,1600,3106,3833,36,14,222,780,948,1551,1334,37,13,118,535,652,1555,2499,471,1363,1040,880,1020,1149,983,1594,1098,665
"9",9,2010-03-05,9981,55,31,348,1230,1547,3003,3765,33,16,235,743,940,1529,1288,22,15,113,487,607,1474,2477,535,1417,952,778,1060,1064,917,1580,1041,623
"10",10,2010-03-12,9792,45,28,334,1259,1552,2917,3653,27,20,214,726,912,1446,1297,18,8,120,533,640,1471,2356,512,1390,984,800,941,1074,960,1457,1042,607
"11",11,2010-03-19,9729,53,24,294,1307,1572,2895,3581,34,14,189,775,922,1468,1247,19,10,105,532,650,1427,2334,529,1316,965,820,993,1005,979,1466,1015,617
"12",12,2010-03-26,9631,61,32,303,1227,1566,2870,3554,37,17,185,725,923,1488,1205,24,15,118,502,643,1382,2349,498,1292,965,792,970,1039,920,1484,1066,591
"13",13,2010-04-02,8004,50,16,230,1035,1256,2385,2971,28,8,144,614,749,1236,1067,22,8,86,421,507,1149,1904,394,1130,768,682,874,814,731,1174,921,501
"14",14,2010-04-09,9756,66,19,288,1242,1603,2958,3553,35,9,176,764,949,1538,1276,31,10,112,478,654,1420,2277,517,1357,937,850,1010,1002,981,1473,991,608
"15",15,2010-04-16,9892,63,21,321,1276,1646,3058,3496,38,8,196,780,968,1611,1193,25,13,125,496,678,1447,2303,516,1369,995,794,998,1068,950,1476,1056,639
"16",16,2010-04-23,9449,66,31,333,1243,1525,2821,3429,35,16,229,757,898,1494,1200,31,15,104,486,627,1327,2229,486,1328,880,782,971,1048,918,1438,1019,557
"17",17,2010-04-30,9503,59,19,325,1220,1564,2857,3458,33,12,220,740,912,1523,1196,26,7,105,480,652,1334,2262,516,1252,964,759,994,1021,916,1443,999,616
