"","Week.ended","signal","All.15.44","fit","upr","lwr"
"1",2010-01-08,227.215194184016,299,NA,NA,NA
"2",2010-01-15,297.881112835799,331,NA,NA,NA
"3",2010-01-22,333.658601006464,347,NA,NA,NA
"4",2010-01-29,335.135063385909,336,NA,NA,NA
"5",2010-02-05,331.155145688758,317,NA,NA,NA
"6",2010-02-12,331.114343462011,308,NA,NA,NA
"7",2010-02-19,333.577114657288,329,NA,NA,NA
"8",2010-02-26,328.867776215091,340,NA,NA,NA
"9",2010-03-05,321.498461512337,348,NA,NA,NA
"10",2010-03-12,320.982025152255,334,NA,NA,NA
"11",2010-03-19,318.364791109528,294,NA,NA,NA
"12",2010-03-26,325.445149819709,303,NA,NA,NA
"13",2010-04-02,287.973117066869,230,NA,NA,NA
"14",2010-04-09,301.424051427616,288,NA,NA,NA
"15",2010-04-16,314.303459621413,321,NA,NA,NA
"16",2010-04-23,311.268663744722,333,NA,NA,NA
"17",2010-04-30,313.78777340513,325,NA,NA,NA
"18",2010-05-07,324.483100746921,240,NA,NA,NA
"19",2010-05-14,308.157625681864,335,NA,NA,NA
"20",2010-05-21,318.475215101543,356,NA,NA,NA
"21",2010-05-28,324.113210483149,352,NA,NA,NA
"22",2010-06-04,289.592055034372,244,NA,NA,NA
"23",2010-06-11,284.467605156973,303,NA,NA,NA
"24",2010-06-18,308.903846109784,291,NA,NA,NA
"25",2010-06-25,307.778063014034,311,NA,NA,NA
"26",2010-07-02,312.845445849124,279,NA,NA,NA
"27",2010-07-09,304.884618454972,313,NA,NA,NA
"28",2010-07-16,298.306577478129,291,NA,NA,NA
"29",2010-07-23,305.644034524996,302,NA,NA,NA
"30",2010-07-30,303.08922095455,289,NA,NA,NA
"31",2010-08-06,315.26429211208,355,NA,NA,NA
"32",2010-08-13,294.255079630009,327,NA,NA,NA
"33",2010-08-20,300.776411708134,280,NA,NA,NA
"34",2010-08-27,297.541812753184,278,NA,NA,NA
"35",2010-09-03,278.148664050181,249,NA,NA,NA
"36",2010-09-10,268.317342746922,322,NA,NA,NA
"37",2010-09-17,304.172154849176,320,NA,NA,NA
"38",2010-09-24,308.19339441762,317,NA,NA,NA
"39",2010-10-01,302.295954244081,282,NA,NA,NA
"40",2010-10-08,299.441563936364,315,NA,NA,NA
"41",2010-10-15,312.754172540009,307,NA,NA,NA
"42",2010-10-22,299.878986352279,318,NA,NA,NA
"43",2010-10-29,313.965363577795,323,NA,NA,NA
"44",2010-11-05,310.432577383791,318,NA,NA,NA
"45",2010-11-12,311.88373988595,307,NA,NA,NA
"46",2010-11-19,322.045261317001,319,NA,NA,NA
"47",2010-11-26,320.813242069427,307,NA,NA,NA
"48",2010-12-03,318.610522169422,280,NA,NA,NA
"49",2010-12-10,332.689699271089,338,NA,NA,NA
"50",2010-12-17,331.957612663195,349,NA,NA,NA
"51",2010-12-24,341.98937734905,405,NA,NA,NA
"52",2010-12-31,276.18748983911,218,NA,NA,NA
"53",2011-01-07,219.587504731685,306,NA,NA,NA
"54",2011-01-14,290.143930817825,378,NA,NA,NA
"55",2011-01-21,325.69582306979,388,NA,NA,NA
"56",2011-01-28,326.842834299337,331,NA,NA,NA
"57",2011-02-04,322.52648228615,327,NA,NA,NA
"58",2011-02-11,322.109732377783,302,NA,NA,NA
"59",2011-02-18,324.190182793505,340,NA,NA,NA
"60",2011-02-25,319.05528073278,287,NA,NA,NA
"61",2011-03-04,311.352007676876,286,NA,NA,NA
"62",2011-03-11,310.611599820033,299,NA,NA,NA
"63",2011-03-18,307.822636213685,304,NA,NA,NA
"64",2011-03-25,314.687693276802,312,NA,NA,NA
"65",2011-04-01,276.95845122166,264,NA,NA,NA
"66",2011-04-08,290.05669541228,289,NA,NA,NA
"67",2011-04-15,302.557180965644,312,NA,NA,NA
"68",2011-04-22,299.137637300994,239,NA,NA,NA
