"","Week.ended","2.5%","50%","97.5%","fit"
"531",2020-03-06,2878.68969801966,3099.90791706445,3310.1323162478,3098.91537824554
"532",2020-03-13,5741.69623046573,6139.81362179871,6528.98592946132,6137.79141174272
"533",2020-03-20,8382.75287519458,8973.26080901124,9554.85115919685,8967.00531361367
"534",2020-03-27,11032.2348652124,11813.3660589715,12555.6803540024,11802.6310930765
"535",2020-04-03,13767.557080335,14778.1507874942,15732.5996132426,14768.8579878061
"536",2020-04-10,16483.336894495,17724.9716100135,18895.7106844615,17710.8860099647
"537",2020-04-17,19116.6398813335,20600.7034299351,21941.1863198256,20572.2030998493
"538",2020-04-24,21811.5013437055,23515.1781839548,25029.1893873264,23470.9279976832
"539",2020-05-01,24314.2289046834,26271.5899908097,28020.7573958014,26218.104762239
"540",2020-05-08,26827.7201665156,29043.4230211573,31004.72584569,28997.727212741
"541",2020-05-15,29383.9135046313,31868.8134371939,34080.0892940734,31808.741776818
"542",2020-05-22,31696.8647816294,34442.0218739832,36884.5375171123,34390.3728993581
"543",2020-05-29,33987.9266889864,36954.9349967844,39670.6303291055,36906.09797364
"544",2020-06-05,36429.0460958247,39753.432092683,42715.4170897883,39665.3712621524
"545",2020-06-12,38712.5942689968,42379.4404063957,45685.0659331296,42286.7553114992
"546",2020-06-19,40973.050018846,44982.4047758271,48635.0597920975,44878.6266621196
"547",2020-06-26,43263.324331403,47563.6282485157,51467.7585105333,47458.501257014
"548",2020-07-03,45441.3907959688,50103.5533791194,54343.6980582822,50023.3203029735
"549",2020-07-10,47659.9040164411,52690.4573933469,57187.2825757581,52602.0017323201
"550",2020-07-17,49802.4141469224,55218.8148115248,59959.8093790135,55129.064560347
"551",2020-07-24,52061.7845305097,57766.006931409,62784.5078349596,57663.942729619
"552",2020-07-31,54282.8671584631,60325.5281846503,65565.9658086984,60215.7140092492
"553",2020-08-07,56581.2527731946,62829.4328433286,68528.2541685061,62750.1928183873
"554",2020-08-14,58793.9559398467,65367.969717397,71384.3728006577,65297.5654853703
"555",2020-08-21,60925.0744009074,67837.5069736891,73994.1925297159,67749.0129990772
"556",2020-08-28,63056.9281930153,70279.888144472,76853.1316658563,70203.2780250507
"557",2020-09-04,65272.6889525302,72865.0665809124,79811.504448332,72779.2087295591
