"","Week.ended","signal","All.85.","fit","upr","lwr"
"1",2010-01-08,4344.83779515516,5012,NA,NA,NA
"2",2010-01-15,4734.0808911467,4902,NA,NA,NA
"3",2010-01-22,4926.01696591362,4654,NA,NA,NA
"4",2010-01-29,4507.62359544006,4305,NA,NA,NA
"5",2010-02-05,4225.56889569818,4089,NA,NA,NA
"6",2010-02-12,3997.95279911246,3864,NA,NA,NA
"7",2010-02-19,3866.17168436198,3834,NA,NA,NA
"8",2010-02-26,3830.93162016483,3833,NA,NA,NA
"9",2010-03-05,3771.23334439283,3765,NA,NA,NA
"10",2010-03-12,3654.18991854963,3653,NA,NA,NA
"11",2010-03-19,3651.28939797765,3581,NA,NA,NA
"12",2010-03-26,3555.34073127791,3554,NA,NA,NA
"13",2010-04-02,3252.44800657656,2971,NA,NA,NA
"14",2010-04-09,3269.97507662601,3553,NA,NA,NA
"15",2010-04-16,3506.96370657386,3496,NA,NA,NA
"16",2010-04-23,3475.16301943922,3429,NA,NA,NA
"17",2010-04-30,3336.01785111082,3458,NA,NA,NA
"18",2010-05-07,3343.68843803636,2955,NA,NA,NA
"19",2010-05-14,3148.04938209165,3321,NA,NA,NA
"20",2010-05-21,3285.89479514237,3361,NA,NA,NA
"21",2010-05-28,3321.60101743477,3310,NA,NA,NA
"22",2010-06-04,3051.88711814651,2996,NA,NA,NA
"23",2010-06-11,2969.91032517825,3350,NA,NA,NA
"24",2010-06-18,3201.82600461714,2923,NA,NA,NA
"25",2010-06-25,3036.2653806158,2994,NA,NA,NA
"26",2010-07-02,3105.62551672249,3306,NA,NA,NA
"27",2010-07-09,3018.789538755,2964,NA,NA,NA
"28",2010-07-16,2944.39927791679,2988,NA,NA,NA
"29",2010-07-23,2933.63374587782,2791,NA,NA,NA
"30",2010-07-30,2946.33511631279,2965,NA,NA,NA
"31",2010-08-06,2916.08126857048,2828,NA,NA,NA
"32",2010-08-13,2959.31154206968,2958,NA,NA,NA
"33",2010-08-20,3023.29000831484,3063,NA,NA,NA
"34",2010-08-27,3036.12612798469,3123,NA,NA,NA
"35",2010-09-03,2907.79867024584,2741,NA,NA,NA
"36",2010-09-10,2966.95350306954,3164,NA,NA,NA
"37",2010-09-17,3206.69574719849,3093,NA,NA,NA
"38",2010-09-24,3183.72233335933,3299,NA,NA,NA
"39",2010-10-01,3250.74460401796,3218,NA,NA,NA
"40",2010-10-08,3303.06002593099,3334,NA,NA,NA
"41",2010-10-15,3323.2613960191,3328,NA,NA,NA
"42",2010-10-22,3395.60474505687,3433,NA,NA,NA
"43",2010-10-29,3484.22027187272,3350,NA,NA,NA
"44",2010-11-05,3472.16906284882,3616,NA,NA,NA
"45",2010-11-12,3470.83311685178,3468,NA,NA,NA
"46",2010-11-19,3611.04931656094,3471,NA,NA,NA
"47",2010-11-26,3592.64629546875,3454,NA,NA,NA
"48",2010-12-03,3609.9515746605,3391,NA,NA,NA
"49",2010-12-10,3940.68487869773,4298,NA,NA,NA
"50",2010-12-17,4084.75692274661,4145,NA,NA,NA
"51",2010-12-24,4294.43542531591,4255,NA,NA,NA
"52",2010-12-31,4233.6833816268,4361.5,NA,NA,NA
"53",2011-01-07,4101.91435844411,4361.5,NA,NA,NA
"54",2011-01-14,4576.077053022,5119,NA,NA,NA
"55",2011-01-21,4753.37540438083,4476,NA,NA,NA
"56",2011-01-28,4321.76688736274,4039,NA,NA,NA
"57",2011-02-04,4047.77376069484,3897,NA,NA,NA
"58",2011-02-11,3831.99039410096,3793,NA,NA,NA
"59",2011-02-18,3686.83106008807,3581,NA,NA,NA
"60",2011-02-25,3657.7681236451,3559,NA,NA,NA
"61",2011-03-04,3631.01740095408,3497,NA,NA,NA
"62",2011-03-11,3580.84608354692,3567,NA,NA,NA
"63",2011-03-18,3648.17767407161,3671,NA,NA,NA
"64",2011-03-25,3597.74149446491,3626,NA,NA,NA
"65",2011-04-01,3332.50314861715,3428,NA,NA,NA
"66",2011-04-08,3287.61196683545,3518,NA,NA,NA
"67",2011-04-15,3476.15656946562,3401,NA,NA,NA
"68",2011-04-22,3412.95399930873,3130,NA,NA,NA
"69",2011-04-29,3305.27104008614,3009,NA,NA,NA
"70",2011-05-06,3455.44314605696,3600,NA,NA,NA
"71",2011-05-13,3260.73779614232,3697,NA,NA,NA
"72",2011-05-20,3329.61204044022,3146,NA,NA,NA
