"","Week.ended","2.5%","50%","97.5%","fit"
"531",2020-03-06,4440.29982872425,4702.81932962526,4955.86698128999,4703.23876710678
"532",2020-03-13,8911.22369629918,9309.88542856061,9707.31932742787,9310.46248341461
"533",2020-03-20,13141.2671499136,13625.525815078,14107.9660574787,13620.8423955488
"534",2020-03-27,17290.7735969073,17870.6698864485,18426.4566426257,17864.2512248142
"535",2020-04-03,21680.5177982442,22342.7167741609,22968.5209984971,22337.2105625803
"536",2020-04-10,26064.6236423332,26783.5507481706,27504.5728973168,26775.460674131
"537",2020-04-17,30269.1538711691,31058.763686189,31833.0175443849,31050.0937778221
"538",2020-04-24,34466.6070652808,35371.8517716733,36229.690735103,35349.7377420971
"539",2020-05-01,38400.1953399626,39371.5169984225,40322.118855454,39356.8205037225
"540",2020-05-08,42425.4745578737,43481.9397622565,44480.3344730752,43459.935825205
"541",2020-05-15,46468.1994498663,47582.1387282848,48652.7459170709,47567.3571165623
"542",2020-05-22,50197.9180486497,51396.4574333308,52525.0581159706,51378.6993480262
"543",2020-05-29,53782.9993134054,55095.5738883621,56270.6315971077,55065.8392415987
"544",2020-06-05,57684.9729279944,59070.6374173158,60352.3950000101,59044.9601270191
"545",2020-06-12,61405.3415479814,62845.258182074,64214.1042047684,62839.4545020959
"546",2020-06-19,65202.978798952,66682.1226599684,68125.6409426232,66677.0435298887
"547",2020-06-26,68904.7553173536,70487.970404617,71946.6622456639,70456.8540291884
"548",2020-07-03,72612.1704187012,74200.2771329433,75700.6090596372,74178.5264963541
"549",2020-07-10,76280.2197661644,77904.5880725615,79517.2520632156,77910.8864564806
"550",2020-07-17,80002.3360866131,81623.9556927436,83291.1443556557,81638.5773285849
"551",2020-07-24,83544.0795549756,85323.4817974768,87062.4166956736,85332.8862449183
"552",2020-07-31,87225.6602174967,89050.9549664317,90865.4134477521,89040.3402044011
"553",2020-08-07,90826.8691375559,92762.6929077798,94586.3645465146,92761.4390232573
"554",2020-08-14,94496.3142332366,96478.4023431604,98454.3921349188,96472.3348066712
"555",2020-08-21,98041.9853116016,100075.964973264,102109.473033555,100071.25959802
"556",2020-08-28,101576.906293386,103670.948832899,105823.192853662,103683.877812801
"557",2020-09-04,105462.815412465,107529.134532992,109675.064744983,107539.725362232
"558",2020-09-11,109164.640840992,111311.895518446,113569.880373768,111345.12460447
"559",2020-09-18,113019.712495958,115218.512067664,117546.239987607,115234.121392957
"560",2020-09-25,116888.651406264,119182.209330807,121583.778937261,119174.805566095
"561",2020-10-02,120758.657125571,123125.067631657,125602.254835842,123129.241495004
