"","Week.ended","2.5%","50%","97.5%","fit"
"531",2020-03-06,40.0248923516958,45.5480623127368,51.6324054527717,45.5702873396501
"532",2020-03-13,87.9975731907957,97.0114487982172,106.425700576333,97.0236778457987
"533",2020-03-20,131.097186725262,143.86583209508,156.203916325553,144.005440537887
"534",2020-03-27,175.793560980852,190.927833564693,206.515193510134,191.226826901271
"535",2020-04-03,223.366162483753,241.32939327232,259.335553063211,241.459494353537
"536",2020-04-10,265.612103698143,287.436504528161,309.791878182424,287.720923865693
"537",2020-04-17,311.889667115666,336.984264814862,362.302555426009,337.236597683952
"538",2020-04-24,357.622863603144,386.919384949489,414.867134347103,386.50324684955
"539",2020-05-01,402.001253403713,433.870967555124,466.181868701149,433.849988964779
"540",2020-05-08,449.301619657543,483.718348427587,518.333806384212,484.070901199769
"541",2020-05-15,496.552083888952,534.34084648899,572.150706746672,534.286418733092
"542",2020-05-22,543.371910013953,583.173650942193,624.335160773477,583.514373921755
"543",2020-05-29,580.089128495738,624.068516139554,666.678096749866,624.163759837309
"544",2020-06-05,632.533072412435,676.989912814638,724.998565427661,677.531001918277
"545",2020-06-12,675.601383123886,725.83141958794,775.463358786055,725.744508481643
"546",2020-06-19,720.98585148091,773.209962998178,827.479315223648,773.54529008819
"547",2020-06-26,761.677776281216,817.580138588446,876.379469873272,818.105148852407
"548",2020-07-03,803.378665434118,863.192449269915,925.389693169857,863.999968417001
"549",2020-07-10,846.812857874256,908.982923688709,973.511865272755,909.63469544113
"550",2020-07-17,894.700354153897,960.47817303548,1028.44386662228,960.805905505608
"551",2020-07-24,936.723159740311,1006.49600836714,1076.45670782185,1006.67205612103
"552",2020-07-31,985.842486487999,1057.04332715851,1130.2292531861,1057.655912607
"553",2020-08-07,1031.64568398918,1105.71877918113,1182.12208634285,1106.5736453787
"554",2020-08-14,1080.46016002573,1158.1859221669,1237.93351534157,1158.49498416613
"555",2020-08-21,1120.2751768024,1200.8801310947,1284.15211818224,1201.21016367849
"556",2020-08-28,1160.07327369971,1245.82032975102,1333.14340315571,1245.132603594
"557",2020-09-04,1205.10329693324,1294.4641923773,1387.67676715527,1294.42342929735
"558",2020-09-11,1250.37705089573,1343.43239647732,1436.63219573713,1342.88579485759
"559",2020-09-18,1296.65666971473,1393.19394883077,1490.89310978888,1393.35679366994
"560",2020-09-25,1342.76173120035,1444.86738927131,1546.86110784263,1443.75732767652
"561",2020-10-02,1391.53097348982,1496.57848518732,1603.40730539138,1496.31050998947
"562",2020-10-09,1435.88844757791,1545.62894173022,1653.56498948159,1544.91744864912
"563",2020-10-16,1479.72460069277,1592.6639467876,1707.14677414561,1592.11973737294
"564",2020-10-23,1525.82269703046,1643.3821086731,1760.60856983658,1642.60640317839
"565",2020-10-30,1568.58926006462,1687.97215567615,1809.5866249076,1688.37016867074
"566",2020-11-06,1612.60159522869,1738.13070003059,1867.21660183632,1738.83714201127
"567",2020-11-13,1658.1901214068,1786.40819095663,1917.72489833695,1786.91366996986
"568",2020-11-20,1703.83791500183,1834.52555671925,1966.84537678024,1834.94719157932
"569",2020-11-27,1749.90392651915,1886.32758713556,2020.34272151991,1886.74733635981
"570",2020-12-04,1795.17256968955,1934.1198897065,2073.43395677319,1933.81141900358
"571",2020-12-11,1840.54768281036,1986.84996494312,2127.96423467481,1987.17524113052
"572",2020-12-18,1877.97569912033,2025.89643596611,2172.09169269949,2026.51182926909
"573",2020-12-25,1907.91506120187,2059.63936410958,2208.39020621534,2059.99856904258
"574",2021-01-01,1951.74175704944,2109.84695509751,2260.65099962504,2110.11402768837
"575",2021-01-08,1994.99281018922,2160.57249269794,2313.77677243785,2160.34352748415
"576",2021-01-15,2042.72299785946,2210.88923596611,2371.06844665496,2210.36351201862
"577",2021-01-22,2083.51160628806,2256.41032381761,2422.97156384019,2256.09141034358
"578",2021-01-29,2129.17625971395,2307.39810306833,2476.81266909685,2306.43998661236
"579",2021-02-05,2172.17444675417,2355.41073207865,2525.7532093771,2354.92029099239
"580",2021-02-12,2218.55446744228,2402.69361900876,2577.47547037984,2403.14221407335
"581",2021-02-19,2260.74353712116,2448.09752486653,2628.93694343311,2448.81212126512
"582",2021-02-26,2298.75931809317,2490.31804901286,2672.61795456944,2491.07083856571
"583",2021-03-05,2337.40356841856,2534.93419024906,2720.54361765707,2535.1799990405
"584",2021-03-12,2382.99134934972,2585.38301300438,2776.83487694038,2585.19404897559
"585",2021-03-19,2421.24036124045,2629.89605022765,2824.07621231778,2630.73375517687
