"","Week.ended","signal","East.Midlands","fit","upr","lwr"
"1",2010-01-08,814.74147771748,1091,NA,NA,NA
"2",2010-01-15,926.968593528003,1098,NA,NA,NA
"3",2010-01-22,995.513794009681,963,NA,NA,NA
"4",2010-01-29,951.05901295942,938,NA,NA,NA
"5",2010-02-05,917.876966599496,874,NA,NA,NA
"6",2010-02-12,894.058581525634,858,NA,NA,NA
"7",2010-02-19,874.058398751473,802,NA,NA,NA
"8",2010-02-26,869.330984179709,880,NA,NA,NA
"9",2010-03-05,848.058109002421,778,NA,NA,NA
"10",2010-03-12,832.967091800435,800,NA,NA,NA
"11",2010-03-19,861.557883165583,820,NA,NA,NA
"12",2010-03-26,841.757817385208,792,NA,NA,NA
"13",2010-04-02,791.357779867617,682,NA,NA,NA
"14",2010-04-09,782.357804466004,850,NA,NA,NA
"15",2010-04-16,800.857790643154,794,NA,NA,NA
"16",2010-04-23,807.457780715578,782,NA,NA,NA
"17",2010-04-30,786.957785248201,759,NA,NA,NA
"18",2010-05-07,782.057805661032,660,NA,NA,NA
"19",2010-05-14,751.257895403546,812,NA,NA,NA
"20",2010-05-21,762.857950644123,757,NA,NA,NA
"21",2010-05-28,761.458009212058,782,NA,NA,NA
"22",2010-06-04,697.858056111994,661,NA,NA,NA
"23",2010-06-11,687.058123947568,795,NA,NA,NA
"24",2010-06-18,747.758130471405,664,NA,NA,NA
"25",2010-06-25,725.358184570444,715,NA,NA,NA
"26",2010-07-02,710.158244553002,734,NA,NA,NA
"27",2010-07-09,711.158290993274,694,NA,NA,NA
"28",2010-07-16,703.958347179578,753,NA,NA,NA
"29",2010-07-23,699.258375509884,685,NA,NA,NA
"30",2010-07-30,687.758411939046,629,NA,NA,NA
"31",2010-08-06,672.858481743391,647,NA,NA,NA
"32",2010-08-13,682.758566235533,696,NA,NA,NA
"33",2010-08-20,687.058643206447,721,NA,NA,NA
"34",2010-08-27,679.158700898439,675,NA,NA,NA
"35",2010-09-03,647.958760952599,626,NA,NA,NA
"36",2010-09-10,652.658833479488,784,NA,NA,NA
"37",2010-09-17,725.85883140369,736,NA,NA,NA
"38",2010-09-24,702.458823567628,819,NA,NA,NA
"39",2010-10-01,702.158749535381,698,NA,NA,NA
"40",2010-10-08,719.058677865335,744,NA,NA,NA
"41",2010-10-15,734.558592028437,737,NA,NA,NA
"42",2010-10-22,736.758504804805,744,NA,NA,NA
"43",2010-10-29,752.758413467958,766,NA,NA,NA
"44",2010-11-05,757.458314609794,835,NA,NA,NA
"45",2010-11-12,766.758171707414,790,NA,NA,NA
"46",2010-11-19,771.958015603519,807,NA,NA,NA
"47",2010-11-26,797.357839595532,851,NA,NA,NA
"48",2010-12-03,773.25763311843,750,NA,NA,NA
"49",2010-12-10,804.457439851821,896,NA,NA,NA
"50",2010-12-17,835.957194588408,913,NA,NA,NA
"51",2010-12-24,876.456905564146,971,NA,NA,NA
"52",2010-12-31,836.606562838749,984.5,NA,NA,NA
"53",2011-01-07,826.631988337115,984.5,NA,NA,NA
"54",2011-01-14,938.858744664379,1158,NA,NA,NA
"55",2011-01-21,1007.40355833607,989,NA,NA,NA
"56",2011-01-28,962.948382461114,931,NA,NA,NA
"57",2011-02-04,929.765952005789,877,NA,NA,NA
"58",2011-02-11,905.947187885523,827,NA,NA,NA
"59",2011-02-18,885.946650425988,843,NA,NA,NA
"60",2011-02-25,881.218864633176,756,NA,NA,NA
"61",2011-03-04,859.945695420092,789,NA,NA,NA
"62",2011-03-11,844.854384686468,815,NA,NA,NA
"63",2011-03-18,873.444880751936,809,NA,NA,NA
"64",2011-03-25,853.644532671859,790,NA,NA,NA
"65",2011-04-01,803.244220742315,762,NA,NA,NA
"66",2011-04-08,794.243932239775,801,NA,NA,NA
"67",2011-04-15,812.743639899739,772,NA,NA,NA
"68",2011-04-22,819.343370702378,714,NA,NA,NA
"69",2011-04-29,798.843161340777,726,NA,NA,NA
"70",2011-05-06,793.942993354593,805,NA,NA,NA
"71",2011-05-13,763.142819087954,848,NA,NA,NA
"72",2011-05-20,774.742596621852,678,NA,NA,NA
"73",2011-05-27,773.342429106213,721,NA,NA,NA
"74",2011-06-03,709.742291321434,682,NA,NA,NA
"75",2011-06-10,698.94216929447,739,NA,NA,NA
"76",2011-06-17,759.642024514381,708,NA,NA,NA
"77",2011-06-24,737.241909067318,738,NA,NA,NA
"78",2011-07-01,722.041793189656,707,NA,NA,NA
"79",2011-07-08,723.041685855835,731,NA,NA,NA
"80",2011-07-15,715.841574001636,684,NA,NA,NA
"81",2011-07-22,711.141480233674,674,NA,NA,NA
"82",2011-07-29,699.641407562327,684,NA,NA,NA
"83",2011-08-05,684.741343775408,746,NA,NA,NA
"84",2011-08-12,694.64124519315,687,NA,NA,NA
"85",2011-08-19,698.941150951169,643,NA,NA,NA
"86",2011-08-26,691.041088484153,735,NA,NA,NA
"87",2011-09-02,659.841001048168,606,NA,NA,NA
"88",2011-09-09,664.540944194246,739,NA,NA,NA
"89",2011-09-16,737.740845047065,703,NA,NA,NA
"90",2011-09-23,714.340765632922,716,NA,NA,NA
"91",2011-09-30,714.040685276323,727,NA,NA,NA
"92",2011-10-07,730.940597558749,722,NA,NA,NA
"93",2011-10-14,746.44051491949,745,NA,NA,NA
"94",2011-10-21,748.640433098455,685,NA,NA,NA
"95",2011-10-28,764.640387425627,775,NA,NA,NA
"96",2011-11-04,769.340335868466,838,NA,NA,NA
"97",2011-11-11,778.640245312142,769,NA,NA,NA
"98",2011-11-18,783.840160231544,768,NA,NA,NA
"99",2011-11-25,809.240084148266,787,NA,NA,NA
"100",2011-12-02,785.140020697512,745,NA,NA,NA
"101",2011-12-09,816.339980046565,827,NA,NA,NA
"102",2011-12-16,847.839933340653,849,NA,NA,NA
"103",2011-12-23,888.339885975817,949,NA,NA,NA
"104",2011-12-30,848.489804155613,780.5,NA,NA,NA
"105",2012-01-06,838.515613182344,780.5,NA,NA,NA
"106",2012-01-13,950.742875661364,922,NA,NA,NA
"107",2012-01-20,1019.28833628472,869,NA,NA,NA
"108",2012-01-27,974.833882272883,871,NA,NA,NA
"109",2012-02-03,941.652214512143,856,NA,NA,NA
"110",2012-02-10,917.834231766088,890,NA,NA,NA
"111",2012-02-17,897.834446648251,857,NA,NA,NA
"112",2012-02-24,893.10741199739,935,NA,NA,NA
"113",2012-03-02,871.834899005796,868,NA,NA,NA
"114",2012-03-09,856.744206374267,856,NA,NA,NA
"115",2012-03-16,885.335304007046,867,NA,NA,NA
"116",2012-03-23,865.535531303721,804,NA,NA,NA
"117",2012-03-30,815.135793553002,830,NA,NA,NA
"118",2012-04-06,806.136047359313,739,NA,NA,NA
"119",2012-04-13,824.636339299361,829,NA,NA,NA
"120",2012-04-20,831.236628760823,913,NA,NA,NA
"121",2012-04-27,810.736871780124,879,NA,NA,NA
"122",2012-05-04,805.837076025492,852,NA,NA,NA
