"","Week.ended","lwr","50%","upr","fit"
"531",2020-03-06,940.006577347296,979.985737164646,1029.68337906701,981.587067643549
"532",2020-03-13,1876.0537202679,1940.87675366837,2010.87597524871,1941.93827092949
"533",2020-03-20,2764.15030611897,2851.31933729458,2935.49765192854,2850.55542759755
"534",2020-03-27,3649.87593250151,3751.92281988433,3846.47485051094,3750.41370275186
"535",2020-04-03,4551.47748323195,4671.99270345166,4785.90629344095,4671.15217182745
"536",2020-04-10,5467.05183909404,5595.90627012657,5729.83839782842,5596.63450648965
"537",2020-04-17,6358.16979509844,6500.60931716386,6649.23823164266,6502.0018571967
"538",2020-04-24,7254.74027349945,7402.02044411701,7554.97883686256,7402.69112350028
"539",2020-05-01,8105.74329926647,8271.68781223499,8443.61266687983,8272.4846143525
"540",2020-05-08,8981.42597708416,9155.17318739557,9335.85952094702,9154.03040234851
"541",2020-05-15,9856.39161577146,10031.7496240102,10232.936018919,10033.716782711
"542",2020-05-22,10654.8462539371,10850.5528376739,11058.2566493537,10850.9214000022
"543",2020-05-29,11440.5968648943,11656.2146413999,11874.9049158035,11655.9599223498
"544",2020-06-05,12302.0544543974,12523.6611451925,12752.7358456678,12522.6759650209
"545",2020-06-12,13139.3780032034,13368.8583111717,13624.099493179,13367.5705591052
"546",2020-06-19,13968.8073127795,14195.8569883931,14465.5609402226,14196.5609023806
"547",2020-06-26,14781.5849253753,15029.8607808623,15307.3386258713,15027.8721542763
"548",2020-07-03,15593.8833901926,15855.5518536725,16150.2357944922,15851.7851045773
"549",2020-07-10,16399.9185147093,16673.0326100752,16970.0922641125,16671.3072454527
"550",2020-07-17,17194.2620880939,17476.5367474151,17791.4139712331,17477.9258130413
"551",2020-07-24,17974.332450289,18271.1952454999,18598.9656175512,18270.4407988826
"552",2020-07-31,18766.7941796096,19075.6706070299,19405.510627611,19072.3034844854
"553",2020-08-07,19556.4241275478,19880.4323470947,20225.8670389664,19878.6279205209
"554",2020-08-14,20343.1272827063,20670.7575091831,21040.2928443982,20675.9209227822
"555",2020-08-21,21095.3938973574,21440.505886842,21810.5118958392,21442.4091588189
"556",2020-08-28,21861.3004951663,22215.2999033716,22622.8519867733,22214.4093809984
"557",2020-09-04,22692.5700088085,23056.6398327626,23470.2079274481,23059.3420754406
"558",2020-09-11,23495.155769872,23882.1177953579,24295.9323935687,23879.7308377802
"559",2020-09-18,24297.7306442578,24705.9352779047,25138.4810891597,24700.8380174969
"560",2020-09-25,25129.6179163726,25542.3185642053,25980.6644789047,25538.4575329607
"561",2020-10-02,25965.9964865136,26397.5283261113,26836.3851686904,26391.6527012067
"562",2020-10-09,26803.0116302165,27243.7043518476,27703.7138806259,27247.4050689586
"563",2020-10-16,27660.175487834,28113.9689424829,28585.0933423154,28118.8231251882
"564",2020-10-23,28531.3349561486,28991.1090163872,29470.7717598917,28995.0389484997
"565",2020-10-30,29407.4322476511,29877.6505712706,30354.1836331617,29880.1863698038
"566",2020-11-06,30288.1856698315,30763.4695382113,31273.7511405502,30772.0887618889
"567",2020-11-13,31191.2341344987,31679.3918416461,32187.9516957958,31688.6296712563
"568",2020-11-20,32068.4576562334,32577.4516293145,33086.0083604286,32581.9307551681
"569",2020-11-27,32971.5836927251,33498.9605200534,34043.5853458362,33504.7947179859
"570",2020-12-04,33918.9414111288,34455.7045754797,35007.1558419401,34459.7720590799
"571",2020-12-11,34923.5027449174,35453.8980084441,36017.4599212726,35455.1840883789
"572",2020-12-18,35877.2671509445,36403.5435110396,36988.7978979502,36411.776705225
"573",2020-12-25,36803.4345645379,37350.3100585824,37962.8917374164,37357.2931469553
"574",2021-01-01,37852.6866823567,38412.4148830398,39022.9832820562,38415.6720148721
"575",2021-01-08,38970.6228904188,39539.2446581071,40177.3101685368,39541.7212252465
"576",2021-01-15,40042.4606596713,40622.823535315,41272.9711200826,40624.3946978905
"577",2021-01-22,41084.4176378298,41671.741501284,42333.8159757976,41671.7223180404
"578",2021-01-29,42090.2180360772,42693.6959194387,43361.1789073584,42696.0082666824
"579",2021-02-05,43081.9106375906,43696.4837008672,44376.9043606695,43701.5300233004
"580",2021-02-12,44080.1888855394,44701.1436886015,45379.4504272789,44700.6227759651
"581",2021-02-19,45041.4725553502,45675.1666799074,46371.7952548993,45680.7695946492
"582",2021-02-26,45979.9702596293,46639.7562515137,47343.1284644012,46644.9897921129
"583",2021-03-05,46964.1891767665,47628.7428846825,48363.6441244003,47638.4677292245
"584",2021-03-12,47938.8432894634,48599.0669700518,49357.6096003101,48610.7101929819
"585",2021-03-19,48831.7100672814,49518.2665596559,50294.955835437,49531.2163588149
"586",2021-03-26,49747.4897137727,50437.4730099345,51213.4728847375,50442.9636131106
"587",2021-04-02,50651.1730559204,51372.3912705667,52151.6814568079,51375.5849995113
"588",2021-04-09,51572.7082904926,52306.0301102343,53117.4186290054,52312.947696761
"589",2021-04-16,52460.2077814045,53225.8343376092,54051.2725599796,53230.1976152956
"590",2021-04-23,53369.2047921386,54138.6189456335,54992.1561518688,54142.7657884906
"591",2021-04-30,54229.0531291793,55022.3215522161,55896.5271990906,55024.4381370486
"592",2021-05-07,55130.1886909887,55917.8193635329,56791.8808851871,55917.8656611094
"593",2021-05-14,56007.0016319797,56804.7687305112,57698.3658467662,56809.4327922573
"594",2021-05-21,56812.4472305829,57631.9228094944,58532.7300813502,57638.518239968
"595",2021-05-28,57604.9503357693,58446.6465346386,59357.7950421553,58455.4362234284
"596",2021-06-04,58458.6007142217,59331.7394184526,60258.6114222015,59334.0290089753
"597",2021-06-11,59314.4244771298,60179.9303606545,61136.9069423422,60190.8017241864
"598",2021-06-18,60142.2085607171,61021.2842001899,61997.0007469182,61031.673065014
"599",2021-06-25,60962.1432425041,61871.2073869809,62863.2011454958,61874.8625271266
"600",2021-07-02,61790.6686858034,62710.1222984547,63718.9295578809,62710.6525032916
"601",2021-07-09,62611.969239465,63538.7893215995,64573.1649651055,63542.0521867095
"602",2021-07-16,63407.9745032571,64346.2835013013,65406.0087175708,64360.5416965058
"603",2021-07-23,64192.0409902082,65156.9423339956,66217.5037412143,65164.9248065934
"604",2021-07-30,64997.1261305819,65972.245273623,67066.4636532934,65978.6564826856
"605",2021-08-06,65792.4409369434,66786.7123765323,67883.2942435516,66796.8485233887
"606",2021-08-13,66578.8377948253,67605.4089472826,68698.1413090357,67606.0066021934
"607",2021-08-20,67354.9486246703,68378.3537466036,69487.5261779145,68384.3627384174
