"","Week.ended","signal","East","fit","upr","lwr"
"1",2010-01-08,980.408958878184,1412,NA,NA,NA
"2",2010-01-15,1257.99373077043,1263,NA,NA,NA
"3",2010-01-22,1286.54543609827,1174,NA,NA,NA
"4",2010-01-29,1227.97513478126,1143,NA,NA,NA
"5",2010-02-05,1210.41825547028,1156,NA,NA,NA
"6",2010-02-12,1132.75444877588,1032,NA,NA,NA
"7",2010-02-19,1119.76755156571,1099,NA,NA,NA
"8",2010-02-26,1098.5676709516,1149,NA,NA,NA
"9",2010-03-05,1101.20978916092,1064,NA,NA,NA
"10",2010-03-12,1069.13700995625,1074,NA,NA,NA
"11",2010-03-19,1058.56365134811,1005,NA,NA,NA
"12",2010-03-26,1052.17871743293,1039,NA,NA,NA
"13",2010-04-02,941.620142340057,814,NA,NA,NA
"14",2010-04-09,971.521962753611,1002,NA,NA,NA
"15",2010-04-16,1030.16902259261,1068,NA,NA,NA
"16",2010-04-23,1048.97923305337,1048,NA,NA,NA
"17",2010-04-30,978.813693320491,1021,NA,NA,NA
"18",2010-05-07,1006.70344848372,899,NA,NA,NA
"19",2010-05-14,925.460380539046,937,NA,NA,NA
"20",2010-05-21,963.631544526572,964,NA,NA,NA
"21",2010-05-28,971.393584053004,1033,NA,NA,NA
"22",2010-06-04,887.129997322033,845,NA,NA,NA
"23",2010-06-11,849.609721245498,962,NA,NA,NA
"24",2010-06-18,945.906203233711,908,NA,NA,NA
"25",2010-06-25,913.141397498601,897,NA,NA,NA
"26",2010-07-02,907.176318634086,920,NA,NA,NA
"27",2010-07-09,892.693673089094,886,NA,NA,NA
"28",2010-07-16,877.376790204794,851,NA,NA,NA
"29",2010-07-23,879.813104282268,901,NA,NA,NA
"30",2010-07-30,879.224744363977,882,NA,NA,NA
"31",2010-08-06,890.667657791099,883,NA,NA,NA
"32",2010-08-13,866.800453714688,847,NA,NA,NA
"33",2010-08-20,899.823589672368,840,NA,NA,NA
"34",2010-08-27,888.528201833673,898,NA,NA,NA
"35",2010-09-03,831.39825362062,784,NA,NA,NA
"36",2010-09-10,848.742079586226,897,NA,NA,NA
"37",2010-09-17,915.090842515317,891,NA,NA,NA
"38",2010-09-24,916.736193013067,949,NA,NA,NA
"39",2010-10-01,939.682559990262,898,NA,NA,NA
"40",2010-10-08,927.361157247679,967,NA,NA,NA
"41",2010-10-15,957.85813500351,993,NA,NA,NA
"42",2010-10-22,987.484856777923,990,NA,NA,NA
"43",2010-10-29,977.449293342549,1012,NA,NA,NA
"44",2010-11-05,977.958113418576,1043,NA,NA,NA
"45",2010-11-12,1001.7562309651,1031,NA,NA,NA
"46",2010-11-19,1019.73015345467,942,NA,NA,NA
"47",2010-11-26,1007.62899173881,985,NA,NA,NA
"48",2010-12-03,1028.28821620097,994,NA,NA,NA
"49",2010-12-10,1054.59655681689,1140,NA,NA,NA
"50",2010-12-17,1056.68995967203,1114,NA,NA,NA
"51",2010-12-24,1111.76413206242,1233,NA,NA,NA
"52",2010-12-31,951.336009633004,950,NA,NA,NA
"53",2011-01-07,968.100076366173,1323,NA,NA,NA
"54",2011-01-14,1242.4889959034,1282,NA,NA,NA
"55",2011-01-21,1266.99037083675,1146,NA,NA,NA
"56",2011-01-28,1204.57887017079,1085,NA,NA,NA
"57",2011-02-04,1184.03772120725,1120,NA,NA,NA
"58",2011-02-11,1103.6278620863,1032,NA,NA,NA
"59",2011-02-18,1087.17361930569,986,NA,NA,NA
"60",2011-02-25,1064.49757547305,947,NA,NA,NA
"61",2011-03-04,1069.82216017477,991,NA,NA,NA
"62",2011-03-11,1041.46233957723,971,NA,NA,NA
"63",2011-03-18,1036.46730211924,1075,NA,NA,NA
"64",2011-03-25,1033.38000792787,1034,NA,NA,NA
"65",2011-04-01,925.777360202774,967,NA,NA,NA
"66",2011-04-08,954.453871698238,1073,NA,NA,NA
"67",2011-04-15,1009.69469730337,963,NA,NA,NA
"68",2011-04-22,1027.19187416173,863,NA,NA,NA
"69",2011-04-29,959.755111845427,828,NA,NA,NA
"70",2011-05-06,994.681143754182,997,NA,NA,NA
"71",2011-05-13,917.749751319681,1108,NA,NA,NA
"72",2011-05-20,955.806986369821,929,NA,NA,NA
"73",2011-05-27,964.128071794285,959,NA,NA,NA
"74",2011-06-03,882.076149202599,804,NA,NA,NA
"75",2011-06-10,847.657710672099,1015,NA,NA,NA
"76",2011-06-17,945.695194180766,941,NA,NA,NA
"77",2011-06-24,913.848949857123,888,NA,NA,NA
