"","Week.ended","lwr","50%","upr","fit"
"531",2020-03-06,1075.66240304583,1171.16284393111,1269.25651508714,1171.37420969051
"532",2020-03-13,2167.42509721784,2334.14296835806,2518.98194988721,2336.7715710742
"533",2020-03-20,3142.88695467132,3388.18259573483,3655.88082419026,3392.04841697499
"534",2020-03-27,4134.98467741891,4468.94326856623,4827.08352020651,4473.08055233926
"535",2020-04-03,5170.06214171675,5608.0822108203,6051.67364971788,5611.94728097484
"536",2020-04-10,6233.26536164972,6761.7903599,7292.45335407098,6770.20414140219
"537",2020-04-17,7203.38159325698,7850.07575543896,8484.93935154195,7854.85281391093
"538",2020-04-24,8210.90069925247,8967.35643024713,9702.54835314506,8966.65870803
"539",2020-05-01,9119.94941699761,9998.59365104351,10855.8716153077,9995.13837260841
"540",2020-05-08,10078.784378685,11068.4574249667,12059.5478377694,11058.557088346
"541",2020-05-15,11032.0497335275,12120.2851491318,13237.9952468328,12127.5425129724
"542",2020-05-22,11900.0667483743,13110.0370722482,14336.0857333712,13110.0872010126
"543",2020-05-29,12771.4181269544,14053.4871395244,15406.768226075,14054.1061224217
"544",2020-06-05,13673.1050446333,15092.426352973,16594.0778722022,15096.3224702222
"545",2020-06-12,14541.0565384965,16109.0883996038,17735.1826899594,16106.6959471521
"546",2020-06-19,15410.5210951472,17117.1469028237,18868.2071252538,17108.8703965836
"547",2020-06-26,16284.9958111703,18107.2903850783,19984.9573945349,18096.3459878492
"548",2020-07-03,17073.8444096298,19094.1675206354,21091.1899382059,19066.5604646853
"549",2020-07-10,17892.804982715,20058.3674925927,22190.1026375227,20039.0236946419
"550",2020-07-17,18754.2246464999,21044.3448683554,23346.8081627011,21011.9596752155
"551",2020-07-24,19582.6771243387,22032.188713357,24426.5879011642,21994.068043547
"552",2020-07-31,20395.0182810036,22995.0833699152,25526.7579571782,22954.1651298734
"553",2020-08-07,21180.6501320354,23974.7701183817,26679.1058085566,23943.8367025581
"554",2020-08-14,21972.6612052054,24960.7026188161,27877.670317694,24919.939664859
"555",2020-08-21,22732.8532610246,25891.830210916,28980.7431623787,25835.9507126486
"556",2020-08-28,23405.0537238471,26815.9070750383,30091.2999634595,26766.5250995794
"557",2020-09-04,24204.6148829487,27803.7235680809,31251.195933488,27760.3047557364
"558",2020-09-11,24979.8727950995,28797.9313957913,32403.1920925211,28753.8594706818
"559",2020-09-18,25843.3813037559,29794.2248339225,33616.3302296314,29767.4534971826
"560",2020-09-25,26659.1667900601,30810.5210254744,34838.2073522362,30765.4377812253
"561",2020-10-02,27477.8848507466,31804.2168401374,36023.3051739036,31791.2218491726
"562",2020-10-09,28341.6635147346,32871.1709034736,37192.3709650193,32845.1840870615
"563",2020-10-16,29212.157282176,33944.2261777417,38464.9372304297,33888.9630960568
"564",2020-10-23,30138.7955513285,35026.4874223058,39707.2852805045,34932.3120789427
"565",2020-10-30,31012.7721499025,36097.2615368425,40974.2096124876,35998.8748958132
"566",2020-11-06,31912.6840624874,37169.145597624,42296.9036117365,37086.6166138614
"567",2020-11-13,32779.8007459557,38251.2391806837,43614.0216268614,38163.7869952849
"568",2020-11-20,33675.069268056,39330.2823890967,44957.2094568196,39260.0355685203
"569",2020-11-27,34660.6737351351,40433.4623778453,46269.227750113,40382.6113170568
"570",2020-12-04,35598.3059362442,41588.4834473232,47645.0839652086,41506.5615465154
"571",2020-12-11,36587.9534825343,42756.3824492577,49085.5319824805,42688.5049855933
"572",2020-12-18,37570.2546885496,43856.8934003398,50462.8601508652,43806.9544678573
"573",2020-12-25,38517.3704116761,44932.88906379,51777.7754188481,44882.2518508525
"574",2021-01-01,39570.9487143613,46135.5249939183,53119.6836208624,46096.6476454725
"575",2021-01-08,40690.9745378635,47479.7170114201,54624.7835946417,47468.3569663475
"576",2021-01-15,41803.2539029679,48791.5027699877,56072.5344694186,48788.9232339788
"577",2021-01-22,42917.9697248568,50101.1531094774,57573.9950992593,50097.1787284667
"578",2021-01-29,43930.9177812525,51350.4229488197,59124.0754364561,51332.4086032255
"579",2021-02-05,44823.0385992529,52569.4487204452,60586.1203638999,52557.0228847775
"580",2021-02-12,45798.1146771545,53779.3572748926,62093.1244719016,53761.368129953
"581",2021-02-19,46813.6908852947,54985.1295555657,63482.8984610754,54971.9133154042
"582",2021-02-26,47739.2914881782,56172.589069954,64972.4605423095,56152.47544217
"583",2021-03-05,48657.5319742499,57321.360974679,66438.5396430375,57324.0374230984
"584",2021-03-12,49527.1345132883,58514.5728348796,67845.2535502015,58489.4413627249
"585",2021-03-19,50370.8500707638,59586.9980518824,69144.3541860348,59544.2238847107
"586",2021-03-26,51233.2534669362,60671.6311680841,70444.373685204,60622.7075507264
"587",2021-04-02,52081.1281376512,61822.6353567238,71727.3465455312,61758.430362369
"588",2021-04-09,53049.6934901195,62929.7144965348,73126.106582381,62913.2775228461
"589",2021-04-16,53896.791740198,64008.3249775626,74553.5980226419,63994.7177971276
"590",2021-04-23,54738.6913217273,65112.2453388499,75944.5758032286,65103.7814282723
"591",2021-04-30,55495.4669635953,66105.4836174352,77170.6009837469,66130.3318178911
"592",2021-05-07,56266.6674517567,67145.1008157406,78550.8349296948,67192.0250133832
"593",2021-05-14,57015.4255203385,68140.0782078995,80016.4116399123,68259.5097572453
"594",2021-05-21,57733.317003328,69078.3683532606,81363.745502314,69240.3733182793
"595",2021-05-28,58403.3031460829,69988.0840299299,82661.8769893497,70182.1129251165
"596",2021-06-04,59235.8698637011,70974.9870775489,84043.2318835064,71222.3138161425
"597",2021-06-11,60056.4883647516,71949.1847604711,85324.8556716078,72230.6617577679
"598",2021-06-18,60899.9924855484,72937.9260589684,86560.527377636,73229.9130401452
"599",2021-06-25,61592.0881335164,73927.4275568007,87771.0346203198,74214.7692920744
"600",2021-07-02,62381.7727058733,74880.5768619514,89114.7570621387,75181.4763021576
"601",2021-07-09,63193.5148393236,75782.6360131701,90435.4120615283,76150.4856015491
"602",2021-07-16,63944.4027560804,76729.8321881603,91703.5736204485,77120.2245303888
"603",2021-07-23,64663.2012322542,77689.5948378537,92908.4593712699,78099.9774081702
"604",2021-07-30,65372.6645302749,78683.9347855403,94121.8483319097,79058.5717704984
"605",2021-08-06,66026.0319355742,79549.6549668959,95393.8495744852,80047.2238667638
"606",2021-08-13,66664.9377569426,80501.0471978397,96689.5335237249,81023.4625630926
"607",2021-08-20,67275.1136644831,81408.1596018278,97894.197283637,81938.6579969959
"608",2021-08-27,67867.656723753,82334.2663511776,99124.2294514561,82869.017197984
"609",2021-09-03,68481.3444190793,83357.8036046153,100396.819126686,83863.4553566894
"610",2021-09-10,69218.5303278248,84344.4807747965,101667.054993336,84857.5156275952
"611",2021-09-17,69957.2620081,85339.0895454108,103011.390191697,85872.5588789759
"612",2021-09-24,70660.4970370789,86312.1855521954,104389.304459414,86871.7488153413
"613",2021-10-01,71427.2668261186,87381.491897077,105864.262227307,87899.8636566997
"614",2021-10-08,72245.7949322551,88448.0017401945,107243.414719405,88956.7541809671
"615",2021-10-15,72895.0714044026,89565.0751649106,108691.019724313,90003.2191448005
"616",2021-10-22,73675.1258595472,90548.0189082989,110121.934199328,91048.2064920357
"617",2021-10-29,74428.7918126221,91659.4867763051,111544.896123138,92117.2682418858
"618",2021-11-05,75282.9225713283,92732.6471798561,112971.382818991,93205.9819004623
"619",2021-11-12,76099.3349484607,93846.6202744519,114436.500594596,94283.9537774548
"620",2021-11-19,76941.5130816875,94897.8753875926,115897.827486373,95381.3695029634
"621",2021-11-26,77762.3494713652,95968.0563165938,117379.098024538,96505.2107455225
"622",2021-12-03,78568.8321231806,97060.1872147071,118879.107505316,97629.6614517077
"623",2021-12-10,79379.9810982845,98156.3316665535,120442.606623955,98812.0849167348
"624",2021-12-17,80165.300901883,99251.3769888722,122066.130953415,99931.3528323861
"625",2021-12-24,80893.9937445633,100257.388645984,123637.163833988,101007.677391698
"626",2021-12-31,81730.7272140004,101452.891748355,125213.575822597,102224.21371856
"627",2022-01-07,82762.0945583963,102884.092293353,126886.40631831,103596.848027794
"628",2022-01-14,83798.9519187989,104131.877065369,128481.013942803,104918.742004926
"629",2022-01-21,84924.0894116269,105451.420999358,130055.835462465,106228.540935318
"630",2022-01-28,85785.8673868475,106697.451493593,131607.107513863,107465.294403926
"631",2022-02-04,86699.4753750961,107856.894073089,133316.125314363,108691.436183263
"632",2022-02-11,87633.3583351,108964.39496374,135020.04321027,109898.014183491
"633",2022-02-18,88529.8154532445,110102.399600586,136741.832731343,111110.58378441
"634",2022-02-25,89439.2260703656,111222.077370181,138445.599061875,112292.423246116
