"","Week.ended","signal","England","fit","upr","lwr"
"1",2010-01-08,9814.07736493845,12049,NA,NA,NA
"2",2010-01-15,10952.0441757894,11763,NA,NA,NA
"3",2010-01-22,11583.218822785,10969,NA,NA,NA
"4",2010-01-29,10912.7982038206,10367,NA,NA,NA
"5",2010-02-05,10351.4210243126,9813,NA,NA,NA
"6",2010-02-12,9943.88756334892,9476,NA,NA,NA
"7",2010-02-19,9763.72063400955,9452,NA,NA,NA
"8",2010-02-26,9601.4491161477,9598,NA,NA,NA
"9",2010-03-05,9514.80462591921,9344,NA,NA,NA
"10",2010-03-12,9273.29451602393,9160,NA,NA,NA
"11",2010-03-19,9334.80049318412,9088,NA,NA,NA
"12",2010-03-26,9120.14353349051,9026,NA,NA,NA
"13",2010-04-02,8459.87583149485,7488,NA,NA,NA
"14",2010-04-09,8450.72529072083,9118,NA,NA,NA
"15",2010-04-16,9008.81841059474,9222,NA,NA,NA
"16",2010-04-23,8949.23194836813,8870,NA,NA,NA
"17",2010-04-30,8636.09602273827,8864,NA,NA,NA
"18",2010-05-07,8793.85624192913,7765,NA,NA,NA
"19",2010-05-14,8294.68492337276,8901,NA,NA,NA
"20",2010-05-21,8544.51243924066,8579,NA,NA,NA
"21",2010-05-28,8670.00631738028,8858,NA,NA,NA
"22",2010-06-04,7946.0440843794,7623,NA,NA,NA
"23",2010-06-11,7716.35106746065,8645,NA,NA,NA
"24",2010-06-18,8480.54190538106,7967,NA,NA,NA
"25",2010-06-25,8070.54929869939,7926,NA,NA,NA
"26",2010-07-02,8107.29517888862,8362,NA,NA,NA
"27",2010-07-09,8035.09056122638,8045,NA,NA,NA
"28",2010-07-16,7889.52921066547,7944,NA,NA,NA
"29",2010-07-23,7935.00820593594,7711,NA,NA,NA
"30",2010-07-30,7864.09355635604,7683,NA,NA,NA
"31",2010-08-06,7872.20809074467,7897,NA,NA,NA
"32",2010-08-13,7885.82939446883,7784,NA,NA,NA
"33",2010-08-20,7961.82688558392,8033,NA,NA,NA
"34",2010-08-27,8009.28925182391,8089,NA,NA,NA
"35",2010-09-03,7608.26451798713,7178,NA,NA,NA
"36",2010-09-10,7733.39687356919,8385,NA,NA,NA
"37",2010-09-17,8299.66964801993,8172,NA,NA,NA
"38",2010-09-24,8254.3918971907,8352,NA,NA,NA
"39",2010-10-01,8341.86031731462,8153,NA,NA,NA
"40",2010-10-08,8441.55102901566,8601,NA,NA,NA
"41",2010-10-15,8581.96544246668,8638,NA,NA,NA
"42",2010-10-22,8680.50078481046,8670,NA,NA,NA
"43",2010-10-29,8841.63801810984,8723,NA,NA,NA
"44",2010-11-05,8816.93502698106,9075,NA,NA,NA
"45",2010-11-12,8902.92494047285,8819,NA,NA,NA
"46",2010-11-19,9178.22377024363,8816,NA,NA,NA
"47",2010-11-26,9137.78376729867,8844,NA,NA,NA
"48",2010-12-03,9222.97852043604,8553,NA,NA,NA
"49",2010-12-10,9644.13608908423,10475,NA,NA,NA
"50",2010-12-17,9870.04485199889,10171,NA,NA,NA
"51",2010-12-24,10282.0712173522,10705,NA,NA,NA
"52",2010-12-31,9899.10068568439,10359.5,NA,NA,NA
"53",2011-01-07,9511.81408861945,10359.5,NA,NA,NA
"54",2011-01-14,10703.4881762509,12333,NA,NA,NA
"55",2011-01-21,11325.8611862154,10775,NA,NA,NA
"56",2011-01-28,10641.8006332114,9876,NA,NA,NA
"57",2011-02-04,10083.583974251,9529,NA,NA,NA
"58",2011-02-11,9680.44531523438,9316,NA,NA,NA
"59",2011-02-18,9496.77383510919,9130,NA,NA,NA
"60",2011-02-25,9335.20189642284,8834,NA,NA,NA
"61",2011-03-04,9287.26780644904,8842,NA,NA,NA
"62",2011-03-11,9105.42743899881,8999,NA,NA,NA
"63",2011-03-18,9226.07875523252,9219,NA,NA,NA
"64",2011-03-25,9052.26081779982,9051,NA,NA,NA
"65",2011-04-01,8425.73916254108,8718,NA,NA,NA
"66",2011-04-08,8353.79904952311,8969,NA,NA,NA
"67",2011-04-15,8853.07920242218,8733,NA,NA,NA
"68",2011-04-22,8760.12918673054,7767,NA,NA,NA
"69",2011-04-29,8483.41934174478,7482,NA,NA,NA
"70",2011-05-06,8771.4827439869,9177,NA,NA,NA
"71",2011-05-13,8293.07887799129,9492,NA,NA,NA
"72",2011-05-20,8518.41956908766,8344,NA,NA,NA
"73",2011-05-27,8635.37978605315,8548,NA,NA,NA
"74",2011-06-03,7923.91274809455,7348,NA,NA,NA
"75",2011-06-10,7726.02520616807,8622,NA,NA,NA
"76",2011-06-17,8524.51667508902,8427,NA,NA,NA
"77",2011-06-24,8117.05499119183,8144,NA,NA,NA
"78",2011-07-01,8143.23565548561,8160,NA,NA,NA
"79",2011-07-08,8078.63611296767,8099,NA,NA,NA
"80",2011-07-15,7939.88148507979,7891,NA,NA,NA
"81",2011-07-22,8000.05968492705,7942,NA,NA,NA
"82",2011-07-29,7931.17160445029,7907,NA,NA,NA
"83",2011-08-05,7929.32938514874,8208,NA,NA,NA
"84",2011-08-12,7913.6065235265,8038,NA,NA,NA
"85",2011-08-19,7942.98437156368,7907,NA,NA,NA
"86",2011-08-26,7952.01016107576,7876,NA,NA,NA
"87",2011-09-02,7524.44045585099,7227,NA,NA,NA
"88",2011-09-09,7612.8847492157,8160,NA,NA,NA
"89",2011-09-16,8150.44866338135,8080,NA,NA,NA
"90",2011-09-23,8072.09237982066,7998,NA,NA,NA
"91",2011-09-30,8139.59415042724,8354,NA,NA,NA
"92",2011-10-07,8188.52284847774,8131,NA,NA,NA
"93",2011-10-14,8294.74427076419,8180,NA,NA,NA
"94",2011-10-21,8372.12812315397,8055,NA,NA,NA
"95",2011-10-28,8535.52942007866,8514,NA,NA,NA
"96",2011-11-04,8505.6748081405,9001,NA,NA,NA
"97",2011-11-11,8568.39475757112,8456,NA,NA,NA
"98",2011-11-18,8822.5977168604,8735,NA,NA,NA
"99",2011-11-25,8740.09006348108,8535,NA,NA,NA
"100",2011-12-02,8776.44408396286,8602,NA,NA,NA
"101",2011-12-09,9110.91950238871,9202,NA,NA,NA
"102",2011-12-16,9306.63957142086,9703,NA,NA,NA
"103",2011-12-23,9681.19163205479,10436,NA,NA,NA
"104",2011-12-30,9235.40285780028,8863.5,NA,NA,NA
"105",2012-01-06,8848.85665649651,8863.5,NA,NA,NA
"106",2012-01-13,10104.8863184552,10601,NA,NA,NA
"107",2012-01-20,10878.1666925151,9739,NA,NA,NA
"108",2012-01-27,10389.9393708766,9659,NA,NA,NA
"109",2012-02-03,10024.893767885,9516,NA,NA,NA
"110",2012-02-10,9811.43703865237,9652,NA,NA,NA
"111",2012-02-17,9801.79206009513,9886,NA,NA,NA
"112",2012-02-24,9779.80746313802,10433,NA,NA,NA
"113",2012-03-02,9783.30554630914,10242,NA,NA,NA
"114",2012-03-09,9583.86640110969,9811,NA,NA,NA
"115",2012-03-16,9661.44659783612,9416,NA,NA,NA
"116",2012-03-23,9462.76046768087,9204,NA,NA,NA
"117",2012-03-30,8831.03454425704,9023,NA,NA,NA
"118",2012-04-06,8761.54920579669,7904,NA,NA,NA
"119",2012-04-13,9375.75049186142,9309,NA,NA,NA
"120",2012-04-20,9393.64916985172,10149,NA,NA,NA
"121",2012-04-27,9094.26558790373,9555,NA,NA,NA
"122",2012-05-04,9247.9980873575,9323,NA,NA,NA
"123",2012-05-11,8660.50307629796,8259,NA,NA,NA
"124",2012-05-18,8898.96879120663,9244,NA,NA,NA
"125",2012-05-25,8989.38624636887,8980,NA,NA,NA
"126",2012-06-01,8245.4204809153,8973,NA,NA,NA
"127",2012-06-08,7915.49320778806,6273,NA,NA,NA
"128",2012-06-15,8775.79469753102,9516,NA,NA,NA
"129",2012-06-22,8366.17051342739,8475,NA,NA,NA
"130",2012-06-29,8383.93558088363,8329,NA,NA,NA
"131",2012-07-06,8316.39579624982,8319,NA,NA,NA
"132",2012-07-13,8176.05714196279,8159,NA,NA,NA
"133",2012-07-20,8232.22105392344,8100,NA,NA,NA
"134",2012-07-27,8164.982008076,8290,NA,NA,NA
"135",2012-08-03,8153.39598085347,8336,NA,NA,NA
"136",2012-08-10,8135.2654233838,8237,NA,NA,NA
"137",2012-08-17,8163.96591927519,8144,NA,NA,NA
"138",2012-08-24,8171.09110978476,8397,NA,NA,NA
"139",2012-08-31,7718.5647996569,7116,NA,NA,NA
"140",2012-09-07,7805.35326573132,8294,NA,NA,NA
"141",2012-09-14,8345.72629264942,8103,NA,NA,NA
"142",2012-09-21,8283.33507877719,8277,NA,NA,NA
"143",2012-09-28,8361.62764230502,8229,NA,NA,NA
"144",2012-10-05,8447.84829708944,8483,NA,NA,NA
"145",2012-10-12,8584.28459702354,8806,NA,NA,NA
"146",2012-10-19,8666.18963138361,8723,NA,NA,NA
"147",2012-10-26,8805.55634993212,8961,NA,NA,NA
"148",2012-11-02,8738.15263599931,8701,NA,NA,NA
"149",2012-11-09,8803.98607789076,8701,NA,NA,NA
"150",2012-11-16,9060.58403713998,9081,NA,NA,NA
"151",2012-11-23,8972.22293425598,9269,NA,NA,NA
"152",2012-11-30,8964.39849247478,9026,NA,NA,NA
"153",2012-12-07,9236.66986023283,8703,NA,NA,NA
"154",2012-12-14,9417.89485183101,9173,NA,NA,NA
"155",2012-12-21,9826.92120435587,9623,NA,NA,NA
"156",2012-12-28,9488.81997097902,9198.5,NA,NA,NA
"157",2013-01-04,9203.73124487176,9198.5,NA,NA,NA
"158",2013-01-11,10562.7361021738,11760,NA,NA,NA
"159",2013-01-18,11385.4484338958,10413,NA,NA,NA
"160",2013-01-25,10933.9216535413,10508,NA,NA,NA
"161",2013-02-01,10582.2839567365,10545,NA,NA,NA
"162",2013-02-08,10346.2207167729,10348,NA,NA,NA
"163",2013-02-15,10301.6579657321,10315,NA,NA,NA
"164",2013-02-22,10250.1672612113,10145,NA,NA,NA
"165",2013-03-01,10282.0712761696,10122,NA,NA,NA
"166",2013-03-08,10158.2900207166,10506,NA,NA,NA
"167",2013-03-15,10302.3203088544,10432,NA,NA,NA
"168",2013-03-22,10141.437803797,10322,NA,NA,NA
"169",2013-03-29,9513.96669201439,8652,NA,NA,NA
"170",2013-04-05,9529.21954547081,10097,NA,NA,NA
"171",2013-04-12,10119.3139243498,11322,NA,NA,NA
"172",2013-04-19,10016.1653501653,10898,NA,NA,NA
"173",2013-04-26,9586.07559693635,9896,NA,NA,NA
"174",2013-05-03,9620.61851024432,9490,NA,NA,NA
"175",2013-05-10,8929.6360877215,8249,NA,NA,NA
"176",2013-05-17,9085.93034433681,9217,NA,NA,NA
"177",2013-05-24,9110.51548512645,8898,NA,NA,NA
"178",2013-05-31,8316.22934105703,7751,NA,NA,NA
"179",2013-06-07,8034.70685614346,8840,NA,NA,NA
"180",2013-06-14,8756.4882735274,8297,NA,NA,NA
"181",2013-06-21,8299.95844831299,8286,NA,NA,NA
"182",2013-06-28,8280.19455804138,8034,NA,NA,NA
"183",2013-07-05,8189.73128057843,8256,NA,NA,NA
"184",2013-07-12,8021.60740167456,7966,NA,NA,NA
"185",2013-07-19,8052.92997418091,8261,NA,NA,NA
"186",2013-07-26,7934.86330842122,7896,NA,NA,NA
"187",2013-08-02,7884.96443374477,7622,NA,NA,NA
"188",2013-08-09,7862.54680107715,7742,NA,NA,NA
"189",2013-08-16,7903.93470792431,7679,NA,NA,NA
"190",2013-08-23,7939.39972211522,8028,NA,NA,NA
"191",2013-08-30,7525.69878854307,7147,NA,NA,NA
"192",2013-09-06,7634.21713471114,8300,NA,NA,NA
"193",2013-09-13,8182.79306598372,7777,NA,NA,NA
"194",2013-09-20,8141.05732768366,8057,NA,NA,NA
"195",2013-09-27,8245.94061539329,8566,NA,NA,NA
"196",2013-10-04,8324.18261319939,8575,NA,NA,NA
"197",2013-10-11,8436.17097652855,8356,NA,NA,NA
"198",2013-10-18,8516.68158520787,8589,NA,NA,NA
"199",2013-10-25,8653.46960830994,8630,NA,NA,NA
"200",2013-11-01,8597.14988475065,8533,NA,NA,NA
"201",2013-11-08,8676.12895812057,8826,NA,NA,NA
"202",2013-11-15,8926.56315044995,8949,NA,NA,NA
"203",2013-11-22,8831.88395591818,8948,NA,NA,NA
"204",2013-11-29,8831.53757600659,8984,NA,NA,NA
"205",2013-12-06,9104.34842452366,9265,NA,NA,NA
"206",2013-12-13,9233.0911380679,9357,NA,NA,NA
"207",2013-12-20,9561.47156879289,9666,NA,NA,NA
"208",2013-12-27,9119.16970056594,8428.5,NA,NA,NA
"209",2014-01-03,8760.45299041735,8428.5,NA,NA,NA
"210",2014-01-10,10070.779923838,11092,NA,NA,NA
"211",2014-01-17,10858.2578933674,10331,NA,NA,NA
"212",2014-01-24,10337.4998377888,9729,NA,NA,NA
"213",2014-01-31,9930.57342312848,9618,NA,NA,NA
"214",2014-02-07,9660.24390670335,9456,NA,NA,NA
"215",2014-02-14,9597.14781113229,9582,NA,NA,NA
"216",2014-02-21,9529.29938511939,9727,NA,NA,NA
"217",2014-02-28,9521.71721581246,9723,NA,NA,NA
"218",2014-03-07,9330.85502408328,9202,NA,NA,NA
"219",2014-03-14,9444.19719541961,9355,NA,NA,NA
"220",2014-03-21,9269.34107622812,9207,NA,NA,NA
"221",2014-03-28,8646.44562455731,8985,NA,NA,NA
"222",2014-04-04,8574.59651560823,9302,NA,NA,NA
"223",2014-04-11,9065.39934185001,8892,NA,NA,NA
"224",2014-04-18,8968.04378445141,7458,NA,NA,NA
"225",2014-04-25,8726.40250833295,8708,NA,NA,NA
"226",2014-05-02,8974.46653717583,9817,NA,NA,NA
"227",2014-05-09,8422.69061659445,8083,NA,NA,NA
"228",2014-05-16,8692.15512218715,8909,NA,NA,NA
"229",2014-05-23,8823.36029917514,8683,NA,NA,NA
"230",2014-05-30,8130.18407067426,7495,NA,NA,NA
"231",2014-06-06,7955.11358442048,8943,NA,NA,NA
"232",2014-06-13,8769.40329094259,8812,NA,NA,NA
"233",2014-06-20,8367.04010576683,8372,NA,NA,NA
"234",2014-06-27,8399.99815896535,8365,NA,NA,NA
"235",2014-07-04,8346.12884165236,8174,NA,NA,NA
"236",2014-07-11,8232.80411912997,8210,NA,NA,NA
"237",2014-07-18,8316.42082995859,8485,NA,NA,NA
"238",2014-07-25,8253.66401617004,8351,NA,NA,NA
"239",2014-08-01,8248.67415366225,8346,NA,NA,NA
"240",2014-08-08,8243.65201658334,8183,NA,NA,NA
"241",2014-08-15,8297.86156222284,8240,NA,NA,NA
"242",2014-08-22,8333.3896979259,8211,NA,NA,NA
"243",2014-08-29,7935.86410570246,7489,NA,NA,NA
"244",2014-09-05,8065.76322807973,9059,NA,NA,NA
"245",2014-09-12,8610.71396402324,8684,NA,NA,NA
"246",2014-09-19,8528.76822213374,8517,NA,NA,NA
"247",2014-09-26,8587.9211588728,8452,NA,NA,NA
"248",2014-10-03,8655.25369579806,8674,NA,NA,NA
"249",2014-10-10,8774.05467383872,8571,NA,NA,NA
"250",2014-10-17,8870.76189349658,8800,NA,NA,NA
"251",2014-10-24,9034.67283520188,8909,NA,NA,NA
"252",2014-10-31,9013.28076529715,8887,NA,NA,NA
"253",2014-11-07,9131.93210827865,9149,NA,NA,NA
"254",2014-11-14,9432.18006410866,9416,NA,NA,NA
"255",2014-11-21,9390.26360825935,8818,NA,NA,NA
"256",2014-11-28,9495.24798239172,9275,NA,NA,NA
"257",2014-12-05,9901.85156273149,9594,NA,NA,NA
"258",2014-12-12,10200.1641843738,9796,NA,NA,NA
"259",2014-12-19,10738.4407471285,10934,NA,NA,NA
"260",2014-12-26,10499.0834550341,9421,NA,NA,NA
"261",2015-01-02,10372.8961179058,9421,NA,NA,NA
"262",2015-01-09,11963.0942941104,15166,NA,NA,NA
"263",2015-01-16,12863.8393900652,13894,NA,NA,NA
"264",2015-01-23,12337.4164158878,13087,NA,NA,NA
"265",2015-01-30,11821.1152330685,12078,NA,NA,NA
"266",2015-02-06,11397.924353869,11303,NA,NA,NA
"267",2015-02-13,11173.6187232422,11090,NA,NA,NA
"268",2015-02-20,10949.7895337496,10668,NA,NA,NA
"269",2015-02-27,10822.8427987444,10712,NA,NA,NA
"270",2015-03-06,10536.4514675711,10735,NA,NA,NA
"271",2015-03-13,10529.2623729049,10272,NA,NA,NA
"272",2015-03-20,10246.7092613587,9877,NA,NA,NA
"273",2015-03-27,9539.5889455732,9806,NA,NA,NA
"274",2015-04-03,9389.02418707514,8466,NA,NA,NA
"275",2015-04-10,9927.14604084137,9408,NA,NA,NA
"276",2015-04-17,9903.51240902202,10943,NA,NA,NA
"277",2015-04-24,9540.89845347464,9906,NA,NA,NA
"278",2015-05-01,9638.70356966187,9473,NA,NA,NA
"279",2015-05-08,9013.66261564761,8242,NA,NA,NA
"280",2015-05-15,9242.84956877778,9633,NA,NA,NA
"281",2015-05-22,9320.54273908471,9362,NA,NA,NA
"282",2015-05-29,8559.97003149093,7609,NA,NA,NA
"283",2015-06-05,8341.61801664096,9483,NA,NA,NA
"284",2015-06-12,9100.90452711562,8917,NA,NA,NA
"285",2015-06-19,8660.83488094559,8694,NA,NA,NA
"286",2015-06-26,8653.93258512217,8564,NA,NA,NA
"287",2015-07-03,8564.39797851664,8641,NA,NA,NA
"288",2015-07-10,8396.41366931112,8438,NA,NA,NA
"289",2015-07-17,8420.4536258098,8197,NA,NA,NA
"290",2015-07-24,8328.05758702477,8227,NA,NA,NA
"291",2015-07-31,8308.57879666373,8048,NA,NA,NA
"292",2015-08-07,8316.39906947125,8268,NA,NA,NA
"293",2015-08-14,8382.51533041379,8575,NA,NA,NA
"294",2015-08-21,8410.83252662766,8537,NA,NA,NA
