"","Week.ended","2.5%","50%","97.5%","fit"
"531",2020-03-06,10171.941714059,10628.0490175831,11104.7364210339,10632.4938333593
"532",2020-03-13,20349.2287626963,21047.9612018945,21727.6682105352,21045.1068390652
"533",2020-03-20,29911.3608963445,30798.4817044835,31675.0033189495,30799.9937378112
"534",2020-03-27,39457.8299633621,40453.1972939204,41558.306533877,40456.0203346571
"535",2020-04-03,49482.3202409607,50653.6858166169,51879.969431062,50652.937078723
"536",2020-04-10,59472.5340000433,60787.7313047663,62147.7907631926,60770.5356826707
"537",2020-04-17,69015.8036307317,70559.9915032975,72069.7699151234,70566.9741866918
"538",2020-04-24,78794.6741808325,80505.3482548259,82112.4509975223,80520.2556972782
"539",2020-05-01,88123.8772322043,89884.7259959357,91585.5479545194,89908.1337535741
"540",2020-05-08,97552.2431709495,99506.0184385052,101394.601705815,99507.565118687
"541",2020-05-15,107073.952418264,109161.556831047,111209.949418064,109196.322870387
"542",2020-05-22,115886.58237861,118118.564462249,120420.482450979,118143.850061976
"543",2020-05-29,124451.366185062,126804.590795353,129081.804138367,126816.136653597
"544",2020-06-05,133881.554349899,136298.908164736,138695.908700323,136294.105207065
"545",2020-06-12,142938.244022822,145386.44210878,147935.794708289,145364.792182227
"546",2020-06-19,151930.296629771,154473.109547834,157158.890865983,154439.948420574
"547",2020-06-26,160868.257212263,163430.389077582,166211.489679555,163431.892794145
"548",2020-07-03,169529.326992593,172266.962259569,175287.872453641,172271.679555162
"549",2020-07-10,178254.270372799,181156.513011098,184233.622274635,181188.827552727
"550",2020-07-17,187005.485210195,189997.340337389,193304.500114912,190018.850018244
"551",2020-07-24,195605.789523898,198829.240898986,202044.770429334,198823.719469195
"552",2020-07-31,204315.024972793,207613.950899728,210995.855154868,207616.170149965
"553",2020-08-07,213149.28643501,216441.960024344,219981.561685752,216457.502974883
"554",2020-08-14,221800.571045337,225297.369733467,228905.545687236,225324.865184909
"555",2020-08-21,230188.906265218,233706.467336816,237543.192418268,233758.861933166
"556",2020-08-28,238607.246771246,242220.830794999,246258.053724859,242270.146145363
"557",2020-09-04,247536.83902157,251332.714376192,255502.439971234,251347.454593957
"558",2020-09-11,256324.849890637,260371.133456582,264377.865652382,260351.513431564
"559",2020-09-18,265339.154877403,269485.650344082,273646.741416828,269449.087196155
"560",2020-09-25,274360.346066218,278690.12808785,282992.631181505,278635.300816321
"561",2020-10-02,283549.178787337,287924.796881815,292374.246093887,287938.024228385
"562",2020-10-09,292944.008247245,297306.345311947,301750.114242624,297328.974668992
"563",2020-10-16,302256.615809311,306866.744085942,311362.783346318,306888.323176156
"564",2020-10-23,311476.64090781,316341.345271236,321060.018075585,316400.78894185
"565",2020-10-30,321105.720809127,325985.042116885,330805.547472755,326008.154589047
"566",2020-11-06,330926.652878168,335870.413929122,340729.441739897,335899.291771553
"567",2020-11-13,340612.265777016,345647.620884194,350737.528669539,345718.04374847
"568",2020-11-20,350307.817916789,355542.373487085,360751.972256099,355563.282968935
"569",2020-11-27,360545.72660143,365706.305461663,370860.373584235,365729.149870713
"570",2020-12-04,370783.237039892,376084.845386313,381234.102217104,376090.186422258
"571",2020-12-11,381553.625178885,386792.490035732,392152.727387166,386846.165164595
"572",2020-12-18,390977.33236931,396350.700854567,401803.861922554,396394.470052137
"573",2020-12-25,400824.576123449,406283.58072649,411946.27841057,406326.182351523
"574",2021-01-01,412936.5956402,418649.978488208,424358.190525777,418710.665376778
"575",2021-01-08,425086.067115155,430960.533389422,436838.736122283,431018.011823787
"576",2021-01-15,436649.226761364,442803.628994067,448782.225370081,442824.271813573
"577",2021-01-22,448148.272812197,454180.781467727,460223.52557989,454244.006659961
"578",2021-01-29,459238.03923906,465266.431099946,471306.212013016,465342.548103662
"579",2021-02-05,470100.952005898,476272.83395626,482554.137823549,476332.566374534
"580",2021-02-12,480618.834443672,487136.344456807,493568.757465253,487196.21556267
"581",2021-02-19,491304.12470939,497983.689362328,504406.970650361,498015.862082199
"582",2021-02-26,501803.398185213,508568.013919412,515182.371511184,508630.206855738
"583",2021-03-05,512480.279874341,519298.184160392,526217.523936598,519363.302860756
"584",2021-03-12,522753.288284066,529850.763842655,536772.949455694,529876.517126097
"585",2021-03-19,532340.152089863,539697.096660198,546934.745517235,539732.005473311
"586",2021-03-26,541937.724341825,549456.891893583,556868.425883602,549488.634836675
"587",2021-04-02,551964.400268459,559775.902724703,567115.915662575,559786.154505244
"588",2021-04-09,562192.764995695,570014.851052906,577609.041203773,570004.355162383
"589",2021-04-16,571798.474326008,579865.141922679,587639.741477191,579901.395339025
"590",2021-04-23,581596.085708188,589870.169873294,597847.946482374,589955.277948802
"591",2021-04-30,590945.154219861,599375.863486811,607414.805200844,599443.758672235
"592",2021-05-07,600542.529666645,609025.618449568,617373.854777676,609143.794046358
"593",2021-05-14,610328.271112826,618923.051640095,627333.018797331,618933.156603661
"594",2021-05-21,619123.88908588,627917.390904446,636668.813260242,627981.287946185
"595",2021-05-28,627527.196042368,636633.024807948,645643.989883325,636754.180223559
"596",2021-06-04,637130.229805156,646244.176687677,655272.223334566,646332.75432591
"597",2021-06-11,646278.317470483,655363.891265209,664570.312487255,655504.044814926
"598",2021-06-18,655479.613476088,664599.759744451,673758.812723386,664679.804693051
"599",2021-06-25,664475.790562748,673635.747441001,683107.632955955,673772.352357373
"600",2021-07-02,673312.239788217,682584.051772796,692154.538117674,682712.74192983
"601",2021-07-09,682078.003258552,691652.697465623,701471.057210137,691730.492555299
"602",2021-07-16,690785.334239436,700527.858815762,710437.740213954,700661.115785478
"603",2021-07-23,699550.17307054,709482.148879974,719585.278423888,709566.587265672
"604",2021-07-30,708485.4791161,718414.250469289,728640.075398057,718459.639948086
"605",2021-08-06,717221.275910354,727276.223930074,737750.125520561,727401.574624566
"606",2021-08-13,725953.220857978,736299.184738387,746805.445923628,736369.537906651
"607",2021-08-20,734131.041575463,744813.609553407,755699.770869216,744904.136921325
"608",2021-08-27,742705.76448097,753399.088765546,764485.689331687,753516.02346591
"609",2021-09-03,751534.436631593,762587.577629345,773767.489664,762693.935897313
"610",2021-09-10,760507.697659831,771727.794268189,783122.924406097,771798.598451543
"611",2021-09-17,769490.814208678,780931.225977945,792215.409991063,780996.776997501
"612",2021-09-24,778853.507424641,790199.555945622,801452.830031878,790283.595144536
"613",2021-10-01,788164.913017506,799631.447879049,811174.393699014,799686.925401013
"614",2021-10-08,797377.628433156,809111.962156846,820701.282844366,809178.481999861
"615",2021-10-15,806927.635111879,818753.465120152,830551.646328126,818838.438872476
"616",2021-10-22,816467.583784305,828383.776446641,840148.620201936,828451.513304683
"617",2021-10-29,825992.234115747,838074.854262743,849852.396678473,838159.490200568
"618",2021-11-05,836016.170628987,848171.252246644,860120.219546992,848151.239213212
"619",2021-11-12,845777.160739394,858045.017416307,870065.67565266,858070.602202861
"620",2021-11-19,855331.798618021,867945.974105944,880312.422687288,868016.451902309
"621",2021-11-26,865829.629006385,878201.503404413,890733.637208091,878282.928943276
"622",2021-12-03,876161.153190892,888682.768893301,900995.149606739,888744.577519021
"623",2021-12-10,887057.689996145,899536.561325059,912125.90468064,899601.168959463
"624",2021-12-17,896520.189524878,909137.377272576,921829.103947437,909250.088311083
"625",2021-12-24,906368.059166457,919115.167773067,932127.308814668,919282.415034762
"626",2021-12-31,918457.09588316,931570.779964173,944735.686238305,931767.511928712
"627",2022-01-07,930646.591960523,943975.122068758,957210.16244992,944175.47417557
"628",2022-01-14,942094.762121163,955908.45897151,969359.688101868,956082.350848936
"629",2022-01-21,953626.207841038,967457.648840713,981112.091781127,967602.70217681
