"","Week.ended","signal","Female.15.44","fit","upr","lwr"
"1",2010-01-08,91.6825528954283,115,NA,NA,NA
"2",2010-01-15,108.929817299147,117,NA,NA,NA
"3",2010-01-22,118.75917807924,128,NA,NA,NA
"4",2010-01-29,116.078447795888,114,NA,NA,NA
"5",2010-02-05,113.399987196853,114,NA,NA,NA
"6",2010-02-12,114.175416832802,108,NA,NA,NA
"7",2010-02-19,118.957590081345,113,NA,NA,NA
"8",2010-02-26,117.018996346367,118,NA,NA,NA
"9",2010-03-05,115.07933134628,113,NA,NA,NA
"10",2010-03-12,113.051027904445,120,NA,NA,NA
"11",2010-03-19,113.138138158238,105,NA,NA,NA
"12",2010-03-26,111.711133296797,118,NA,NA,NA
"13",2010-04-02,100.277260934453,86,NA,NA,NA
"14",2010-04-09,106.658979473778,112,NA,NA,NA
"15",2010-04-16,111.534865569035,125,NA,NA,NA
"16",2010-04-23,109.496047612315,104,NA,NA,NA
"17",2010-04-30,111.863231390681,105,NA,NA,NA
"18",2010-05-07,113.93790988153,92,NA,NA,NA
"19",2010-05-14,104.536544773917,118,NA,NA,NA
"20",2010-05-21,112.320477448033,124,NA,NA,NA
"21",2010-05-28,112.591655974943,131,NA,NA,NA
"22",2010-06-04,108.642732419044,89,NA,NA,NA
"23",2010-06-11,104.115258909556,106,NA,NA,NA
"24",2010-06-18,109.185727245276,102,NA,NA,NA
"25",2010-06-25,105.46404246195,100,NA,NA,NA
"26",2010-07-02,109.148324463789,100,NA,NA,NA
"27",2010-07-09,102.14259652099,106,NA,NA,NA
"28",2010-07-16,104.432656257731,94,NA,NA,NA
"29",2010-07-23,111.234108552093,107,NA,NA,NA
"30",2010-07-30,104.540184532356,98,NA,NA,NA
"31",2010-08-06,112.15340245493,131,NA,NA,NA
"32",2010-08-13,101.446039717776,114,NA,NA,NA
"33",2010-08-20,104.424967939287,111,NA,NA,NA
"34",2010-08-27,102.296716164662,85,NA,NA,NA
"35",2010-09-03,98.6873525648884,90,NA,NA,NA
"36",2010-09-10,95.6874756348779,112,NA,NA,NA
"37",2010-09-17,103.169785276611,105,NA,NA,NA
"38",2010-09-24,110.150096306851,90,NA,NA,NA
"39",2010-10-01,108.552411429583,97,NA,NA,NA
"40",2010-10-08,103.167341892996,111,NA,NA,NA
"41",2010-10-15,108.373719020937,105,NA,NA,NA
"42",2010-10-22,101.583780281414,118,NA,NA,NA
"43",2010-10-29,109.975914877345,116,NA,NA,NA
"44",2010-11-05,108.661471116318,114,NA,NA,NA
"45",2010-11-12,109.141197632121,104,NA,NA,NA
"46",2010-11-19,112.426538383533,111,NA,NA,NA
"47",2010-11-26,106.313436928122,104,NA,NA,NA
"48",2010-12-03,111.202861767344,93,NA,NA,NA
"49",2010-12-10,114.112164300838,126,NA,NA,NA
