"","Week.ended","2.5%","50%","97.5%","fit"
"531",2020-03-06,95.7313866004649,104.192973275621,113.358208540562,104.382435415652
"532",2020-03-13,192.438430254537,207.330990390837,221.633496940851,207.226402441381
"533",2020-03-20,279.346108669561,298.90903633104,318.167564701097,298.691994968989
"534",2020-03-27,372.221196431176,396.952059230218,421.501792784575,396.827968501283
"535",2020-04-03,468.694543173902,499.868098018502,528.592357182078,499.386740681643
"536",2020-04-10,564.349423409996,601.147507925426,633.08812597626,600.142945643667
"537",2020-04-17,662.702382015142,704.089215595844,741.972244303853,703.522147576373
"538",2020-04-24,763.155683092009,809.546926381232,853.298394589512,808.976682682973
"539",2020-05-01,853.49670878063,905.602389102971,953.881818463642,904.973437224548
"540",2020-05-08,951.12685428028,1008.83113845867,1061.4271050012,1008.49645113083
"541",2020-05-15,1050.06677573062,1112.90320706798,1173.32656560647,1112.47028926317
"542",2020-05-22,1146.16189134657,1212.59406323318,1278.71064404669,1212.53976828881
"543",2020-05-29,1236.52368341228,1308.805035472,1378.83097917187,1308.10529581492
"544",2020-06-05,1333.90080206217,1408.89783099143,1486.21343810195,1409.04908880964
"545",2020-06-12,1425.0917868921,1505.82179893047,1586.42732953044,1506.02110167751
"546",2020-06-19,1522.70991344643,1606.90229269518,1692.52246662991,1606.8375877733
"547",2020-06-26,1610.90869663694,1700.94056966308,1792.26686773539,1700.71739448783
"548",2020-07-03,1700.73039090435,1796.90729146153,1890.17721231169,1796.51151665354
"549",2020-07-10,1797.20146428577,1899.93251731698,1998.61594959428,1899.32156228617
"550",2020-07-17,1888.01796467327,1995.90744399008,2097.66232425389,1995.55107013608
"551",2020-07-24,1985.03162667012,2099.63984928335,2208.67880864682,2099.35136614936
"552",2020-07-31,2073.79118570308,2193.12277627701,2307.78425999346,2192.49434639691
"553",2020-08-07,2164.65041780286,2288.68280570582,2408.54053873934,2288.61386866577
"554",2020-08-14,2250.59969425095,2382.1480696607,2506.83703595834,2382.61232921243
"555",2020-08-21,2339.03581049289,2472.49486825311,2601.46001867214,2472.89321832581
"556",2020-08-28,2417.41019022308,2559.30504572073,2696.15058781835,2560.2850025217
