"","Week.ended","lwr","50%","upr","fit"
"531",2020-03-06,497.277135706138,524.444248539175,551.217455290677,524.796074244649
"532",2020-03-13,996.874423908004,1038.63877757959,1081.90912764775,1039.19939218102
"533",2020-03-20,1458.42587695863,1515.2591689497,1578.06444025447,1516.41078354811
"534",2020-03-27,1915.72512939171,1991.31736538359,2071.05448734916,1993.4086820701
"535",2020-04-03,2400.75329493693,2494.10136258164,2587.39423901901,2495.95164299757
"536",2020-04-10,2880.13547574625,2985.74111618705,3099.51302614658,2987.87857046727
"537",2020-04-17,3347.56260576026,3477.47369845458,3610.50242618049,3479.67892203827
"538",2020-04-24,3839.04108231187,3979.60542769687,4127.81523354929,3979.57672212815
"539",2020-05-01,4276.08914441465,4448.51089802524,4614.41646319422,4445.27508778256
"540",2020-05-08,4760.01466570699,4946.83023005279,5132.89915652944,4944.90652887983
"541",2020-05-15,5223.49178723917,5434.15996513563,5636.57799028977,5433.50019594988
"542",2020-05-22,5662.07885538859,5897.55609464309,6119.63196720538,5895.5596202994
"543",2020-05-29,6099.96066104992,6350.98167769773,6586.68367459643,6347.10775249991
"544",2020-06-05,6562.55090708,6834.29253077288,7086.91215125103,6830.4498287242
"545",2020-06-12,7019.07584425711,7311.83732538156,7597.25213623252,7308.66798932127
"546",2020-06-19,7458.12116675856,7773.67328676005,8067.12682528362,7769.71243302259
"547",2020-06-26,7901.72938319542,8248.608824655,8560.37735224327,8243.12058237811
"548",2020-07-03,8351.87496008467,8712.98790170698,9049.3167570953,8707.71522771195
"549",2020-07-10,8792.27079250435,9178.84188301602,9535.26307093012,9175.86297844344
"550",2020-07-17,9238.97515486942,9646.85569746843,10021.914879208,9640.89264081688
"551",2020-07-24,9688.02668933371,10118.654766032,10513.9761716202,10112.3049804043
"552",2020-07-31,10127.9138592848,10573.8233519429,10995.3454045523,10568.609232679
"553",2020-08-07,10560.586339739,11033.8642964626,11468.6038039079,11026.7564411828
"554",2020-08-14,11005.4252947929,11500.1124707484,11955.2285672727,11492.8051836753
"555",2020-08-21,11408.8130319638,11927.5212843289,12399.5214679194,11918.2972549673
