"","Week.ended","lwr","50%","upr","fit"
"531",2020-03-06,13.9194356495005,17.8883922060955,21.5068551182391,17.821243240927
"532",2020-03-13,35.0639157621348,40.9200795887724,46.863325184712,40.9767670299542
"533",2020-03-20,52.4319395404111,60.4352076434586,68.400049980797,60.3621624383069
"534",2020-03-27,71.542046537902,82.1947808701292,92.4349683662307,82.1001961111068
"535",2020-04-03,89.9288033874119,102.720420324474,115.072446851762,102.775909379161
"536",2020-04-10,107.73690968474,122.884435771634,137.285083970435,122.90879761898
"537",2020-04-17,126.732922557449,144.166810179522,161.90873721165,144.01499706518
"538",2020-04-24,146.410562666692,166.085796425187,186.210573440999,166.296632319678
"539",2020-05-01,164.837533708097,186.534299041637,209.714007853995,187.057525978749
"540",2020-05-08,183.75468162935,207.6148524019,233.161344792747,208.419545129481
"541",2020-05-15,202.758552618192,228.938631593456,256.293807368228,229.610784131948
"542",2020-05-22,220.368111134009,248.959186298125,278.993096636897,249.658107490447
"543",2020-05-29,236.024014380983,266.083793830593,298.724771168639,267.126201513712
"544",2020-06-05,256.34233605803,289.526420904235,323.928889563334,290.18416926975
"545",2020-06-12,276.887091929325,311.385140783714,347.555253876462,312.026044466805
"546",2020-06-19,294.333188887892,333.261038373349,371.429030423095,333.667733863883
"547",2020-06-26,310.458637406971,351.98929115632,393.540572999757,352.4948214699
"548",2020-07-03,329.98953750214,374.024745747726,417.87930080793,374.337645761278
"549",2020-07-10,347.275371485471,393.925871485254,441.953226217344,394.420386615537
"550",2020-07-17,364.319437200753,413.908970996612,464.10861445077,414.222989941214
"551",2020-07-24,381.441887799298,434.506459832427,488.023353463282,435.080340435263
"552",2020-07-31,403.334770279757,458.088157935775,512.896050883305,458.376258247773
"553",2020-08-07,423.12895584096,481.518320185357,540.013012543617,482.191687265452
"554",2020-08-14,445.733020516137,506.364236246989,567.035695446294,506.574481664474
"555",2020-08-21,460.409631633571,524.808278859037,588.274693068846,524.721419580359
"556",2020-08-28,478.644776923461,544.353107044338,611.400488955337,544.538296126487
"557",2020-09-04,498.08388737772,566.015842666971,634.512412232352,566.337113210357
"558",2020-09-11,518.075239880462,588.762260058092,660.499060989764,588.45850813358
"559",2020-09-18,538.038292145078,610.216828279209,684.722220669193,610.530162698027
"560",2020-09-25,558.705343353963,634.284363814518,710.488815469113,634.098567471316
"561",2020-10-02,582.095356664832,660.637441705022,740.309913863626,660.652886897385
"562",2020-10-09,600.962346754513,681.475891642239,765.852724535295,681.838244950279
"563",2020-10-16,618.749547184744,703.301321788121,789.134700434154,703.364906582878
"564",2020-10-23,640.052210314733,726.793823474194,816.029338204968,727.198151991792
"565",2020-10-30,656.693641203372,746.639243033111,838.98149171546,747.016462633263
"566",2020-11-06,675.620384259132,769.49501448148,866.404255730343,769.944317715555
"567",2020-11-13,694.007279063539,791.371186275449,890.986152565238,791.882933750072
"568",2020-11-20,712.474674471404,814.385161789747,916.314983255123,814.842811124103
"569",2020-11-27,730.360387290076,835.330749917479,940.730911289594,836.205178185591
"570",2020-12-04,748.131836110798,855.985368870231,963.434661365541,856.720863196181
"571",2020-12-11,766.780845632431,879.299224055951,989.100248098755,880.236206570591
"572",2020-12-18,783.308772494041,898.631520745851,1011.65575436403,899.411101917616
"573",2020-12-25,797.019457017559,914.580140030224,1032.48155046294,916.351210298346
"574",2021-01-01,812.584783880031,933.420690618346,1053.09410566277,934.897818449479
"575",2021-01-08,833.891918130444,956.566058542173,1080.24057996277,957.875362148373
"576",2021-01-15,849.9366710836,977.322054754307,1104.31662759594,978.826679530137
"577",2021-01-22,867.087226377776,997.406927028044,1127.30231490833,998.734888526225
"578",2021-01-29,887.806884672376,1019.57469615599,1154.54160691507,1021.10060205598
"579",2021-02-05,903.311758759485,1040.68455045029,1179.54032509971,1042.09048899879
"580",2021-02-12,920.791897321315,1060.40912419563,1202.59338686284,1062.17716879162
"581",2021-02-19,937.376140762325,1080.21732495161,1224.00744136732,1081.05586538926
