"","Week.ended","2.5%","50%","97.5%","fit"
"531",2020-03-06,732.919329956749,775.548454651556,820.712901596494,776.154302252784
"532",2020-03-13,1466.68692536614,1539.29781449474,1609.32474764712,1539.80889012207
"533",2020-03-20,2161.42246918015,2262.71587006819,2352.78994929301,2262.38675921824
"534",2020-03-27,2836.10438441998,2963.85164765859,3083.1755679853,2963.96490522492
"535",2020-04-03,3547.5431969808,3700.12231565475,3849.88853547003,3701.48210864685
"536",2020-04-10,4266.53821823677,4446.74086204157,4624.26621241089,4446.94255390433
"537",2020-04-17,4961.81688101849,5166.20442041843,5380.48035572214,5165.2901650574
"538",2020-04-24,5681.33526765626,5908.96938895849,6147.86413867418,5910.24191686907
"539",2020-05-01,6345.34594319,6609.66863760316,6868.82380208598,6610.38263244903
"540",2020-05-08,7031.35521602534,7317.78360413703,7606.88596959177,7317.57389705704
"541",2020-05-15,7740.64440569909,8057.56339369888,8366.81862567868,8057.90481137808
"542",2020-05-22,8388.31959616417,8731.48605422464,9067.17883304929,8736.32565768685
"543",2020-05-29,8999.05835633431,9382.37819264353,9748.49225420273,9384.4153884868
"544",2020-06-05,9699.5090143233,10108.5547581583,10509.0296359413,10109.7946747437
"545",2020-06-12,10368.5466949593,10807.0168170084,11236.8994954593,10805.6275411515
"546",2020-06-19,11035.0171797969,11511.0046962453,11977.6626494209,11508.3789514609
"547",2020-06-26,11714.3195994622,12208.0227035357,12687.1450445562,12205.4977683769
"548",2020-07-03,12371.2275009924,12899.841508861,13414.9696266762,12901.3850148049
"549",2020-07-10,13041.0161067773,13603.5153436408,14148.7640067897,13601.6339199131
"550",2020-07-17,13690.4410745023,14275.9539944704,14867.7629518597,14276.8930697098
"551",2020-07-24,14345.4020880322,14962.0226328316,15601.9915929078,14961.7703321771
"552",2020-07-31,15001.5642800646,15646.6446290954,16304.7190351975,15647.7217834359
"553",2020-08-07,15666.3549928466,16344.9387726423,17044.7716870739,16346.3975327882
"554",2020-08-14,16316.2780047499,17028.0454184848,17775.7805612502,17032.2137918461
"555",2020-08-21,16919.2871569256,17663.5205647658,18435.9495213356,17669.6858810876
"556",2020-08-28,17526.7063323554,18309.5896323753,19141.3389495985,18317.0146869641
"557",2020-09-04,18207.7793387764,19015.8252699217,19886.6318211148,19025.7211811927
"558",2020-09-11,18861.9244947832,19720.9731435871,20614.6494885938,19723.6742748348
"559",2020-09-18,19528.1117290129,20415.8001541552,21357.2781343797,20422.2701351926
"560",2020-09-25,20169.7677700546,21100.5748832113,22057.1618221515,21105.3208060107
"561",2020-10-02,20846.8837830601,21810.3833303624,22801.6291798316,21812.1401821139
"562",2020-10-09,21509.3332012551,22500.9246262627,23559.7122423372,22510.8961298415
"563",2020-10-16,22186.4090636557,23214.3051456848,24301.9416960738,23223.8785510454
"564",2020-10-23,22850.0735762987,23923.5880665643,25029.2635599537,23928.780255112
"565",2020-10-30,23520.4558550641,24638.7505724284,25762.6023977934,24636.4094965795
"566",2020-11-06,24214.6465102977,25365.8577514204,26531.1178272347,25366.4516064853
