"","Week.ended","lwr","50%","upr","fit"
"531",2020-03-06,994.683102161511,1045.12458909041,1097.53390317122,1045.85319108763
"532",2020-03-13,1985.02810200884,2071.77972998693,2154.25911843806,2070.50304283474
"533",2020-03-20,2910.57535375038,3036.07393899401,3150.97318733754,3034.39633967668
"534",2020-03-27,3844.93711559248,4004.55523567061,4154.5511018619,4002.57692975622
"535",2020-04-03,4853.17394530792,5041.12316096205,5216.49913351799,5038.70140832954
"536",2020-04-10,5836.35000864298,6062.6106219795,6268.11399701398,6060.51943450749
"537",2020-04-17,6805.55093088505,7059.01726733773,7295.71075262519,7054.58084887726
"538",2020-04-24,7771.1837599567,8075.09208660618,8354.04964583602,8071.35095362771
"539",2020-05-01,8699.26450704789,9045.30124117852,9351.5035721903,9036.75001273133
"540",2020-05-08,9658.3984438359,10046.5473022208,10394.6655566729,10037.3301855054
"541",2020-05-15,10632.6502302058,11053.4599360632,11453.8003204426,11040.8546283438
"542",2020-05-22,11533.8776037373,11984.8112687318,12410.6953248924,11971.6641122445
"543",2020-05-29,12412.757180643,12904.8391637078,13367.3620806958,12886.9685604739
"544",2020-06-05,13346.7591929291,13886.7685575542,14381.0356169675,13870.5017400388
"545",2020-06-12,14265.5319048083,14826.0440428742,15367.8370620515,14809.7454615502
"546",2020-06-19,15168.3790030319,15783.4042495458,16344.3808571538,15766.0819591154
"547",2020-06-26,16088.1401372673,16733.6995737411,17349.9919843324,16722.2468534498
"548",2020-07-03,16973.5968129868,17658.0244324734,18298.6614636825,17647.5747901798
"549",2020-07-10,17874.2384964614,18597.3902940205,19286.5904259045,18587.2636076206
"550",2020-07-17,18739.726130156,19533.2925492481,20266.0300969841,19516.2998017813
"551",2020-07-24,19635.0466808926,20460.0377949317,21229.3572984656,20444.2617205387
"552",2020-07-31,20516.8776114803,21368.8322827383,22171.7714342733,21355.6312018376
"553",2020-08-07,21399.5659837894,22294.2528865519,23120.708584135,22280.8777706609
"554",2020-08-14,22318.613913616,23225.0976510358,24128.7687051423,23222.0182750754
"555",2020-08-21,23124.0465993356,24107.5785283803,25049.570311958,24100.5212966816
"556",2020-08-28,23970.2856477386,25012.9030911351,25990.9084361305,25003.1650081076
"557",2020-09-04,24888.9425851034,25969.7266700137,26995.6916064354,25964.8486167495
"558",2020-09-11,25810.2699295505,26900.5603941275,27973.7287037859,26902.8777815984
"559",2020-09-18,26707.430663561,27866.2068641433,28968.6316122122,27857.9656376632
"560",2020-09-25,27601.5469788396,28796.5812266109,29939.3199308413,28791.8094123634
"561",2020-10-02,28521.4301654863,29758.84512733,30945.8616863829,29753.1519401975
"562",2020-10-09,29453.5197803461,30723.5950315387,31966.8988666331,30726.2791169031
"563",2020-10-16,30396.3765739361,31692.7296749848,32998.1591336653,31692.8902474025
"564",2020-10-23,31319.124771886,32676.551442998,34028.8161492736,32674.9022335672
"565",2020-10-30,32258.8242122946,33648.4313726246,35067.740720891,33651.1636881672
"566",2020-11-06,33194.604770172,34654.8306788783,36105.4655036939,34651.7884148097
"567",2020-11-13,34137.6187343436,35637.3487874469,37114.4485546156,35639.3931713023
"568",2020-11-20,35092.5735736862,36642.9169769802,38187.6100925121,36647.1893202979
"569",2020-11-27,36068.2212325117,37668.6908051587,39250.6555386331,37669.3425667171
"570",2020-12-04,37044.00819561,38692.093242143,40327.3645510952,38691.8158634221
"571",2020-12-11,38056.7092617784,39788.1439144522,41460.3569843924,39772.5762895756
"572",2020-12-18,39005.3418338264,40792.5764734975,42501.8579199096,40781.3777594191
"573",2020-12-25,39934.1322762237,41762.6800143163,43529.3681422283,41758.9617472176
"574",2021-01-01,40957.0716612811,42844.1015528232,44664.6059013375,42837.9416169775
"575",2021-01-08,42089.4399545002,44023.3027809187,45937.7296678465,44025.653268409
"576",2021-01-15,43125.2721156149,45152.6100666818,47114.0726039368,45157.8385434159
"577",2021-01-22,44198.8512811859,46264.8720803628,48272.6101746621,46268.1957821146
"578",2021-01-29,45236.0524862848,47332.2720003099,49415.7199987172,47351.6333458874
"579",2021-02-05,46223.8436586126,48403.9254128239,50533.929832868,48434.0220592979
"580",2021-02-12,47225.5746665563,49462.114702029,51656.9628492624,49494.9523634113
"581",2021-02-19,48222.5437106748,50513.5091468905,52761.6924002301,50540.550579408
"582",2021-02-26,49231.1416325767,51561.0298270784,53867.6002275209,51592.990633755
"583",2021-03-05,50229.9133921903,52623.6583539263,54987.5339267802,52648.781549649
"584",2021-03-12,51192.5921885137,53665.4163046617,56075.9944500288,53683.4390724963
"585",2021-03-19,52129.1645901926,54645.4359002539,57103.2663244141,54657.1065673849
"586",2021-03-26,53025.3268831707,55625.3536002525,58171.5081774248,55635.228887707
"587",2021-04-02,54015.4091817651,56656.4442089046,59273.9162607723,56681.3299776699
"588",2021-04-09,54968.1161378887,57682.0547325148,60369.2485949604,57713.2017664506
"589",2021-04-16,55929.4427993132,58706.8630837203,61440.0730727832,58717.339148518
"590",2021-04-23,56930.5784068578,59736.4688033741,62549.9887686353,59744.2568273461
"591",2021-04-30,57844.1464573621,60710.3075774386,63588.8872580546,60719.8405037832
"592",2021-05-07,58805.0318954457,61727.3121552042,64674.939433983,61730.6483599667
"593",2021-05-14,59741.613109359,62739.4189879751,65744.4419534398,62744.3601767531
"594",2021-05-21,60588.5000408877,63671.4206139418,66764.2584551085,63685.434569773
"595",2021-05-28,61465.9205073019,64610.6788364649,67770.8552868801,64610.6461822586
"596",2021-06-04,62412.5555156184,65608.9584837808,68812.2463891186,65603.8782224658
"597",2021-06-11,63310.5487419157,66558.8381334607,69829.7822089056,66552.7884864228
"598",2021-06-18,64222.8278438891,67528.3341924545,70854.8172837709,67518.7524143684
"599",2021-06-25,65121.1298397583,68501.9577318628,71885.9284104367,68484.1898356204
"600",2021-07-02,65986.526721503,69433.9593388947,72873.4224283529,69418.7114528779
"601",2021-07-09,66898.8174685111,70386.396363443,73884.2099755592,70367.4823179776
"602",2021-07-16,67764.8932432856,71328.5971985881,74901.8119982122,71305.8489729728
"603",2021-07-23,68641.6304011615,72262.9841909545,75917.0451435727,72243.0966586203
"604",2021-07-30,69490.024726501,73187.5271512229,76881.6629763254,73163.6269459432
"605",2021-08-06,70373.0318887085,74121.9763272128,77863.9292293126,74098.1581783195
"606",2021-08-13,71241.391908507,75068.9795062081,78876.0977195231,75048.4969019355
"607",2021-08-20,72052.9683790852,75944.1545257295,79869.6655128671,75936.0691086866
"608",2021-08-27,72902.5691793918,76849.1684988542,80854.5439964692,76847.6957902922
"609",2021-09-03,73805.3628209957,77826.1627869487,81870.9177079966,77818.3364724549
"610",2021-09-10,74698.6582556993,78778.2698208611,82885.7465792081,78765.4850803156
"611",2021-09-17,75601.4496030339,79746.4639694567,83927.1319550412,79729.6251833043
"612",2021-09-24,76464.6257558914,80691.2877034458,84925.1070518541,80672.345984668
"613",2021-10-01,77362.4554086288,81655.8860740923,85960.2458275782,81642.743734346
"614",2021-10-08,78284.48700705,82643.8699208384,87037.7887706935,82624.7288738787
"615",2021-10-15,79167.0989013886,83614.423890517,88067.5414519928,83600.1027719003
"616",2021-10-22,80072.4603264233,84593.7558026735,89102.3185736381,84591.0574528681
"617",2021-10-29,80990.680251327,85577.5204928407,90166.18269592,85576.1979067601
"618",2021-11-05,81904.5161244929,86589.1625951877,91232.1705844246,86585.5153230043
"619",2021-11-12,82834.0329662612,87576.1080643185,92348.5431499722,87581.6705766109
"620",2021-11-19,83798.5181207954,88592.4216540733,93440.9346690807,88598.0708299324
"621",2021-11-26,84746.3470136045,89639.0624444262,94535.8913786335,89628.8316582376
"622",2021-12-03,85689.7953996377,90662.7098134187,95662.0443253362,90659.9462614219
"623",2021-12-10,86700.8603242842,91743.6266214618,96834.088710588,91749.3329274991
"624",2021-12-17,87627.5735927627,92762.3446272332,97940.2232430062,92767.1488183199
"625",2021-12-24,88548.3902548984,93747.8186547819,98969.1358446317,93753.9069753065
"626",2021-12-31,89579.3707818353,94830.3944259189,100112.980049052,94841.7827108755
"627",2022-01-07,90741.7225845107,96033.4870129937,101346.409675565,96038.4512803908
"628",2022-01-14,91816.2359498164,97173.2165666638,102539.684559959,97179.7009829215
"629",2022-01-21,92884.3522605904,98296.0191666478,103707.946455436,98299.1301958009
"630",2022-01-28,93905.1143612524,99391.8854210415,104831.591632213,99391.466386517
