"","Week.ended","signal","Male.75.84","fit","upr","lwr"
"1",2010-01-08,1581.84358735829,2004,NA,NA,NA
"2",2010-01-15,1764.87159070309,1925,NA,NA,NA
"3",2010-01-22,1840.73936529086,1755,NA,NA,NA
"4",2010-01-29,1775.96892974829,1687,NA,NA,NA
"5",2010-02-05,1695.99995876781,1635,NA,NA,NA
"6",2010-02-12,1649.14392495588,1611,NA,NA,NA
"7",2010-02-19,1600.35918978103,1521,NA,NA,NA
"8",2010-02-26,1577.55986523645,1551,NA,NA,NA
"9",2010-03-05,1575.5778771667,1529,NA,NA,NA
"10",2010-03-12,1524.80264611025,1446,NA,NA,NA
"11",2010-03-19,1548.18487808518,1468,NA,NA,NA
"12",2010-03-26,1505.79968414111,1488,NA,NA,NA
"13",2010-04-02,1417.0840959024,1236,NA,NA,NA
"14",2010-04-09,1437.68070403786,1538,NA,NA,NA
"15",2010-04-16,1509.40340402966,1611,NA,NA,NA
"16",2010-04-23,1502.50414517276,1494,NA,NA,NA
"17",2010-04-30,1463.52480346054,1523,NA,NA,NA
"18",2010-05-07,1482.00806637575,1327,NA,NA,NA
"19",2010-05-14,1403.12257240741,1511,NA,NA,NA
"20",2010-05-21,1418.57884120164,1375,NA,NA,NA
"21",2010-05-28,1446.47450092384,1480,NA,NA,NA
"22",2010-06-04,1310.10896604963,1209,NA,NA,NA
"23",2010-06-11,1267.54704589093,1424,NA,NA,NA
"24",2010-06-18,1426.89952743384,1327,NA,NA,NA
"25",2010-06-25,1343.61012586257,1283,NA,NA,NA
"26",2010-07-02,1339.30081453104,1296,NA,NA,NA
"27",2010-07-09,1328.02043505173,1430,NA,NA,NA
"28",2010-07-16,1329.30368982689,1353,NA,NA,NA
"29",2010-07-23,1325.39551392485,1338,NA,NA,NA
"30",2010-07-30,1303.51317029476,1288,NA,NA,NA
"31",2010-08-06,1306.71441608432,1344,NA,NA,NA
"32",2010-08-13,1316.81301677522,1258,NA,NA,NA
"33",2010-08-20,1326.62410232094,1372,NA,NA,NA
"34",2010-08-27,1318.42819353288,1319,NA,NA,NA
"35",2010-09-03,1271.41077397699,1177,NA,NA,NA
"36",2010-09-10,1272.14499007946,1373,NA,NA,NA
"37",2010-09-17,1343.58514503331,1334,NA,NA,NA
"38",2010-09-24,1341.18588322842,1303,NA,NA,NA
"39",2010-10-01,1356.82313485105,1319,NA,NA,NA
"40",2010-10-08,1388.18325368246,1401,NA,NA,NA
"41",2010-10-15,1392.36121977506,1412,NA,NA,NA
"42",2010-10-22,1436.80039527,1423,NA,NA,NA
"43",2010-10-29,1454.45872735984,1454,NA,NA,NA
"44",2010-11-05,1428.53431629844,1459,NA,NA,NA
"45",2010-11-12,1475.16381772995,1489,NA,NA,NA
"46",2010-11-19,1510.97281629663,1485,NA,NA,NA
"47",2010-11-26,1493.05888534606,1483,NA,NA,NA
"48",2010-12-03,1515.02335925729,1413,NA,NA,NA
"49",2010-12-10,1577.42584641064,1762,NA,NA,NA
"50",2010-12-17,1610.18484482976,1642,NA,NA,NA
"51",2010-12-24,1640.84699002104,1743,NA,NA,NA
"52",2010-12-31,1548.66624464414,1632.5,NA,NA,NA
"53",2011-01-07,1509.9974013727,1632.5,NA,NA,NA
"54",2011-01-14,1695.26358670272,1901,NA,NA,NA
"55",2011-01-21,1771.65381734221,1660,NA,NA,NA
"56",2011-01-28,1708.38071273158,1593,NA,NA,NA
"57",2011-02-04,1630.90265663847,1521,NA,NA,NA
"58",2011-02-11,1588.37720662279,1507,NA,NA,NA
"59",2011-02-18,1545.5494465799,1523,NA,NA,NA
"60",2011-02-25,1526.56997339216,1424,NA,NA,NA
"61",2011-03-04,1531.26725832307,1450,NA,NA,NA
"62",2011-03-11,1488.47627890366,1477,NA,NA,NA
"63",2011-03-18,1517.3100142238,1524,NA,NA,NA
"64",2011-03-25,1477.10818110998,1477,NA,NA,NA
"65",2011-04-01,1389.91041765761,1415,NA,NA,NA
"66",2011-04-08,1404.26881007023,1484,NA,NA,NA
"67",2011-04-15,1470.52779759176,1426,NA,NA,NA
"68",2011-04-22,1463.66187479908,1305,NA,NA,NA
"69",2011-04-29,1430.36464761622,1233,NA,NA,NA
"70",2011-05-06,1464.19207432237,1580,NA,NA,NA
"71",2011-05-13,1390.46292665644,1528,NA,NA,NA
"72",2011-05-20,1409.9597765599,1466,NA,NA,NA
"73",2011-05-27,1438.14845122565,1387,NA,NA,NA
"74",2011-06-03,1305.26127771845,1227,NA,NA,NA
"75",2011-06-10,1265.31821252544,1422,NA,NA,NA
"76",2011-06-17,1427.28094055953,1412,NA,NA,NA
"77",2011-06-24,1343.41852177084,1372,NA,NA,NA
