"","Week.ended","signal","Male.85.","fit","upr","lwr"
"1",2010-01-08,1430.97631259728,1683,NA,NA,NA
"2",2010-01-15,1586.3390317903,1719,NA,NA,NA
"3",2010-01-22,1710.3709990551,1609,NA,NA,NA
"4",2010-01-29,1563.03234205645,1458,NA,NA,NA
"5",2010-02-05,1479.04968380002,1441,NA,NA,NA
"6",2010-02-12,1416.81969625404,1346,NA,NA,NA
"7",2010-02-19,1368.67307574356,1373,NA,NA,NA
"8",2010-02-26,1380.24624883014,1334,NA,NA,NA
"9",2010-03-05,1309.70082566373,1288,NA,NA,NA
"10",2010-03-12,1278.47537657866,1297,NA,NA,NA
"11",2010-03-19,1283.84328567663,1247,NA,NA,NA
"12",2010-03-26,1246.1072748153,1205,NA,NA,NA
"13",2010-04-02,1150.28799259898,1067,NA,NA,NA
"14",2010-04-09,1140.76189510253,1276,NA,NA,NA
"15",2010-04-16,1233.41247895163,1193,NA,NA,NA
"16",2010-04-23,1234.57640639332,1200,NA,NA,NA
"17",2010-04-30,1170.18527463632,1196,NA,NA,NA
"18",2010-05-07,1194.0529330009,1092,NA,NA,NA
"19",2010-05-14,1126.8059837662,1211,NA,NA,NA
"20",2010-05-21,1175.53103424081,1179,NA,NA,NA
"21",2010-05-28,1164.03990546676,1145,NA,NA,NA
"22",2010-06-04,1086.78189894882,1082,NA,NA,NA
"23",2010-06-11,1057.03543505708,1222,NA,NA,NA
"24",2010-06-18,1176.34237973273,1121,NA,NA,NA
"25",2010-06-25,1082.48422494401,1050,NA,NA,NA
"26",2010-07-02,1099.85969607962,1149,NA,NA,NA
"27",2010-07-09,1062.22313045374,1053,NA,NA,NA
"28",2010-07-16,1053.85895904509,1067,NA,NA,NA
"29",2010-07-23,1046.13941156262,991,NA,NA,NA
"30",2010-07-30,1044.02456311917,1008,NA,NA,NA
"31",2010-08-06,1009.37014000545,1018,NA,NA,NA
"32",2010-08-13,1038.5316008303,1031,NA,NA,NA
"33",2010-08-20,1049.11375765722,1039,NA,NA,NA
"34",2010-08-27,1081.60083329593,1120,NA,NA,NA
"35",2010-09-03,1037.07414454674,1005,NA,NA,NA
"36",2010-09-10,1029.92006209642,1097,NA,NA,NA
"37",2010-09-17,1139.38454011931,1077,NA,NA,NA
"38",2010-09-24,1120.03178634486,1171,NA,NA,NA
"39",2010-10-01,1142.29500434547,1128,NA,NA,NA
"40",2010-10-08,1186.58530722227,1191,NA,NA,NA
"41",2010-10-15,1190.91870744876,1222,NA,NA,NA
"42",2010-10-22,1202.3272369358,1215,NA,NA,NA
"43",2010-10-29,1252.35006971357,1190,NA,NA,NA
"44",2010-11-05,1232.450541526,1295,NA,NA,NA
"45",2010-11-12,1234.7437054204,1239,NA,NA,NA
"46",2010-11-19,1272.10353618595,1212,NA,NA,NA
"47",2010-11-26,1300.60672364706,1244,NA,NA,NA
"48",2010-12-03,1280.3329449772,1206,NA,NA,NA
"49",2010-12-10,1389.91984731459,1546,NA,NA,NA
"50",2010-12-17,1420.98215144793,1427,NA,NA,NA
"51",2010-12-24,1480.24900467179,1471,NA,NA,NA
"52",2010-12-31,1462.14210217523,1527,NA,NA,NA
"53",2011-01-07,1398.13676662625,1527,NA,NA,NA
"54",2011-01-14,1561.71795567989,1760,NA,NA,NA
"55",2011-01-21,1684.20403071212,1601,NA,NA,NA
"56",2011-01-28,1532.61625155003,1374,NA,NA,NA
"57",2011-02-04,1452.35771274212,1368,NA,NA,NA
"58",2011-02-11,1400.74244122146,1411,NA,NA,NA
"59",2011-02-18,1351.14630794604,1297,NA,NA,NA
"60",2011-02-25,1369.97073707285,1321,NA,NA,NA
"61",2011-03-04,1307.08197155388,1265,NA,NA,NA
"62",2011-03-11,1286.54587784296,1228,NA,NA,NA
"63",2011-03-18,1314.07116944379,1352,NA,NA,NA
"64",2011-03-25,1287.36651175683,1323,NA,NA,NA
"65",2011-04-01,1191.15962035969,1197,NA,NA,NA
"66",2011-04-08,1167.98368528101,1271,NA,NA,NA
"67",2011-04-15,1251.7790073952,1207,NA,NA,NA
"68",2011-04-22,1244.73740893901,1117,NA,NA,NA
"69",2011-04-29,1186.00303175469,1091,NA,NA,NA
"70",2011-05-06,1233.50502747047,1298,NA,NA,NA
"71",2011-05-13,1165.11022437867,1309,NA,NA,NA
"72",2011-05-20,1203.80474115247,1126,NA,NA,NA
"73",2011-05-27,1194.37653934576,1191,NA,NA,NA
"74",2011-06-03,1116.85076381347,1058,NA,NA,NA
"75",2011-06-10,1094.88193347924,1251,NA,NA,NA
"76",2011-06-17,1223.28286339346,1197,NA,NA,NA
"77",2011-06-24,1134.19466173947,1123,NA,NA,NA
"78",2011-07-01,1153.17221653469,1176,NA,NA,NA
