"","Week.ended","2.5%","50%","97.5%","fit"
"531",2020-03-06,1650.14763221646,1796.21024921972,1941.97466466147,1795.58094571404
"532",2020-03-13,3263.43135314839,3549.41644181445,3841.11772474808,3550.47426230696
"533",2020-03-20,4759.69042621177,5192.33524559587,5624.7252238937,5196.83306956398
"534",2020-03-27,6234.34174356968,6803.52013885142,7384.33802905764,6811.45809278577
"535",2020-04-03,7788.03021419163,8509.62828055615,9252.69695831735,8521.15535220811
"536",2020-04-10,9294.71444869732,10222.5401250491,11197.1549399134,10226.1482987168
"537",2020-04-17,10695.751815811,11835.4202817143,13046.6464371183,11854.2625878265
"538",2020-04-24,12172.1343843035,13479.6751771729,14893.9294006013,13499.5639506938
"539",2020-05-01,13543.0320825984,15037.2572393014,16711.8741366226,15054.6349088103
"540",2020-05-08,14956.0707391156,16631.4592308397,18488.6885649084,16648.2648663592
"541",2020-05-15,16340.2742471748,18207.4976099576,20262.322129526,18221.6498025814
"542",2020-05-22,17630.2764763162,19679.9217075275,21973.99442536,19705.1705123115
"543",2020-05-29,18852.8587849996,21131.9827467368,23588.7479862574,21146.7241721312
"544",2020-06-05,20155.750511596,22733.7460329776,25349.3501746013,22721.910603755
"545",2020-06-12,21319.9608210784,24215.2805131572,27110.8484660142,24202.8823196363
"546",2020-06-19,22546.6081499874,25717.1971371184,28828.1202983541,25698.7152430241
"547",2020-06-26,23704.7372940021,27186.3630750747,30566.5817479098,27164.0074504325
"548",2020-07-03,24892.640341083,28654.096621852,32225.5080115494,28626.3153015203
"549",2020-07-10,26115.3396211561,30104.2551484623,33914.1164550302,30085.7650720711
"550",2020-07-17,27294.9608477271,31548.6843629055,35649.9225209992,31539.9783805941
"551",2020-07-24,28451.6798980467,32978.43479023,37416.1469145773,32953.0076035845
"552",2020-07-31,29576.5663874775,34398.0504896368,39240.6249482386,34388.8365291473
"553",2020-08-07,30716.6295286657,35828.3803109859,40976.8003028123,35828.857133929
"554",2020-08-14,31895.0453577448,37299.2815500275,42691.754333402,37287.8239511083
"555",2020-08-21,32916.3830970665,38706.8016265928,44402.6984995921,38698.1462918829
"556",2020-08-28,34002.1027295057,40108.0689428724,46084.6969669362,40091.6437534511
"557",2020-09-04,35171.9472725318,41619.7635024247,47851.1763880832,41599.2680412739
"558",2020-09-11,36376.6486099715,43078.9703950633,49633.8559847596,43079.362027466
"559",2020-09-18,37622.7363968604,44563.0029260839,51517.9812385252,44579.5642535744
"560",2020-09-25,38858.8757460801,46152.5932709733,53402.4312471913,46126.3029577183
"561",2020-10-02,40041.7372819035,47690.0356168107,55329.3375525075,47677.3201864201
"562",2020-10-09,41246.8497013664,49249.2838348997,57228.5663735417,49241.3951950491
"563",2020-10-16,42580.1352682681,50939.4198426715,59182.5308129392,50865.5811369496
"564",2020-10-23,44024.9784364053,52564.1872016857,61067.7783714089,52465.0103548779
"565",2020-10-30,45191.0239846415,54146.6697176683,63066.5518450847,54072.3770359318
"566",2020-11-06,46574.9713269158,55776.2924889993,65093.3116012304,55723.2704516014
"567",2020-11-13,47714.1206144238,57406.6517541307,67127.2251575144,57401.8521013789
"568",2020-11-20,49254.7979528701,59013.4511513458,69309.005943847,59049.4761350233
"569",2020-11-27,50774.7707417249,60727.279355383,71184.7887066143,60784.8924217678
"570",2020-12-04,52081.202198156,62483.0060654594,73186.0316883063,62550.8030099752
"571",2020-12-11,53562.2359693224,64329.0323725728,75365.6848629353,64377.4696307692
"572",2020-12-18,54741.0587075466,65991.7449084264,77570.1592366794,66048.7300619947
"573",2020-12-25,56075.6206205742,67716.9922523413,79748.9233347495,67767.4261701235
"574",2021-01-01,57692.6819548385,69829.3594391096,82334.0138707959,69880.571552691
"575",2021-01-08,59346.8305441064,71990.5920416048,84991.4895382056,72010.9713799119
"576",2021-01-15,60899.304170872,74030.4158253354,87583.1643676136,74033.3184597761
"577",2021-01-22,62470.7903781746,76027.6786130475,89803.0533762209,75998.7862346673
"578",2021-01-29,64032.6334886765,77949.6663057793,92155.5810854002,77922.241355752
"579",2021-02-05,65488.4767480629,79823.3998644625,94605.2341508543,79808.818491141
"580",2021-02-12,66939.2635818641,81740.9857059091,96993.7796517812,81714.6728693649
"581",2021-02-19,68257.1419834477,83551.7072429568,99308.2546325419,83554.508542241
"582",2021-02-26,69430.7189252084,85474.0402800489,101324.739191806,85362.0387200376
"583",2021-03-05,70859.9436237736,87257.5955999755,103623.387178414,87181.9447718928
