"","Week.ended","signal","Male.Under.1.year","fit","upr","lwr"
"1",2010-01-08,27.8710017184529,25,NA,NA,NA
"2",2010-01-15,35.6459464259988,40,NA,NA,NA
"3",2010-01-22,35.235710073211,35,NA,NA,NA
"4",2010-01-29,37.4165648633731,39,NA,NA,NA
"5",2010-02-05,33.9598330418661,32,NA,NA,NA
"6",2010-02-12,36.0500694542233,45,NA,NA,NA
"7",2010-02-19,35.5879387903912,40,NA,NA,NA
"8",2010-02-26,36.1224004455099,36,NA,NA,NA
"9",2010-03-05,34.7478657282309,33,NA,NA,NA
"10",2010-03-12,32.465590076088,27,NA,NA,NA
"11",2010-03-19,35.1757637289455,34,NA,NA,NA
"12",2010-03-26,35.6713448376371,37,NA,NA,NA
"13",2010-04-02,34.9658997518127,28,NA,NA,NA
"14",2010-04-09,32.7658348190389,35,NA,NA,NA
"15",2010-04-16,36.8640443158376,38,NA,NA,NA
"16",2010-04-23,33.4613764506787,35,NA,NA,NA
"17",2010-04-30,35.7575202207033,33,NA,NA,NA
"18",2010-05-07,34.2557937774539,32,NA,NA,NA
"19",2010-05-14,33.8558096096044,33,NA,NA,NA
"20",2010-05-21,36.3564864312673,35,NA,NA,NA
"21",2010-05-28,36.5582109430882,43,NA,NA,NA
"22",2010-06-04,36.3549601017916,30,NA,NA,NA
"23",2010-06-11,30.3566175507656,30,NA,NA,NA
"24",2010-06-18,37.6585504353724,32,NA,NA,NA
"25",2010-06-25,33.864853734207,37,NA,NA,NA
"26",2010-07-02,33.4687355846508,31,NA,NA,NA
"27",2010-07-09,33.174524177333,34,NA,NA,NA
"28",2010-07-16,31.379675208979,36,NA,NA,NA
"29",2010-07-23,32.9812577059913,33,NA,NA,NA
"30",2010-07-30,38.7828257272839,40,NA,NA,NA
"31",2010-08-06,32.5834536569719,28,NA,NA,NA
"32",2010-08-13,35.1876216436593,38,NA,NA,NA
"33",2010-08-20,32.4896174736217,26,NA,NA,NA
"34",2010-08-27,35.0966255972565,28,NA,NA,NA
"35",2010-09-03,31.9091148408062,26,NA,NA,NA
"36",2010-09-10,31.4261680234553,33,NA,NA,NA
"37",2010-09-17,34.9420056478544,37,NA,NA,NA
"38",2010-09-24,33.9562537683867,30,NA,NA,NA
"39",2010-10-01,35.8735575244494,43,NA,NA,NA
"40",2010-10-08,34.2853571313578,38,NA,NA,NA
"41",2010-10-15,33.4942877123153,35,NA,NA,NA
"42",2010-10-22,35.0020553476592,23,NA,NA,NA
"43",2010-10-29,33.1190928400204,27,NA,NA,NA
"44",2010-11-05,34.4408564492053,38,NA,NA,NA
"45",2010-11-12,33.7598711332383,28,NA,NA,NA
"46",2010-11-19,35.2833344871281,32,NA,NA,NA
"47",2010-11-26,33.8093337434403,32,NA,NA,NA
"48",2010-12-03,32.8367304491575,22,NA,NA,NA
"49",2010-12-10,38.2724969664508,38,NA,NA,NA
"50",2010-12-17,34.2084739483561,35,NA,NA,NA
"51",2010-12-24,37.7438395905272,39,NA,NA,NA
"52",2010-12-31,29.1282350299248,24,NA,NA,NA
"53",2011-01-07,27.5294911195281,24,NA,NA,NA
"54",2011-01-14,35.3433006766284,35,NA,NA,NA
"55",2011-01-21,34.9755572021782,34,NA,NA,NA
"56",2011-01-28,37.1994762958967,43,NA,NA,NA
"57",2011-02-04,33.7825516851466,31,NA,NA,NA
"58",2011-02-11,35.9132307397738,39,NA,NA,NA
"59",2011-02-18,35.4960711648162,41,NA,NA,NA
"60",2011-02-25,36.0746605985195,33,NA,NA,NA
"61",2011-03-04,34.7465338550671,37,NA,NA,NA
"62",2011-03-11,32.5075757248851,44,NA,NA,NA
"63",2011-03-18,35.2479692790231,40,NA,NA,NA
"64",2011-03-25,35.7691919225921,45,NA,NA,NA
"65",2011-04-01,35.0832850980365,31,NA,NA,NA
"66",2011-04-08,32.900532022395,35,NA,NA,NA
"67",2011-04-15,37.0161574104915,42,NA,NA,NA
"68",2011-04-22,33.6279334988754,30,NA,NA,NA
"69",2011-04-29,35.9425116427264,24,NA,NA,NA
"70",2011-05-06,34.4663136546684,41,NA,NA,NA
"71",2011-05-13,34.0850693360898,45,NA,NA,NA
"72",2011-05-20,36.5953948075451,39,NA,NA,NA
"73",2011-05-27,36.8038630682418,36,NA,NA,NA
"74",2011-06-03,36.612952197239,29,NA,NA,NA
"75",2011-06-10,30.6279212339935,41,NA,NA,NA
"76",2011-06-17,37.9348793355922,39,NA,NA,NA
"77",2011-06-24,34.1410147850716,38,NA,NA,NA
"78",2011-07-01,33.7441697249521,41,NA,NA,NA
"79",2011-07-08,33.4417205822616,39,NA,NA,NA
