"","Week.ended","2.5%","50%","97.5%","fit"
"531",2020-03-06,23.8574294383807,27.9590719193746,32.0103582880805,27.9117017854224
"532",2020-03-13,49.885325868391,56.1887126656768,62.3019422640312,56.302207606896
"533",2020-03-20,75.9190365161004,83.8275411957502,92.1094330401682,83.9519555754879
"534",2020-03-27,99.3319544241631,109.307810850524,120.117678117924,109.402774176685
"535",2020-04-03,126.705306532685,138.576622507924,151.698733738613,138.918454246193
"536",2020-04-10,150.635471980746,165.172270962537,179.971999052108,165.149055984622
"537",2020-04-17,177.259275976422,193.569333177154,211.224491869537,193.738343867314
"538",2020-04-24,201.506672929405,220.800180551472,241.099989122694,220.811103637628
"539",2020-05-01,225.431472530804,247.239655933763,268.727499430863,247.442869889087
"540",2020-05-08,251.852686846331,276.534458652562,300.399961163374,276.615139889622
"541",2020-05-15,279.3878324567,305.718202181286,332.338906912839,305.900893308071
"542",2020-05-22,306.393771384174,335.145556842104,364.18883707449,335.082671763603
"543",2020-05-29,328.081603940975,357.810087445189,389.093697834698,358.139420418406
"544",2020-06-05,356.589319643981,388.378363112147,421.12044426511,388.570086733278
"545",2020-06-12,381.665125553819,414.841352815389,450.391732872167,415.133136850218
"546",2020-06-19,406.374679812777,441.758481797606,478.238709809067,441.368645522665
"547",2020-06-26,429.263835557565,467.603755324141,506.092179545998,467.222189482375
"548",2020-07-03,450.938064918357,491.420066226397,531.413209386025,491.260577057171
"549",2020-07-10,474.230141164241,517.10640417889,559.220489520373,516.994058864991
"550",2020-07-17,502.788546148075,548.55979138089,593.305729065173,548.440020321
"551",2020-07-24,526.713768739784,573.474514809475,620.718178354756,573.699399978996
"552",2020-07-31,552.338280933201,601.800449576791,651.147445968434,601.621294543058
"553",2020-08-07,574.052934000523,627.489594778416,678.613733456895,626.813465546178
"554",2020-08-14,599.536721956269,655.379426197352,708.589605879035,654.649664927101
"555",2020-08-21,621.462569239474,679.730790852405,735.941696894811,679.330513085188
"556",2020-08-28,642.985157848643,703.661197254279,761.281505947753,703.38208404506
"557",2020-09-04,667.604752600526,731.030194744098,791.309687423538,730.940633859044
"558",2020-09-11,690.321722758145,757.733775454369,819.972106675346,757.419027259398
"559",2020-09-18,714.735711212842,786.747731269626,850.774476054305,785.775480506907
"560",2020-09-25,738.65372432248,813.669816099325,880.153719356328,812.672323928562
"561",2020-10-02,763.312567753111,839.809634259869,908.671910419817,838.783198872555
"562",2020-10-09,788.362212492734,867.917095604795,938.427641219281,866.381243971759
"563",2020-10-16,809.597046657705,892.540738046255,968.676762748247,891.954781009048
"564",2020-10-23,834.529429253393,919.771710087239,997.684413856879,918.956643932851
"565",2020-10-30,858.047496749447,945.907718152581,1026.5772831828,945.258045380309
"566",2020-11-06,881.812126975631,974.469593138888,1056.30352636873,973.114039223085
"567",2020-11-13,905.781707372667,1000.7234265231,1084.66438623158,999.439849898163
