"","Week.ended","signal","North.East","fit","upr","lwr"
"1",2010-01-08,527.248484676661,648,NA,NA,NA
"2",2010-01-15,581.98853312253,612,NA,NA,NA
"3",2010-01-22,618.629144003225,550,NA,NA,NA
"4",2010-01-29,592.960045068687,555,NA,NA,NA
"5",2010-02-05,572.295320035143,556,NA,NA,NA
"6",2010-02-12,546.82894214272,553,NA,NA,NA
"7",2010-02-19,539.70487620307,521,NA,NA,NA
"8",2010-02-26,531.111287677103,471,NA,NA,NA
"9",2010-03-05,521.63117685405,535,NA,NA,NA
"10",2010-03-12,514.680733141478,512,NA,NA,NA
"11",2010-03-19,512.751539968438,529,NA,NA,NA
"12",2010-03-26,496.663809967953,498,NA,NA,NA
"13",2010-04-02,459.09272622788,394,NA,NA,NA
"14",2010-04-09,478.082234185781,517,NA,NA,NA
"15",2010-04-16,501.743987678216,516,NA,NA,NA
"16",2010-04-23,495.816427592403,486,NA,NA,NA
"17",2010-04-30,486.101232461862,516,NA,NA,NA
"18",2010-05-07,513.320902864227,444,NA,NA,NA
"19",2010-05-14,472.764925601763,516,NA,NA,NA
"20",2010-05-21,490.211873038631,502,NA,NA,NA
"21",2010-05-28,494.723457659282,474,NA,NA,NA
"22",2010-06-04,469.42780577289,457,NA,NA,NA
"23",2010-06-11,440.107420922771,539,NA,NA,NA
"24",2010-06-18,493.217953767108,450,NA,NA,NA
"25",2010-06-25,457.124493898889,464,NA,NA,NA
"26",2010-07-02,476.002128612026,446,NA,NA,NA
"27",2010-07-09,458.651345626644,507,NA,NA,NA
"28",2010-07-16,446.484493781755,444,NA,NA,NA
"29",2010-07-23,459.072628759642,442,NA,NA,NA
"30",2010-07-30,460.425782498014,453,NA,NA,NA
"31",2010-08-06,452.042168804907,479,NA,NA,NA
"32",2010-08-13,449.276881107809,417,NA,NA,NA
"33",2010-08-20,453.825078527374,447,NA,NA,NA
"34",2010-08-27,447.199035610304,471,NA,NA,NA
"35",2010-09-03,428.388249250992,407,NA,NA,NA
"36",2010-09-10,438.81169718137,446,NA,NA,NA
"37",2010-09-17,456.586726917594,442,NA,NA,NA
"38",2010-09-24,466.271700754402,468,NA,NA,NA
"39",2010-10-01,462.948860431702,448,NA,NA,NA
"40",2010-10-08,483.258554695907,501,NA,NA,NA
"41",2010-10-15,483.461508319691,485,NA,NA,NA
"42",2010-10-22,488.068488293173,506,NA,NA,NA
"43",2010-10-29,500.95687097033,519,NA,NA,NA
"44",2010-11-05,497.219693478338,491,NA,NA,NA
