"","Week.ended","2.5%","50%","97.5%","fit"
"531",2020-03-06,510.700574957028,554.327475676532,598.798693175773,554.146428588892
"532",2020-03-13,1011.27000172466,1091.56853067169,1178.82885602934,1092.16656222108
"533",2020-03-20,1469.71629437831,1588.41531451321,1721.14726768117,1591.3232682624
"534",2020-03-27,1942.69653882095,2099.5096033441,2274.52323497071,2104.442780069
"535",2020-04-03,2431.53371909431,2632.40987792748,2859.76553635133,2638.89140827774
"536",2020-04-10,2910.09508801715,3160.16985804589,3429.30131507616,3165.75145417282
"537",2020-04-17,3384.31592212314,3674.3520719953,3995.15745750812,3680.05511008532
"538",2020-04-24,3870.49943303544,4214.09540972882,4587.09971376835,4221.12977022011
"539",2020-05-01,4307.55560788872,4705.70601968029,5146.93383449245,4717.81168715897
"540",2020-05-08,4768.49982349379,5220.60176751455,5703.7886398588,5229.90158193748
"541",2020-05-15,5235.68161768553,5736.09122731743,6269.30743687125,5744.65388676339
"542",2020-05-22,5654.59980055527,6223.54496772641,6819.5810350813,6230.90506618809
"543",2020-05-29,6053.14317796896,6677.07662309055,7315.38498811815,6684.13589484923
"544",2020-06-05,6491.28730510444,7186.15226326342,7889.93701993118,7193.8874952739
"545",2020-06-12,6896.24400674075,7654.15290000436,8429.73518109139,7666.43882638185
"546",2020-06-19,7349.02161937748,8146.82390880535,8977.88869445203,8159.47817035881
"547",2020-06-26,7784.92189357296,8619.34856409676,9508.16571094508,8633.62593556436
"548",2020-07-03,8187.18144648893,9085.63921220175,10034.7806414574,9096.92907487345
"549",2020-07-10,8618.15549330081,9565.02724642239,10564.2436662535,9574.76896386576
"550",2020-07-17,9023.76586348399,10042.9551708706,11099.0655501226,10053.8809332965
"551",2020-07-24,9435.07496313399,10515.7882658672,11646.8910465609,10524.0571932377
"552",2020-07-31,9851.28408895604,10982.8528599728,12187.9883009895,10993.9577168577
"553",2020-08-07,10257.9004598249,11457.0718981199,12723.7015127052,11468.0596652136
"554",2020-08-14,10661.116748703,11922.3512752477,13261.0429724967,11935.7389747657
"555",2020-08-21,11043.0475356354,12364.6859347638,13783.5628794602,12384.5018297989
"556",2020-08-28,11460.7140450748,12829.395032609,14352.5283889418,12843.7654076552
"557",2020-09-04,11879.5854111645,13300.7012168425,14873.5569551081,13319.7161920015
"558",2020-09-11,12286.5208616902,13792.2294897031,15418.4638497374,13803.9187429354
"559",2020-09-18,12701.1310851044,14272.6753534073,15970.1745700469,14285.4167295852
"560",2020-09-25,13125.0140065682,14781.4859907942,16547.703082161,14785.4437491288
"561",2020-10-02,13548.6347705677,15283.8340603378,17108.3675476836,15285.0086815127
"562",2020-10-09,13954.9614967407,15797.7274129947,17713.68429348,15788.9949566259
"563",2020-10-16,14396.9421574159,16312.0275657344,18316.4148173338,16305.8330156817
"564",2020-10-23,14817.7188700558,16828.26789985,18918.7382017567,16818.9178883978
"565",2020-10-30,15226.3202440944,17337.6008557485,19487.4760930736,17334.2947001376
"566",2020-11-06,15692.2302388166,17861.9215518502,20125.4474700694,17861.641087325
"567",2020-11-13,16136.7241457397,18385.5789057522,20755.9941310106,18376.9199294558
"568",2020-11-20,16564.2841730165,18906.1862307299,21367.630705637,18902.8710502252
"569",2020-11-27,16994.7172464401,19429.6198919368,21976.7912846975,19436.2386681258
"570",2020-12-04,17469.4500106967,19988.8764567107,22645.0564609913,19994.0448799221
"571",2020-12-11,17971.7017649251,20587.0054897968,23297.5860877417,20589.3482587154
"572",2020-12-18,18439.398933298,21145.4368189033,23907.7992032934,21131.7613727846
"573",2020-12-25,18887.153574276,21713.0740964734,24575.1446916297,21681.8609762256
"574",2021-01-01,19432.0743923543,22371.1088597719,25347.0005657857,22341.5203528131
"575",2021-01-08,19988.2460628202,23022.5739071549,26119.9450907122,23002.9891748696
"576",2021-01-15,20536.8091778729,23665.8798186173,26888.8716634583,23644.1026925908
"577",2021-01-22,21084.236207922,24287.2812511443,27621.2810784831,24267.5285410299
"578",2021-01-29,21588.9561219737,24886.2187156051,28298.9268462744,24866.6214843603
"579",2021-02-05,22061.4512066965,25479.9957155559,28981.2427567394,25461.8491998348
"580",2021-02-12,22549.5202071747,26061.6888137298,29647.0686071589,26048.4828023283
"581",2021-02-19,23051.1745423219,26639.1390667711,30360.0687243453,26623.3659446975
"582",2021-02-26,23536.0892571661,27189.4531574095,31056.8388897842,27189.1759940799
"583",2021-03-05,24016.6803330537,27752.8973197742,31733.3332117323,27751.0558555465
