"","Week.ended","signal","North.West","fit","upr","lwr"
"1",2010-01-08,1461.91150759227,1686,NA,NA,NA
"2",2010-01-15,1615.14039963906,1772,NA,NA,NA
"3",2010-01-22,1681.3933688302,1576,NA,NA,NA
"4",2010-01-29,1557.50901916183,1495,NA,NA,NA
"5",2010-02-05,1473.66609525252,1385,NA,NA,NA
"6",2010-02-12,1425.46034350234,1402,NA,NA,NA
"7",2010-02-19,1424.78328605248,1371,NA,NA,NA
"8",2010-02-26,1397.97875622853,1363,NA,NA,NA
"9",2010-03-05,1394.67499821897,1417,NA,NA,NA
"10",2010-03-12,1364.6745946216,1390,NA,NA,NA
"11",2010-03-19,1354.3585197641,1316,NA,NA,NA
"12",2010-03-26,1322.47907013262,1292,NA,NA,NA
"13",2010-04-02,1260.21240764924,1130,NA,NA,NA
"14",2010-04-09,1249.56250897017,1357,NA,NA,NA
"15",2010-04-16,1332.89764921526,1369,NA,NA,NA
"16",2010-04-23,1311.00105303069,1328,NA,NA,NA
"17",2010-04-30,1260.63569443445,1252,NA,NA,NA
"18",2010-05-07,1280.46728831131,1150,NA,NA,NA
"19",2010-05-14,1212.63916787315,1276,NA,NA,NA
"20",2010-05-21,1229.96373865807,1248,NA,NA,NA
"21",2010-05-28,1277.12381758409,1292,NA,NA,NA
"22",2010-06-04,1170.31103524727,1145,NA,NA,NA
"23",2010-06-11,1149.53410352332,1268,NA,NA,NA
"24",2010-06-18,1221.62444486092,1118,NA,NA,NA
"25",2010-06-25,1164.67785703584,1157,NA,NA,NA
"26",2010-07-02,1189.33982683739,1236,NA,NA,NA
"27",2010-07-09,1149.59572250911,1163,NA,NA,NA
"28",2010-07-16,1175.91459292735,1153,NA,NA,NA
"29",2010-07-23,1139.14815622204,1108,NA,NA,NA
"30",2010-07-30,1162.65625384889,1155,NA,NA,NA
"31",2010-08-06,1142.17091543372,1110,NA,NA,NA
"32",2010-08-13,1165.15449756241,1138,NA,NA,NA
"33",2010-08-20,1148.544055806,1169,NA,NA,NA
"34",2010-08-27,1186.34581968182,1187,NA,NA,NA
"35",2010-09-03,1143.48721196548,1081,NA,NA,NA
"36",2010-09-10,1165.99529023963,1313,NA,NA,NA
"37",2010-09-17,1212.43691269592,1256,NA,NA,NA
"38",2010-09-24,1206.05827824911,1137,NA,NA,NA
"39",2010-10-01,1230.75274628489,1252,NA,NA,NA
"40",2010-10-08,1256.48639327455,1265,NA,NA,NA
"41",2010-10-15,1252.53435476011,1239,NA,NA,NA
"42",2010-10-22,1272.73134579157,1206,NA,NA,NA
"43",2010-10-29,1306.98669634651,1342,NA,NA,NA
"44",2010-11-05,1325.01081412103,1370,NA,NA,NA
"45",2010-11-12,1321.98306626143,1319,NA,NA,NA
"46",2010-11-19,1367.9306132322,1306,NA,NA,NA
"47",2010-11-26,1356.89348000162,1356,NA,NA,NA
"48",2010-12-03,1356.33880233988,1343,NA,NA,NA
"49",2010-12-10,1418.91510750108,1413,NA,NA,NA
"50",2010-12-17,1475.7372934351,1509,NA,NA,NA
"51",2010-12-24,1533.78980194362,1605,NA,NA,NA
"52",2010-12-31,1478.47061620309,1535,NA,NA,NA
"53",2011-01-07,1430.79341699913,1535,NA,NA,NA
"54",2011-01-14,1587.24966550827,1797,NA,NA,NA
"55",2011-01-21,1651.84892436515,1555,NA,NA,NA
"56",2011-01-28,1525.52233297115,1429,NA,NA,NA
"57",2011-02-04,1442.37611519555,1366,NA,NA,NA
"58",2011-02-11,1393.73287822073,1359,NA,NA,NA
"59",2011-02-18,1393.65863108821,1343,NA,NA,NA
"60",2011-02-25,1367.16855011626,1366,NA,NA,NA
"61",2011-03-04,1361.05903706751,1329,NA,NA,NA
"62",2011-03-11,1333.2717561352,1295,NA,NA,NA
"63",2011-03-18,1331.03792258,1279,NA,NA,NA
"64",2011-03-25,1308.50312968104,1291,NA,NA,NA
"65",2011-04-01,1254.38362812805,1322,NA,NA,NA
"66",2011-04-08,1233.62409166013,1310,NA,NA,NA
"67",2011-04-15,1309.7161389358,1305,NA,NA,NA
"68",2011-04-22,1284.34341914114,1171,NA,NA,NA
"69",2011-04-29,1242.53069406727,1104,NA,NA,NA
"70",2011-05-06,1282.90239299957,1324,NA,NA,NA
"71",2011-05-13,1219.78136399478,1328,NA,NA,NA
"72",2011-05-20,1237.67328527964,1276,NA,NA,NA
"73",2011-05-27,1283.5281927998,1302,NA,NA,NA
"74",2011-06-03,1175.07841373769,1044,NA,NA,NA
"75",2011-06-10,1162.42531859508,1250,NA,NA,NA
"76",2011-06-17,1245.49031881159,1306,NA,NA,NA
"77",2011-06-24,1184.37113116274,1142,NA,NA,NA
"78",2011-07-01,1208.06219972138,1215,NA,NA,NA
"79",2011-07-08,1171.01300742643,1215,NA,NA,NA
"80",2011-07-15,1197.20443776675,1159,NA,NA,NA
"81",2011-07-22,1161.72159743815,1139,NA,NA,NA
"82",2011-07-29,1185.73563923162,1190,NA,NA,NA
"83",2011-08-05,1164.65614083138,1235,NA,NA,NA
"84",2011-08-12,1177.58489900996,1212,NA,NA,NA
"85",2011-08-19,1145.23763005436,1146,NA,NA,NA
"86",2011-08-26,1169.12000513399,1150,NA,NA,NA
"87",2011-09-02,1114.16688629855,1092,NA,NA,NA
"88",2011-09-09,1120.85945759154,1161,NA,NA,NA
"89",2011-09-16,1161.34762447479,1121,NA,NA,NA
"90",2011-09-23,1156.75930651401,1119,NA,NA,NA
"91",2011-09-30,1180.35563856459,1229,NA,NA,NA
"92",2011-10-07,1202.46278396749,1216,NA,NA,NA
"93",2011-10-14,1194.42063576952,1169,NA,NA,NA
"94",2011-10-21,1211.62445276267,1150,NA,NA,NA
"95",2011-10-28,1242.41533527275,1267,NA,NA,NA
"96",2011-11-04,1257.93740089688,1301,NA,NA,NA
"97",2011-11-11,1252.58539760113,1244,NA,NA,NA
"98",2011-11-18,1296.72570509205,1310,NA,NA,NA
"99",2011-11-25,1276.94098288374,1238,NA,NA,NA
"100",2011-12-02,1271.14996270484,1229,NA,NA,NA
"101",2011-12-09,1331.14878801246,1360,NA,NA,NA
