"","Week.ended","signal","South.East","fit","upr","lwr"
"1",2010-01-08,1472.9896089185,1904,NA,NA,NA
"2",2010-01-15,1909.61870824309,1981,NA,NA,NA
"3",2010-01-22,1906.69585659624,1877,NA,NA,NA
"4",2010-01-29,1823.05500713276,1856,NA,NA,NA
"5",2010-02-05,1706.78878645163,1576,NA,NA,NA
"6",2010-02-12,1626.54795513449,1547,NA,NA,NA
"7",2010-02-19,1603.67299560923,1570,NA,NA,NA
"8",2010-02-26,1590.98468986778,1594,NA,NA,NA
"9",2010-03-05,1595.32173523455,1580,NA,NA,NA
"10",2010-03-12,1514.62826488171,1457,NA,NA,NA
"11",2010-03-19,1556.8371886801,1466,NA,NA,NA
"12",2010-03-26,1494.24433765976,1484,NA,NA,NA
"13",2010-04-02,1403.1742160044,1174,NA,NA,NA
"14",2010-04-09,1380.38673249413,1473,NA,NA,NA
"15",2010-04-16,1471.78567866403,1476,NA,NA,NA
"16",2010-04-23,1472.39299830365,1438,NA,NA,NA
"17",2010-04-30,1413.84808035851,1443,NA,NA,NA
"18",2010-05-07,1441.56934998306,1252,NA,NA,NA
"19",2010-05-14,1360.81218044826,1463,NA,NA,NA
"20",2010-05-21,1400.83327350976,1401,NA,NA,NA
"21",2010-05-28,1413.85074165311,1415,NA,NA,NA
"22",2010-06-04,1283.64322296079,1202,NA,NA,NA
"23",2010-06-11,1248.2107671185,1413,NA,NA,NA
"24",2010-06-18,1362.29551242574,1299,NA,NA,NA
"25",2010-06-25,1315.45641007735,1283,NA,NA,NA
"26",2010-07-02,1310.32296541474,1425,NA,NA,NA
"27",2010-07-09,1321.69624652237,1315,NA,NA,NA
"28",2010-07-16,1266.01511544493,1285,NA,NA,NA
"29",2010-07-23,1274.42122061242,1154,NA,NA,NA
"30",2010-07-30,1255.84548840643,1187,NA,NA,NA
"31",2010-08-06,1281.46657448408,1303,NA,NA,NA
"32",2010-08-13,1278.31948718148,1292,NA,NA,NA
"33",2010-08-20,1273.37496220809,1280,NA,NA,NA
"34",2010-08-27,1286.68639761895,1307,NA,NA,NA
"35",2010-09-03,1236.15618068403,1151,NA,NA,NA
"36",2010-09-10,1234.87740428883,1372,NA,NA,NA
"37",2010-09-17,1349.41734890048,1348,NA,NA,NA
"38",2010-09-24,1342.78810909346,1364,NA,NA,NA
"39",2010-10-01,1368.89768661677,1294,NA,NA,NA
"40",2010-10-08,1363.53566753041,1448,NA,NA,NA
"41",2010-10-15,1397.63724986393,1415,NA,NA,NA
"42",2010-10-22,1415.56133641003,1450,NA,NA,NA
"43",2010-10-29,1450.3366676997,1363,NA,NA,NA
"44",2010-11-05,1406.71084703404,1517,NA,NA,NA
"45",2010-11-12,1444.18715216534,1430,NA,NA,NA
"46",2010-11-19,1513.87191017051,1452,NA,NA,NA
"47",2010-11-26,1484.90186898015,1440,NA,NA,NA
"48",2010-12-03,1492.90807096873,1293,NA,NA,NA
"49",2010-12-10,1562.16061521733,1866,NA,NA,NA
"50",2010-12-17,1562.30717326468,1701,NA,NA,NA
"51",2010-12-24,1634.93831281954,1717,NA,NA,NA
"52",2010-12-31,1401.28529139883,1331,NA,NA,NA
"53",2011-01-07,1473.56143114151,1911,NA,NA,NA
"54",2011-01-14,1906.92587155719,2089,NA,NA,NA
"55",2011-01-21,1898.33171002612,1826,NA,NA,NA
"56",2011-01-28,1809.94652681628,1704,NA,NA,NA
"57",2011-02-04,1691.95571080471,1559,NA,NA,NA
"58",2011-02-11,1610.03739678668,1461,NA,NA,NA
"59",2011-02-18,1586.99577348554,1503,NA,NA,NA
"60",2011-02-25,1575.23490694794,1443,NA,NA,NA
"61",2011-03-04,1583.43996180831,1515,NA,NA,NA
"62",2011-03-11,1507.76938174911,1461,NA,NA,NA
"63",2011-03-18,1554.76510520994,1523,NA,NA,NA
"64",2011-03-25,1495.67472605314,1519,NA,NA,NA
"65",2011-04-01,1407.37721567652,1425,NA,NA,NA
"66",2011-04-08,1381.99655592593,1481,NA,NA,NA
"67",2011-04-15,1470.66339252313,1402,NA,NA,NA
"68",2011-04-22,1470.12308832904,1268,NA,NA,NA
"69",2011-04-29,1414.07728464845,1161,NA,NA,NA
"70",2011-05-06,1450.43381257452,1479,NA,NA,NA
"71",2011-05-13,1373.56926288719,1716,NA,NA,NA
"72",2011-05-20,1412.25968520963,1414,NA,NA,NA
"73",2011-05-27,1423.91227012167,1393,NA,NA,NA
"74",2011-06-03,1293.03694048445,1161,NA,NA,NA
"75",2011-06-10,1258.0323190259,1468,NA,NA,NA
"76",2011-06-17,1371.5626422365,1378,NA,NA,NA
"77",2011-06-24,1322.65300631511,1342,NA,NA,NA
"78",2011-07-01,1314.32273376885,1304,NA,NA,NA
"79",2011-07-08,1325.21689505261,1282,NA,NA,NA
"80",2011-07-15,1269.85066530964,1243,NA,NA,NA
"81",2011-07-22,1279.56821480471,1293,NA,NA,NA
"82",2011-07-29,1259.39373439152,1235,NA,NA,NA
"83",2011-08-05,1282.44961534971,1368,NA,NA,NA
"84",2011-08-12,1275.34548510191,1276,NA,NA,NA
"85",2011-08-19,1266.72712458444,1267,NA,NA,NA
"86",2011-08-26,1276.50283129025,1247,NA,NA,NA
"87",2011-09-02,1223.51997984383,1220,NA,NA,NA
"88",2011-09-09,1218.01365875996,1283,NA,NA,NA
"89",2011-09-16,1329.89442383082,1363,NA,NA,NA
"90",2011-09-23,1319.85541723838,1329,NA,NA,NA
"91",2011-09-30,1342.81759182732,1377,NA,NA,NA
"92",2011-10-07,1331.93658258945,1314,NA,NA,NA
"93",2011-10-14,1362.7455452348,1359,NA,NA,NA
