"","Week.ended","lwr","50%","upr","fit"
"531",2020-03-06,1553.21767646599,1685.15325783346,1812.21932457358,1684.39706071518
"532",2020-03-13,3056.56142735604,3309.75106274244,3549.1471863186,3309.50708786652
"533",2020-03-20,4476.49859993111,4847.99485923673,5199.89265182581,4845.5977563881
"534",2020-03-27,5875.97397819856,6354.54655719321,6816.00510570663,6353.32594787742
"535",2020-04-03,7341.33206402384,7945.70432162717,8543.53725532438,7952.03772563696
"536",2020-04-10,8819.59637971736,9553.18974022165,10291.9731402632,9552.81651870314
"537",2020-04-17,10219.7853936788,11094.6673434868,11960.0622819367,11091.9805662582
"538",2020-04-24,11657.8783429763,12659.0980908249,13662.9211384028,12659.5285177121
"539",2020-05-01,12932.1704863261,14144.0139164371,15287.296091956,14139.9021539588
"540",2020-05-08,14290.890037705,15659.2424559425,16947.8001748575,15660.6932537957
"541",2020-05-15,15662.4475923878,17196.5156334554,18588.3383767029,17187.9146076675
"542",2020-05-22,16897.4342991104,18587.5574127722,20160.3428586625,18582.1640543166
"543",2020-05-29,18040.9729951018,19941.2547474967,21707.6242117283,19937.2302247488
"544",2020-06-05,19366.922743194,21390.2324459171,23336.9936643288,21402.5919093376
"545",2020-06-12,20614.01810106,22819.0401322655,24923.1905482967,22821.5984760082
"546",2020-06-19,21844.5430870814,24233.2237929308,26519.7393334063,24231.8003013334
"547",2020-06-26,23019.9400806772,25664.7912063814,28075.9164941354,25652.7195397885
"548",2020-07-03,24150.6948152514,27040.7219716258,29646.6428213576,27016.4750512047
"549",2020-07-10,25295.3151811441,28414.2182379693,31160.2122640417,28391.7530745759
"550",2020-07-17,26477.7535453682,29766.6234043461,32754.5263982184,29744.4558199833
"551",2020-07-24,27627.69403886,31122.6099967287,34327.0118391752,31116.9044395845
"552",2020-07-31,28767.584773221,32491.5971688683,35920.7965313832,32482.3653259806
"553",2020-08-07,29937.6664328365,33844.5304003347,37448.6917289058,33841.1892818971
"554",2020-08-14,31070.0659444739,35230.0123549511,39011.7703710954,35210.5160515279
"555",2020-08-21,32174.0619899702,36575.7652098862,40504.2760866765,36524.7593912619
"556",2020-08-28,33246.0359975047,37889.736781829,42000.1182383173,37832.380739077
"557",2020-09-04,34391.7073997442,39292.1812471374,43679.4505389178,39251.0047156244
"558",2020-09-11,35631.3256244679,40678.6969806333,45410.6171603767,40660.1693826077
"559",2020-09-18,36839.3591231767,42097.914044761,47093.5389447193,42096.1746315039
"560",2020-09-25,38068.0349896688,43560.5274978884,48871.9678048436,43526.5751490768
"561",2020-10-02,39265.2509852375,44994.5540901548,50594.4184890917,44986.1147644418
"562",2020-10-09,40496.2187909368,46512.7240933186,52385.6780025562,46464.4719756897
"563",2020-10-16,41742.9695522446,48024.1521218472,54177.5090857286,47976.4306194755
"564",2020-10-23,42942.5661824433,49501.9510558877,55932.7097677748,49440.3253481565
"565",2020-10-30,44201.1592593239,51016.8244335538,57693.0736375015,50942.9203041182
"566",2020-11-06,45512.6263614645,52582.6005794725,59491.4193898366,52513.1713436003
"567",2020-11-13,46779.26542414,54132.5124105177,61205.8319876934,54055.9379110227
"568",2020-11-20,48032.1468647196,55695.3041459658,62902.1926661388,55606.2283453726
"569",2020-11-27,49427.459114658,57329.1691854156,64805.7188771094,57218.5859400918
"570",2020-12-04,50779.501601414,58967.5272466015,66745.6409123119,58829.6547639772
"571",2020-12-11,52195.0127543422,60679.5880526703,68686.3281751025,60517.3855732023
"572",2020-12-18,53568.0757797174,62281.7238009252,70589.3206241404,62124.7346502703
"573",2020-12-25,54814.0033213565,63864.6463641697,72388.1690630152,63670.9055096791
"574",2021-01-01,56314.0442465796,65679.4498004696,74460.5992068286,65495.0688415897
"575",2021-01-08,58016.8249087874,67685.5869361037,76639.2488410102,67476.6812069397
"576",2021-01-15,59707.4639681261,69600.6323188732,78692.6703702674,69386.0841192574
"577",2021-01-22,61035.6866061838,71354.8933516139,80691.0287015123,71189.9236837995
"578",2021-01-29,62460.347405365,73074.914756642,82697.9285028551,72919.9042077653
"579",2021-02-05,63835.1351913645,74798.7438681164,84698.4442937357,74632.6212824136
"580",2021-02-12,65256.8419335842,76527.6202017511,86753.8569177285,76338.9425747578
"581",2021-02-19,66675.8556386868,78253.2261958194,88771.5965755652,78054.9308953824
"582",2021-02-26,68124.281351412,79905.7986813974,90707.1345776575,79694.1501831717
"583",2021-03-05,69509.2454648656,81602.1785028928,92694.9533585099,81377.5409944151
"584",2021-03-12,70875.2455516733,83219.1468970617,94517.8960624674,82999.8083517023
"585",2021-03-19,72064.8447306687,84754.8608912613,96404.6963918491,84534.457355026
"586",2021-03-26,73266.5045525241,86258.9669280264,98141.9072755467,86039.9238272808
"587",2021-04-02,74522.3040373233,87862.2959227744,99990.4909551617,87635.3602682363
"588",2021-04-09,75835.1041116049,89481.1224871298,101950.959877181,89232.5804447478
"589",2021-04-16,77063.433587102,91012.8831392482,103812.580787406,90767.6528592828
"590",2021-04-23,78298.7448572594,92567.9511851309,105670.369502865,92330.1367158565
"591",2021-04-30,79442.7008587203,93951.917125385,107588.652055678,93806.079645201
"592",2021-05-07,80525.3280124752,95493.7412507647,109418.946255916,95323.2949254663
"593",2021-05-14,81608.6317436433,97012.5534865554,111265.052464353,96847.835702556
"594",2021-05-21,82574.060612174,98379.8252772548,112921.552302994,98239.3056555669
"595",2021-05-28,83707.6297039865,99738.9719968133,114655.474116779,99589.9020162966
"596",2021-06-04,84938.698098797,101285.481977342,116458.275935947,101053.251591624
"597",2021-06-11,86017.7239480472,102755.749635922,118207.142025792,102469.069392688
"598",2021-06-18,87105.5829039958,104153.38906845,119969.811153399,103877.684164832
"599",2021-06-25,88218.2818652832,105552.770112799,121739.057753146,105296.651010283
"600",2021-07-02,89269.5817878589,106944.665308618,123571.198105838,106659.600915757
"601",2021-07-09,90384.9605894838,108276.74331628,125165.237837395,108034.066791748
"602",2021-07-16,91277.9039812663,109642.618508909,126713.278390879,109386.021639604
"603",2021-07-23,92169.1553139972,111070.283843685,128608.425783188,110758.451612162
"604",2021-07-30,93096.7049440219,112393.129234119,130501.335829213,112121.662366237
"605",2021-08-06,94127.1373631928,113748.225170023,132351.035562156,113476.488961758
"606",2021-08-13,95088.8988337114,115165.669643872,134153.248629172,114842.21874752
"607",2021-08-20,95958.122097894,116470.806535864,135831.012650871,116153.479236794
"608",2021-08-27,96838.6096366863,117815.979376076,137481.891248,117456.6045999
"609",2021-09-03,97862.686290737,119173.908704919,139252.834437529,118869.965853705
"610",2021-09-10,98839.0714328224,120669.398628591,140999.902529454,120273.0637294
"611",2021-09-17,100042.831079633,122085.215808526,142792.575817109,121702.414867472
"612",2021-09-24,101090.593431815,123519.081966782,144672.018254469,123127.52778055
"613",2021-10-01,102289.662462819,124964.857588247,146589.537166007,124583.428012034
"614",2021-10-08,103569.688858785,126407.946643977,148605.518349288,126059.198953635
"615",2021-10-15,104753.667230318,127922.730590552,150676.521412841,127567.521667108
"616",2021-10-22,105820.245235913,129349.650585314,152647.208690306,129027.917057979
"617",2021-10-29,106787.304654803,130845.451410609,154520.095370047,130525.838059634
"618",2021-11-05,107741.813464702,132409.252522721,156480.953018611,132090.990169815
"619",2021-11-12,108829.126696061,133962.993855712,158452.616743913,133626.625513098
"620",2021-11-19,109859.190682289,135441.718033177,160222.196478885,135170.755928322
"621",2021-11-26,111204.886822569,137043.098737684,162182.371797567,136776.781708421
"622",2021-12-03,112360.85619967,138665.833354548,163959.933358443,138382.856849204
"623",2021-12-10,113485.796511278,140365.737513222,166216.205632928,140065.046749125
"624",2021-12-17,114718.906818042,141928.583000981,168395.788613738,141667.118274532
"625",2021-12-24,115797.501359903,143433.436812336,170306.361684407,143208.120916066
"626",2021-12-31,117164.740160894,145245.411615087,172580.172192617,145027.771250537
"627",2022-01-07,118666.156317031,147272.557009675,174975.497830841,147005.162816493
"628",2022-01-14,120074.399133143,149179.881884746,177271.810100056,148909.080517083
"629",2022-01-21,121380.940579866,150933.469751853,179524.868427529,150707.837421098
"630",2022-01-28,122622.452795183,152678.022968717,181612.745197097,152432.941650345
"631",2022-02-04,123822.546366476,154476.629876575,183724.662557256,154141.507197825
"632",2022-02-11,125063.610950958,156048.015842751,185806.269958896,155844.887081672
"633",2022-02-18,126101.804316651,157738.865160106,188064.693584277,157559.071200303
"634",2022-02-25,127058.238840074,159341.81354672,190271.02676376,159197.384529215
