"","Week.ended","signal","Total.deaths..all.ages","fit","upr","lwr"
"1",2010-01-08,9480.02346404725,12968,NA,NA,NA
"2",2010-01-15,12066.5689153664,12541,NA,NA,NA
"3",2010-01-22,11968.2052753374,11762,NA,NA,NA
"4",2010-01-29,11437.4779991357,11056,NA,NA,NA
"5",2010-02-05,11017.7507232869,10524,NA,NA,NA
"6",2010-02-12,10682.3870842583,10117,NA,NA,NA
"7",2010-02-19,10558.4779912074,10102,NA,NA,NA
"8",2010-02-26,10445.0234440331,10295,NA,NA,NA
"9",2010-03-05,10387.3870788159,9981,NA,NA,NA
"10",2010-03-12,10168.9325321564,9792,NA,NA,NA
"11",2010-03-19,10292.0937194239,9729,NA,NA,NA
"12",2010-03-26,10094.1937190884,9631,NA,NA,NA
"13",2010-04-02,9381.09371918136,8004,NA,NA,NA
"14",2010-04-09,9304.09372054811,9756,NA,NA,NA
"15",2010-04-16,9859.9937214969,9892,NA,NA,NA
"16",2010-04-23,9768.39372241611,9449,NA,NA,NA
"17",2010-04-30,9439.59372363068,9503,NA,NA,NA
"18",2010-05-07,9585.99372478665,8343,NA,NA,NA
"19",2010-05-14,8953.19372709233,9483,NA,NA,NA
"20",2010-05-21,9190.19372890806,9190,NA,NA,NA
"21",2010-05-28,9290.99373072385,9452,NA,NA,NA
"22",2010-06-04,8516.2937323907,8178,NA,NA,NA
"23",2010-06-11,8232.89373437057,9259,NA,NA,NA
"24",2010-06-18,9039.49373540122,8513,NA,NA,NA
"25",2010-06-25,8612.39373691891,8461,NA,NA,NA
"26",2010-07-02,8614.59373857661,8973,NA,NA,NA
"27",2010-07-09,8547.49373990283,8627,NA,NA,NA
"28",2010-07-16,8399.99374115547,8541,NA,NA,NA
"29",2010-07-23,8458.2937422777,8261,NA,NA,NA
"30",2010-07-30,8368.2937435824,8257,NA,NA,NA
"31",2010-08-06,8354.89374499008,8467,NA,NA,NA
"32",2010-08-13,8334.39374629401,8318,NA,NA,NA
"33",2010-08-20,8379.89374761314,8584,NA,NA,NA
"34",2010-08-27,8402.9937487435,8635,NA,NA,NA
"35",2010-09-03,7964.69374965923,7708,NA,NA,NA
"36",2010-09-10,8040.19375081238,8961,NA,NA,NA
"37",2010-09-17,8609.59375111384,8727,NA,NA,NA
"38",2010-09-24,8562.09375130661,8943,NA,NA,NA
"39",2010-10-01,8668.99375114715,8759,NA,NA,NA
"40",2010-10-08,8739.69375090441,9195,NA,NA,NA
"41",2010-10-15,8881.39375024043,9218,NA,NA,NA
"42",2010-10-22,8989.19374926517,9286,NA,NA,NA
"43",2010-10-29,9152.39374801535,9275,NA,NA,NA
"44",2010-11-05,9123.19374665216,9668,NA,NA,NA
"45",2010-11-12,9234.69374478496,9406,NA,NA,NA
"46",2010-11-19,9505.39374275934,9437,NA,NA,NA
"47",2010-11-26,9420.99374079699,9473,NA,NA,NA
"48",2010-12-03,9445.69373878653,9220,NA,NA,NA
"49",2010-12-10,9856.39373698479,11193,NA,NA,NA
"50",2010-12-17,10076.5937339467,10880,NA,NA,NA
"51",2010-12-24,10547.9937301656,11484,NA,NA,NA
"52",2010-12-31,9157.2937255185,9689,NA,NA,NA
"53",2011-01-07,9586.89137397502,12644,NA,NA,NA
"54",2011-01-14,12173.4368205539,13133,NA,NA,NA
"55",2011-01-21,12075.0731753359,11438,NA,NA,NA
"56",2011-01-28,11544.3458943438,10555,NA,NA,NA
"57",2011-02-04,11124.6186142667,10235,NA,NA,NA
"58",2011-02-11,10789.2549713762,10019,NA,NA,NA
"59",2011-02-18,10665.3458746526,9757,NA,NA,NA
"60",2011-02-25,10551.8913242239,9433,NA,NA,NA
"61",2011-03-04,10494.2549566483,9453,NA,NA,NA
"62",2011-03-11,10275.8004082176,9648,NA,NA,NA
"63",2011-03-18,10398.9615939461,9842,NA,NA,NA
"64",2011-03-25,10201.0615920659,9707,NA,NA,NA
"65",2011-04-01,9487.96159064271,9312,NA,NA,NA
"66",2011-04-08,9410.96158938225,9557,NA,NA,NA
"67",2011-04-15,9966.86158798676,9327,NA,NA,NA
"68",2011-04-22,9875.26158718315,8335,NA,NA,NA
"69",2011-04-29,9546.46158780422,8064,NA,NA,NA
"70",2011-05-06,9692.86158979657,9853,NA,NA,NA
"71",2011-05-13,9060.06159164078,10140,NA,NA,NA
"72",2011-05-20,9297.06159248611,8949,NA,NA,NA
"73",2011-05-27,9397.86159365334,9163,NA,NA,NA
"74",2011-06-03,8623.16159503782,7913,NA,NA,NA
"75",2011-06-10,8339.76159707924,9254,NA,NA,NA
"76",2011-06-17,9146.36159827496,8961,NA,NA,NA
"77",2011-06-24,8719.26159964214,8715,NA,NA,NA
"78",2011-07-01,8721.46160101327,8710,NA,NA,NA
"79",2011-07-08,8654.36160239499,8705,NA,NA,NA
"80",2011-07-15,8506.86160372988,8461,NA,NA,NA
"81",2011-07-22,8565.16160510719,8500,NA,NA,NA
"82",2011-07-29,8475.16160654478,8456,NA,NA,NA
"83",2011-08-05,8461.76160800009,8787,NA,NA,NA
"84",2011-08-12,8441.26160915453,8573,NA,NA,NA
"85",2011-08-19,8486.76161018712,8426,NA,NA,NA
"86",2011-08-26,8509.86161127596,8466,NA,NA,NA
"87",2011-09-02,8071.56161240535,7717,NA,NA,NA
"88",2011-09-09,8147.06161386269,8769,NA,NA,NA
"89",2011-09-16,8716.46161474477,8612,NA,NA,NA
"90",2011-09-23,8668.96161572341,8527,NA,NA,NA
"91",2011-09-30,8775.86161683344,8919,NA,NA,NA
"92",2011-10-07,8846.56161781108,8719,NA,NA,NA
"93",2011-10-14,8988.26161890661,8705,NA,NA,NA
"94",2011-10-21,9096.06162026425,8638,NA,NA,NA
"95",2011-10-28,9259.26162204554,9139,NA,NA,NA
"96",2011-11-04,9230.06162393811,9640,NA,NA,NA
"97",2011-11-11,9341.56162545146,9042,NA,NA,NA
"98",2011-11-18,9612.26162724192,9305,NA,NA,NA
"99",2011-11-25,9527.86162931659,9166,NA,NA,NA
"100",2011-12-02,9552.56163172599,9203,NA,NA,NA
"101",2011-12-09,9963.2616344587,9828,NA,NA,NA
"102",2011-12-16,10183.4616373165,10348,NA,NA,NA
"103",2011-12-23,10654.8616400223,11151,NA,NA,NA
"104",2011-12-30,9264.1616422689,8472,NA,NA,NA
"105",2012-01-06,9693.7592988437,10514,NA,NA,NA
"106",2012-01-13,12280.3047556099,11343,NA,NA,NA
"107",2012-01-20,12181.941122334,10393,NA,NA,NA
"108",2012-01-27,11651.2138543493,10320,NA,NA,NA
"109",2012-02-03,11231.4865875958,10117,NA,NA,NA
"110",2012-02-10,10896.122958237,10287,NA,NA,NA
"111",2012-02-17,10772.2138748961,10532,NA,NA,NA
"112",2012-02-24,10658.7593372319,11086,NA,NA,NA
"113",2012-03-02,10601.1229809908,10945,NA,NA,NA
"114",2012-03-09,10382.6684426133,10507,NA,NA,NA
"115",2012-03-16,10505.8296376993,10041,NA,NA,NA
"116",2012-03-23,10307.9296450913,9864,NA,NA,NA
"117",2012-03-30,9594.82965289406,9634,NA,NA,NA
"118",2012-04-06,9517.82966066051,8520,NA,NA,NA
"119",2012-04-13,10073.72966935,9992,NA,NA,NA
"120",2012-04-20,9982.12967811508,10816,NA,NA,NA
"121",2012-04-27,9653.32968610878,10238,NA,NA,NA
"122",2012-05-04,9799.72969356171,9957,NA,NA,NA
"123",2012-05-11,9166.92970086913,8868,NA,NA,NA
"124",2012-05-18,9403.92970845311,9913,NA,NA,NA
"125",2012-05-25,9504.72971556619,9602,NA,NA,NA
"126",2012-06-01,8730.02972258927,9602,NA,NA,NA
"127",2012-06-08,8446.62972880582,6781,NA,NA,NA
"128",2012-06-15,9253.22973656304,10170,NA,NA,NA
"129",2012-06-22,8826.12974347225,9054,NA,NA,NA
"130",2012-06-29,8828.3297501707,8856,NA,NA,NA
"131",2012-07-06,8761.22975684353,8909,NA,NA,NA
"132",2012-07-13,8613.72976337968,8754,NA,NA,NA
"133",2012-07-20,8672.02976978611,8684,NA,NA,NA
"134",2012-07-27,8582.02977618144,8877,NA,NA,NA
"135",2012-08-03,8568.62978230394,8942,NA,NA,NA
"136",2012-08-10,8548.12978808106,8810,NA,NA,NA
"137",2012-08-17,8593.62979361594,8776,NA,NA,NA
"138",2012-08-24,8616.72979898217,8977,NA,NA,NA
"139",2012-08-31,8178.42980401514,7617,NA,NA,NA
"140",2012-09-07,8253.9298095674,8848,NA,NA,NA
"141",2012-09-14,8823.32981457019,8641,NA,NA,NA
"142",2012-09-21,8775.82981974157,8839,NA,NA,NA
"143",2012-09-28,8882.7298248546,8865,NA,NA,NA
"144",2012-10-05,8953.42982998402,9070,NA,NA,NA
"145",2012-10-12,9095.12983500552,9441,NA,NA,NA
"146",2012-10-19,9202.92983970719,9284,NA,NA,NA
"147",2012-10-26,9366.12984433382,9550,NA,NA,NA
"148",2012-11-02,9336.92984879042,9335,NA,NA,NA
"149",2012-11-09,9448.42985324874,9683,NA,NA,NA
"150",2012-11-16,9719.12985749012,9900,NA,NA,NA
"151",2012-11-23,9634.7298615642,9679,NA,NA,NA
"152",2012-11-30,9659.42986559734,9394,NA,NA,NA
"153",2012-12-07,10070.129869876,9844,NA,NA,NA
"154",2012-12-14,10290.3298743638,10388,NA,NA,NA
"155",2012-12-21,10761.7298787613,11461,NA,NA,NA
"156",2012-12-28,9371.02988251188,8096,NA,NA,NA
"157",2013-01-04,9800.62754103724,11620,NA,NA,NA
"158",2013-01-11,12387.1729988299,12541,NA,NA,NA
"159",2013-01-18,12288.809365571,11075,NA,NA,NA
"160",2013-01-25,11758.0820970714,11262,NA,NA,NA
"161",2013-02-01,11338.3548290306,11314,NA,NA,NA
"162",2013-02-08,11002.991197376,11044,NA,NA,NA
"163",2013-02-15,10879.0821111379,11030,NA,NA,NA
"164",2013-02-22,10765.6275702149,10850,NA,NA,NA
"165",2013-03-01,10707.991211032,10783,NA,NA,NA
"166",2013-03-08,10489.5366699615,11245,NA,NA,NA
"167",2013-03-15,10612.6978617705,11180,NA,NA,NA
"168",2013-03-22,10414.797864931,11075,NA,NA,NA
"169",2013-03-29,9701.69786748087,9280,NA,NA,NA
"170",2013-04-05,9624.69787042072,10890,NA,NA,NA
"171",2013-04-12,10180.5978721902,12147,NA,NA,NA
"172",2013-04-19,10088.9978721408,11752,NA,NA,NA
"173",2013-04-26,9760.19787055314,10625,NA,NA,NA
"174",2013-05-03,9906.59786816554,10169,NA,NA,NA
"175",2013-05-10,9273.79786553518,8814,NA,NA,NA
"176",2013-05-17,9510.79786333018,9847,NA,NA,NA
"177",2013-05-24,9611.59786081418,9530,NA,NA,NA
"178",2013-05-31,8836.89785837363,8333,NA,NA,NA
"179",2013-06-07,8553.49785639921,9482,NA,NA,NA
"180",2013-06-14,9360.09785356592,8869,NA,NA,NA
"181",2013-06-21,8932.99785118689,8904,NA,NA,NA
"182",2013-06-28,8935.1978488347,8589,NA,NA,NA
"183",2013-07-05,8868.09784680272,8790,NA,NA,NA
"184",2013-07-12,8720.59784484298,8533,NA,NA,NA
"185",2013-07-19,8778.89784305679,8790,NA,NA,NA
"186",2013-07-26,8688.89784126032,8476,NA,NA,NA
"187",2013-08-02,8675.49783966077,8159,NA,NA,NA
"188",2013-08-09,8654.99783853898,8280,NA,NA,NA
"189",2013-08-16,8700.49783776405,8231,NA,NA,NA
"190",2013-08-23,8723.59783742343,8579,NA,NA,NA
"191",2013-08-30,8285.29783721655,7688,NA,NA,NA
"192",2013-09-06,8360.79783756215,8905,NA,NA,NA
"193",2013-09-13,8930.19783740441,8347,NA,NA,NA
"194",2013-09-20,8882.69783778604,8635,NA,NA,NA
"195",2013-09-27,8989.59783839686,9155,NA,NA,NA
"196",2013-10-04,9060.29783885471,9191,NA,NA,NA
"197",2013-10-11,9201.99783919157,8939,NA,NA,NA
"198",2013-10-18,9309.79783977176,9237,NA,NA,NA
"199",2013-10-25,9472.99784041927,9236,NA,NA,NA
"200",2013-11-01,9443.79784128603,9107,NA,NA,NA
"201",2013-11-08,9555.29784246429,9449,NA,NA,NA
"202",2013-11-15,9825.99784374088,9583,NA,NA,NA
"203",2013-11-22,9741.59784524226,9587,NA,NA,NA
"204",2013-11-29,9766.29784688665,9636,NA,NA,NA
"205",2013-12-06,10176.9978486515,9908,NA,NA,NA
"206",2013-12-13,10397.1978506652,10033,NA,NA,NA
"207",2013-12-20,10868.5978530159,10335,NA,NA,NA
"208",2013-12-27,9477.89785585998,6606,NA,NA,NA
"209",2014-01-03,9907.49551495595,11448,NA,NA,NA
"210",2014-01-10,12494.0409735771,11847,NA,NA,NA
"211",2014-01-17,12395.6773418877,11061,NA,NA,NA
"212",2014-01-24,11864.9500750692,10374,NA,NA,NA
"213",2014-01-31,11445.2228096298,10258,NA,NA,NA
"214",2014-02-07,11109.8591816522,10147,NA,NA,NA
"215",2014-02-14,10985.9501000198,10198,NA,NA,NA
"216",2014-02-21,10872.4955645709,10427,NA,NA,NA
"217",2014-02-28,10814.8592113522,10377,NA,NA,NA
"218",2014-03-07,10596.4046767202,9828,NA,NA,NA
"219",2014-03-14,10719.5658763775,10005,NA,NA,NA
"220",2014-03-21,10521.6658885718,9832,NA,NA,NA
"221",2014-03-28,9808.56590140419,9622,NA,NA,NA
"222",2014-04-04,9731.56591440906,9944,NA,NA,NA
"223",2014-04-11,10287.4659272175,9504,NA,NA,NA
"224",2014-04-18,10195.8659407506,8000,NA,NA,NA
"225",2014-04-25,9867.06595631482,9359,NA,NA,NA
"226",2014-05-02,10013.4659723491,10527,NA,NA,NA
"227",2014-05-09,9380.66598790823,8613,NA,NA,NA
"228",2014-05-16,9617.66600417754,9513,NA,NA,NA
"229",2014-05-23,9718.46602054366,9313,NA,NA,NA
"230",2014-05-30,8943.76603728478,8034,NA,NA,NA
"231",2014-06-06,8660.36605486748,9557,NA,NA,NA
"232",2014-06-13,9466.96607162079,9414,NA,NA,NA
"233",2014-06-20,9039.86608842308,8946,NA,NA,NA
"234",2014-06-27,9042.0661053122,8931,NA,NA,NA
"235",2014-07-04,8974.96612230405,8763,NA,NA,NA
"236",2014-07-11,8827.46613949198,8784,NA,NA,NA
"237",2014-07-18,8885.7661567201,9119,NA,NA,NA
"238",2014-07-25,8795.76617373249,8965,NA,NA,NA
"239",2014-08-01,8782.36619058835,8916,NA,NA,NA
"240",2014-08-08,8761.86620732059,8755,NA,NA,NA
"241",2014-08-15,8807.36622405917,8792,NA,NA,NA
"242",2014-08-22,8830.46624081198,8769,NA,NA,NA
"243",2014-08-29,8392.16625762166,8027,NA,NA,NA
"244",2014-09-05,8467.66627476907,9671,NA,NA,NA
"245",2014-09-12,9037.06629080348,9284,NA,NA,NA
"246",2014-09-19,8989.56630660938,9107,NA,NA,NA
"247",2014-09-26,9096.46632230671,9048,NA,NA,NA
"248",2014-10-03,9167.16633804891,9271,NA,NA,NA
"249",2014-10-10,9308.86635369498,9173,NA,NA,NA
"250",2014-10-17,9416.66636946678,9464,NA,NA,NA
"251",2014-10-24,9579.86638519476,9603,NA,NA,NA
"252",2014-10-31,9550.66640090139,9586,NA,NA,NA
"253",2014-11-07,9662.1664165753,9753,NA,NA,NA
"254",2014-11-14,9932.86643216519,10036,NA,NA,NA
"255",2014-11-21,9848.4664476597,9472,NA,NA,NA
"256",2014-11-28,9873.16646350243,9928,NA,NA,NA
"257",2014-12-05,10283.8664792944,10267,NA,NA,NA
"258",2014-12-12,10504.066495102,10550,NA,NA,NA
"259",2014-12-19,10975.4665108672,11681,NA,NA,NA
"260",2014-12-26,9584.76652597966,7837,NA,NA,NA
"261",2015-01-02,10014.3641963041,12286,NA,NA,NA
"262",2015-01-09,12600.9096654776,16237,NA,NA,NA
"263",2015-01-16,12502.5460403785,14866,NA,NA,NA
"264",2015-01-23,11971.8187767296,13934,NA,NA,NA
"265",2015-01-30,11552.0915112657,12900,NA,NA,NA
"266",2015-02-06,11216.7278809187,12039,NA,NA,NA
"267",2015-02-13,11092.8187952656,11822,NA,NA,NA
"268",2015-02-20,10979.3642543925,11434,NA,NA,NA
"269",2015-02-27,10921.7278949171,11472,NA,NA,NA
"270",2015-03-06,10703.2733531145,11469,NA,NA,NA
"271",2015-03-13,10826.434544182,10951,NA,NA,NA
"272",2015-03-20,10628.5345470105,10568,NA,NA,NA
"273",2015-03-27,9915.43454989496,10493,NA,NA,NA
"274",2015-04-03,9838.43455224513,9062,NA,NA,NA
"275",2015-04-10,10394.3345553135,10089,NA,NA,NA
"276",2015-04-17,10302.7345586644,11639,NA,NA,NA
"277",2015-04-24,9973.93456077918,10599,NA,NA,NA
"278",2015-05-01,10120.3345623158,10134,NA,NA,NA
"279",2015-05-08,9487.53456383977,8862,NA,NA,NA
"280",2015-05-15,9724.53456594237,10290,NA,NA,NA
"281",2015-05-22,9825.33456752194,10005,NA,NA,NA
"282",2015-05-29,9050.63456893526,8213,NA,NA,NA
"283",2015-06-05,8767.23457112343,10157,NA,NA,NA
"284",2015-06-12,9573.83457202606,9548,NA,NA,NA
"285",2015-06-19,9146.73457295259,9312,NA,NA,NA
"286",2015-06-26,9148.93457372627,9190,NA,NA,NA
"287",2015-07-03,9081.83457446195,9205,NA,NA,NA
"288",2015-07-10,8934.3345750837,9015,NA,NA,NA
"289",2015-07-17,8992.63457563082,8802,NA,NA,NA
"290",2015-07-24,8902.63457635429,8791,NA,NA,NA
"291",2015-07-31,8889.23457718103,8617,NA,NA,NA
"292",2015-08-07,8868.73457825959,8862,NA,NA,NA
"293",2015-08-14,8914.23457934435,9148,NA,NA,NA
"294",2015-08-21,8937.33458021289,9121,NA,NA,NA
"295",2015-08-28,8499.03458091157,9026,NA,NA,NA
"296",2015-09-04,8574.53458112275,7878,NA,NA,NA
"297",2015-09-11,9143.9345819783,9258,NA,NA,NA
"298",2015-09-18,9096.43458272826,9097,NA,NA,NA
"299",2015-09-25,9203.33458347773,9529,NA,NA,NA
"300",2015-10-02,9274.03458392601,9410,NA,NA,NA
"301",2015-10-09,9415.73458424845,9776,NA,NA,NA
"302",2015-10-16,9523.53458423767,9511,NA,NA,NA
"303",2015-10-23,9686.73458423848,9711,NA,NA,NA
"304",2015-10-30,9657.53458421688,9618,NA,NA,NA
"305",2015-11-06,9769.03458423181,9994,NA,NA,NA
"306",2015-11-13,10039.7345840387,9938,NA,NA,NA
"307",2015-11-20,9955.3345839396,9830,NA,NA,NA
"308",2015-11-27,9980.03458395651,9822,NA,NA,NA
"309",2015-12-04,10390.7345841196,10365,NA,NA,NA
"310",2015-12-11,10610.9345843064,10269,NA,NA,NA
"311",2015-12-18,11082.3345848096,10689,NA,NA,NA
"312",2015-12-25,9691.63458567657,8630,NA,NA,NA
