"","Week.ended","2.5%","50%","97.5%","fit"
"531",2020-03-06,628.475120389054,686.848580849326,740.612452405884,687.255223216021
"532",2020-03-13,1289.19941493392,1389.89480215448,1496.77831626716,1390.02350005988
"533",2020-03-20,1879.25574462394,2033.00485371143,2184.694823115,2032.5918425836
"534",2020-03-27,2486.05888227975,2687.37657188904,2893.39564651791,2686.18134134316
"535",2020-04-03,3117.82454809793,3372.48032063071,3640.83005873947,3370.32427349835
"536",2020-04-10,3711.55171936889,4029.81376861709,4368.15512082807,4027.94252749565
"537",2020-04-17,4311.36086367547,4696.53316914907,5097.41488071051,4693.56327286547
"538",2020-04-24,4900.77457090915,5358.07946905064,5826.74498894804,5353.74745893019
"539",2020-05-01,5420.00498396373,5964.85860185854,6498.3548266542,5960.9753492352
"540",2020-05-08,5960.65659057615,6592.51984149856,7180.11999533829,6583.42967892155
"541",2020-05-15,6511.32772749379,7219.95571608204,7878.31816057015,7211.47452871444
"542",2020-05-22,7033.36806329091,7812.38909026665,8553.7913577202,7807.74533422555
"543",2020-05-29,7549.96241754884,8397.17109975693,9200.33942480793,8388.65829173213
"544",2020-06-05,8050.97252179016,8988.2704651271,9904.18953660637,8983.04847319478
"545",2020-06-12,8551.34634170401,9570.79749832238,10544.3981506263,9564.72836848552
"546",2020-06-19,9050.82801069518,10147.308363431,11217.8835174281,10135.466659014
"547",2020-06-26,9523.08123015865,10716.2669217246,11865.7528481407,10707.2675727776
"548",2020-07-03,10003.625456378,11289.4486057082,12507.7211903212,11276.929811713
"549",2020-07-10,10490.0490158458,11868.0882926451,13215.2805536792,11856.45007867
"550",2020-07-17,10974.0196442533,12436.9084786381,13901.1163321227,12423.1875103497
"551",2020-07-24,11441.8297730378,13015.7244652926,14579.9648046546,12995.795425994
"552",2020-07-31,11909.0959843575,13577.2057664651,15267.2831368673,13562.6973461203
"553",2020-08-07,12366.0295198261,14145.8088814073,15900.7274226067,14129.5593191746
"554",2020-08-14,12808.3663372836,14718.0039187289,16580.1320368761,14696.3915307281
"555",2020-08-21,13240.5623774749,15272.7815115395,17242.3059263002,15252.4550162442
"556",2020-08-28,13687.8782626192,15821.1406279356,17915.7460032395,15807.8093426701
"557",2020-09-04,14151.3640407211,16391.3589047727,18587.03204014,16368.4836665088
"558",2020-09-11,14626.8200671277,16962.4098896567,19271.5727661948,16946.9953768477
"559",2020-09-18,15126.4309689119,17575.8926495937,20016.7293611585,17549.3712981778
"560",2020-09-25,15579.71957603,18164.2811767285,20723.1051023842,18143.4948150364
"561",2020-10-02,16061.8424278803,18781.5869765331,21454.0866287302,18743.4393553518
"562",2020-10-09,16549.4776228383,19410.0662512027,22167.6802462242,19355.6336939813
"563",2020-10-16,17054.9545093196,20022.5976081438,22906.5352732595,19980.3705167812
"564",2020-10-23,17566.9839458109,20644.0583124692,23615.1115211819,20614.6879318608
"565",2020-10-30,18053.0669816435,21246.2048605878,24376.0926772049,21231.6538643729
"566",2020-11-06,18539.5373866619,21846.4761571591,25093.2471295484,21853.2747913366
"567",2020-11-13,19087.9723638398,22502.9147064291,25855.9338827503,22500.1622573471
"568",2020-11-20,19618.6920164922,23146.5115073825,26677.3115748742,23151.8015617693
"569",2020-11-27,20137.0497854051,23801.207275421,27476.1074374098,23820.9096870762
"570",2020-12-04,20702.8585163022,24504.7067893921,28286.7440147306,24513.4064674824
"571",2020-12-11,21306.3750664718,25214.10450402,29087.3210763429,25226.93736774
"572",2020-12-18,21813.0221056019,25843.357507894,29885.7576707973,25862.9621991101
"573",2020-12-25,22344.792341017,26525.3842637877,30701.4006416615,26528.6958832736
"574",2021-01-01,23022.3379788493,27328.3975233953,31645.1244037106,27323.3681910116
"575",2021-01-08,23669.9883994674,28123.0621985684,32629.9175682723,28110.8837320529
"576",2021-01-15,24298.8796042474,28879.7563532367,33574.4208366843,28855.2294598041
"577",2021-01-22,24925.2027510383,29630.8818329538,34484.119989006,29600.8170877129
"578",2021-01-29,25514.4889595047,30342.0707039168,35340.9704963957,30315.1613704452
"579",2021-02-05,26065.779190058,31055.5415564283,36198.2731843969,31010.1053021833
"580",2021-02-12,26666.3050401035,31758.5954796256,37059.0660435334,31715.5543543623
"581",2021-02-19,27203.6756086723,32461.9262830025,37908.6791221795,32405.4317710704
"582",2021-02-26,27816.5572985782,33146.7730098536,38773.4754265956,33088.5342067286
"583",2021-03-05,28332.8374135465,33831.6165099119,39621.8162887809,33774.1126369914
"584",2021-03-12,28892.7594920496,34515.6453676131,40569.4134560911,34474.8037380515
"585",2021-03-19,29421.660477036,35148.1910949023,41372.7962940108,35114.9167357058
"586",2021-03-26,29904.046760067,35812.0118709719,42164.8805564263,35766.6494083886
"587",2021-04-02,30444.3240335496,36503.0789506696,42969.8747679265,36449.5535595277
"588",2021-04-09,30997.8578022726,37171.3369406151,43755.8246582456,37105.7183823982
"589",2021-04-16,31525.7481588104,37810.429490711,44534.9786093094,37769.0243749838
