"","Week.ended","signal","West.Midlands","fit","upr","lwr"
"1",2010-01-08,973.575476773749,1370,NA,NA,NA
"2",2010-01-15,1283.57327566069,1258,NA,NA,NA
"3",2010-01-22,1228.92601167887,1216,NA,NA,NA
"4",2010-01-29,1174.14046429765,1106,NA,NA,NA
"5",2010-02-05,1136.99742784658,1097,NA,NA,NA
"6",2010-02-12,1104.73352744692,1024,NA,NA,NA
"7",2010-02-19,1071.78623174895,1029,NA,NA,NA
"8",2010-02-26,1046.03941957145,1020,NA,NA,NA
"9",2010-03-05,1042.0193076734,1060,NA,NA,NA
"10",2010-03-12,1052.59481007502,941,NA,NA,NA
"11",2010-03-19,1042.54669928958,993,NA,NA,NA
"12",2010-03-26,1011.1951900572,970,NA,NA,NA
"13",2010-04-02,930.661880562,874,NA,NA,NA
"14",2010-04-09,917.216418135135,1010,NA,NA,NA
"15",2010-04-16,994.753360449767,998,NA,NA,NA
"16",2010-04-23,998.333700630305,971,NA,NA,NA
"17",2010-04-30,945.290578401303,994,NA,NA,NA
"18",2010-05-07,959.998252812842,821,NA,NA,NA
"19",2010-05-14,890.429232190325,935,NA,NA,NA
"20",2010-05-21,929.083161779179,930,NA,NA,NA
"21",2010-05-28,949.621107148307,962,NA,NA,NA
"22",2010-06-04,855.843238059959,807,NA,NA,NA
"23",2010-06-11,829.016905296347,931,NA,NA,NA
"24",2010-06-18,945.412592343507,894,NA,NA,NA
"25",2010-06-25,889.604610012215,894,NA,NA,NA
"26",2010-07-02,879.819998153799,924,NA,NA,NA
"27",2010-07-09,889.665149147048,855,NA,NA,NA
"28",2010-07-16,874.214654701406,867,NA,NA,NA
"29",2010-07-23,877.189941035107,837,NA,NA,NA
"30",2010-07-30,863.665901526355,869,NA,NA,NA
"31",2010-08-06,852.048866983082,894,NA,NA,NA
"32",2010-08-13,882.000453541798,893,NA,NA,NA
"33",2010-08-20,873.060273261606,905,NA,NA,NA
"34",2010-08-27,880.263253619418,901,NA,NA,NA
"35",2010-09-03,835.304708134524,784,NA,NA,NA
"36",2010-09-10,823.640612410564,877,NA,NA,NA
"37",2010-09-17,900.446245504722,856,NA,NA,NA
"38",2010-09-24,890.526757457189,920,NA,NA,NA
"39",2010-10-01,895.993430900406,892,NA,NA,NA
"40",2010-10-08,914.229726088752,931,NA,NA,NA
"41",2010-10-15,929.87364718442,988,NA,NA,NA
"42",2010-10-22,923.604189503169,936,NA,NA,NA
"43",2010-10-29,953.418622421067,892,NA,NA,NA
"44",2010-11-05,952.803831767466,943,NA,NA,NA
"45",2010-11-12,942.959961781763,956,NA,NA,NA
"46",2010-11-19,997.088750885431,972,NA,NA,NA
"47",2010-11-26,989.054938973475,919,NA,NA,NA
"48",2010-12-03,1001.14246961848,1016,NA,NA,NA
"49",2010-12-10,1024.57097307122,1114,NA,NA,NA
"50",2010-12-17,1045.5403648037,1121,NA,NA,NA
"51",2010-12-24,1084.99418813875,1159,NA,NA,NA
"52",2010-12-31,941.45778913096,1036,NA,NA,NA
"53",2011-01-07,980.915587129978,1264,NA,NA,NA
"54",2011-01-14,1288.70471086361,1390,NA,NA,NA
"55",2011-01-21,1229.636936566,1193,NA,NA,NA
"56",2011-01-28,1170.84425674145,986,NA,NA,NA
"57",2011-02-04,1131.72870967902,1066,NA,NA,NA
"58",2011-02-11,1097.94089958046,1062,NA,NA,NA
"59",2011-02-18,1062.68877647166,974,NA,NA,NA
"60",2011-02-25,1035.43740496101,961,NA,NA,NA
"61",2011-03-04,1030.75650748928,957,NA,NA,NA
"62",2011-03-11,1042.27057688013,964,NA,NA,NA
"63",2011-03-18,1032.58005614246,1060,NA,NA,NA
"64",2011-03-25,1000.24429528159,943,NA,NA,NA
"65",2011-04-01,919.006535346778,972,NA,NA,NA
"66",2011-04-08,902.944883755357,958,NA,NA,NA
"67",2011-04-15,978.523397533674,915,NA,NA,NA
"68",2011-04-22,981.309382532542,839,NA,NA,NA
"69",2011-04-29,929.476398957438,764,NA,NA,NA
"70",2011-05-06,949.128342143835,1028,NA,NA,NA
"71",2011-05-13,880.705231498342,968,NA,NA,NA
"72",2011-05-20,919.760217938754,921,NA,NA,NA
"73",2011-05-27,940.693589934625,946,NA,NA,NA
"74",2011-06-03,847.434449617549,807,NA,NA,NA
"75",2011-06-10,820.980246237248,895,NA,NA,NA
"76",2011-06-17,938.235577450062,899,NA,NA,NA
"77",2011-06-24,883.074944380969,952,NA,NA,NA
"78",2011-07-01,872.812667217944,867,NA,NA,NA
