"","Week.ended","signal","Yorkshire.and.The.Humber","fit","upr","lwr"
"1",2010-01-08,965.098612927005,1317,NA,NA,NA
"2",2010-01-15,1195.79174356142,1163,NA,NA,NA
"3",2010-01-22,1174.46845290364,1133,NA,NA,NA
"4",2010-01-29,1128.1831235335,1031,NA,NA,NA
"5",2010-02-05,1052.63426009972,987,NA,NA,NA
"6",2010-02-12,1024.05393624333,941,NA,NA,NA
"7",2010-02-19,1008.00726626486,960,NA,NA,NA
"8",2010-02-26,1013.63110515299,1040,NA,NA,NA
"9",2010-03-05,989.173483350243,952,NA,NA,NA
"10",2010-03-12,983.000539864512,984,NA,NA,NA
"11",2010-03-19,981.428811690756,965,NA,NA,NA
"12",2010-03-26,981.78498293249,965,NA,NA,NA
"13",2010-04-02,895.298081518029,768,NA,NA,NA
"14",2010-04-09,887.176538066247,937,NA,NA,NA
"15",2010-04-16,950.198680925518,995,NA,NA,NA
"16",2010-04-23,930.601224825068,880,NA,NA,NA
"17",2010-04-30,924.681254977964,964,NA,NA,NA
"18",2010-05-07,932.590934937678,870,NA,NA,NA
"19",2010-05-14,874.704489709896,944,NA,NA,NA
"20",2010-05-21,923.73165510767,896,NA,NA,NA
"21",2010-05-28,906.913742423356,983,NA,NA,NA
"22",2010-06-04,846.224579996702,827,NA,NA,NA
"23",2010-06-11,816.858756575454,902,NA,NA,NA
"24",2010-06-18,903.57518505984,834,NA,NA,NA
"25",2010-06-25,843.985616334191,863,NA,NA,NA
"26",2010-07-02,857.778430649548,851,NA,NA,NA
"27",2010-07-09,857.855770044505,814,NA,NA,NA
"28",2010-07-16,831.026968295159,829,NA,NA,NA
"29",2010-07-23,866.853345466331,857,NA,NA,NA
"30",2010-07-30,830.84795424605,858,NA,NA,NA
"31",2010-08-06,843.80341945947,849,NA,NA,NA
"32",2010-08-13,846.017421333134,844,NA,NA,NA
"33",2010-08-20,841.686342236205,850,NA,NA,NA
"34",2010-08-27,857.828945509131,895,NA,NA,NA
"35",2010-09-03,819.059663857119,788,NA,NA,NA
"36",2010-09-10,829.835900473583,866,NA,NA,NA
"37",2010-09-17,888.827663885408,830,NA,NA,NA
"38",2010-09-24,868.320856879198,907,NA,NA,NA
"39",2010-10-01,894.361111171918,885,NA,NA,NA
"40",2010-10-08,872.556197279477,853,NA,NA,NA
"41",2010-10-15,905.083649807276,907,NA,NA,NA
"42",2010-10-22,931.458934703649,1002,NA,NA,NA
"43",2010-10-29,935.913923241996,917,NA,NA,NA
"44",2010-11-05,923.783793966565,923,NA,NA,NA
"45",2010-11-12,954.275001435803,916,NA,NA,NA
"46",2010-11-19,964.808145903746,940,NA,NA,NA
"47",2010-11-26,966.816627383226,960,NA,NA,NA
"48",2010-12-03,976.810673748678,888,NA,NA,NA
"49",2010-12-10,1026.62235887016,1220,NA,NA,NA
"50",2010-12-17,1049.36984251661,1097,NA,NA,NA
"51",2010-12-24,1068.82071946225,1098,NA,NA,NA
