"","Week.ended","lwr","50%","upr","fit"
"531",2020-03-06,1058.04607968652,1105.62291527801,1154.63824270002,1105.84955994949
"532",2020-03-13,2142.45637061974,2211.39313671573,2284.30133486615,2212.30511682825
"533",2020-03-20,3144.01487371954,3229.57449365551,3319.05178666246,3229.32090629188
"534",2020-03-27,4135.94282498522,4233.36667657184,4340.58428353514,4233.96597019364
"535",2020-04-03,5183.32057391668,5297.03394522926,5411.9931119709,5297.03390116722
"536",2020-04-10,6205.79541905673,6338.64449749413,6472.34189992528,6337.65656314995
"537",2020-04-17,7225.75694961355,7372.54600665866,7517.0752975258,7369.74630467319
"538",2020-04-24,8252.5029946723,8405.23669369119,8562.65228123934,8406.04267828258
"539",2020-05-01,9206.45163422128,9379.09196997996,9555.61882018412,9380.7770134931
"540",2020-05-08,10225.4320215208,10402.8488760705,10586.0918063387,10402.461132564
"541",2020-05-15,11208.8643094802,11401.3692444095,11602.9108866892,11405.4451273913
"542",2020-05-22,12146.2517040834,12339.2254349793,12552.4724525219,12344.8365623239
"543",2020-05-29,13044.4143458269,13245.5480856042,13476.4903050118,13252.7033618007
"544",2020-06-05,14025.1276821649,14239.9205186447,14489.4201189767,14246.0141968688
"545",2020-06-12,14941.4787645916,15172.480934431,15437.1569509483,15179.628102133
"546",2020-06-19,15886.1330011352,16121.3492047758,16399.1946288694,16127.3842049545
"547",2020-06-26,16820.5387088684,17068.321253143,17365.723017468,17074.1428042265
"548",2020-07-03,17719.1098341846,17984.3236607974,18295.5119900828,17989.2986083284
"549",2020-07-10,18641.0819530414,18932.7355104,19258.7305875583,18939.447841157
"550",2020-07-17,19541.1972543966,19844.7146848474,20181.1744748426,19851.0158833097
"551",2020-07-24,20446.290284607,20765.6853251661,21119.1799716957,20773.1510739446
"552",2020-07-31,21355.2907329006,21689.7466246562,22056.8848726038,21695.9582143801
"553",2020-08-07,22264.7754971181,22605.9173154372,22977.2373505356,22612.8835510497
"554",2020-08-14,23187.1703047288,23535.2277257443,23911.594040276,23543.413722969
"555",2020-08-21,24074.2152584511,24430.4328812418,24836.2390363666,24435.1519449525
"556",2020-08-28,24954.4228713252,25332.0819634114,25753.7859275872,25337.3132941923
"557",2020-09-04,25908.4742131758,26296.1523250415,26713.3348518504,26297.4737674891
"558",2020-09-11,26834.6952431548,27233.3028326539,27651.1033270319,27236.1866687866
"559",2020-09-18,27782.1614238737,28192.246446755,28634.0977399744,28198.6460362794
"560",2020-09-25,28701.3446882842,29133.0123231178,29579.8221623294,29137.8964385246
"561",2020-10-02,29673.2867683889,30101.1625732227,30573.534351636,30107.5644475243
"562",2020-10-09,30639.3969464486,31101.5005715574,31565.0860258527,31103.76193965
"563",2020-10-16,31634.298879591,32100.4669141669,32575.808063821,32103.8853944051
"564",2020-10-23,32615.1040645715,33080.8054781007,33585.1474163665,33090.55253759
"565",2020-10-30,33615.9242210395,34103.3985029936,34608.2805509463,34108.8026980807
"566",2020-11-06,34626.320044801,35131.3207414597,35653.8658348238,35136.2754832267
"567",2020-11-13,35635.0326215464,36156.6412114695,36690.9890014109,36163.1658008403
"568",2020-11-20,36655.9835421787,37193.9913910458,37749.801416654,37197.7895735891
"569",2020-11-27,37739.2180007747,38272.1420895153,38829.055145902,38276.2808023037
"570",2020-12-04,38815.1002438531,39376.1421690504,39936.561541134,39380.4532509054
"571",2020-12-11,39928.9181542817,40500.9314169955,41097.463599447,40504.8740559818
"572",2020-12-18,41035.3166179757,41605.289543734,42208.783435828,41613.5717587465
"573",2020-12-25,42113.2608199959,42694.7670412763,43317.9676557372,42706.168260756
"574",2021-01-01,43304.1745431524,43889.9217329672,44519.7446697027,43902.9746273024
"575",2021-01-08,44579.4300527492,45180.829069428,45823.2604184169,45193.6317785867
"576",2021-01-15,45825.4207902069,46428.83763278,47089.4834774272,46446.0917967341
"577",2021-01-22,46996.5139585572,47616.3737717807,48274.6366804577,47628.4652092265
"578",2021-01-29,48126.1526285662,48777.3315648868,49447.1725177251,48784.3978887749
"579",2021-02-05,49262.7574808072,49910.406092215,50599.6308907418,49925.7854015219
"580",2021-02-12,50394.900831248,51060.9905093511,51761.5644179747,51072.4940005065
"581",2021-02-19,51522.4597522075,52177.9252981337,52901.7608732634,52195.3661195693
"582",2021-02-26,52636.355556882,53292.6826612176,54023.503775981,53310.4750244395
"583",2021-03-05,53716.0757768602,54411.5327067256,55166.3602152242,54425.5842169324
"584",2021-03-12,54807.849165361,55524.4207140014,56310.8906746505,55541.3012953636
"585",2021-03-19,55828.3676158366,56553.8251763819,57359.9624926532,56567.5773308135
"586",2021-03-26,56821.8939288872,57567.8735663748,58390.0411484821,57581.4847424452
"587",2021-04-02,57883.0069947228,58640.9270321155,59473.4613779615,58653.81260915
"588",2021-04-09,58922.5672896193,59696.4517047906,60542.080084807,59703.6908501687
"589",2021-04-16,59946.6621382383,60737.4037016169,61603.395745144,60745.0401792499
"590",2021-04-23,60975.9504005553,61786.0745931964,62650.4212969154,61790.595815484
"591",2021-04-30,61936.2491903992,62772.4533150147,63654.749093266,62774.5853000886
"592",2021-05-07,62960.5193546139,63804.9979682872,64702.0700219354,63805.5243616521
"593",2021-05-14,63973.0328281153,64813.0153235989,65751.3894721296,64817.7676633342
"594",2021-05-21,64911.0929543389,65763.9824233489,66716.1446920957,65766.4193970929
"595",2021-05-28,65819.0442169721,66677.4806475026,67642.638380738,66683.543944591
"596",2021-06-04,66802.9803610618,67680.1601574596,68672.8836426382,67686.1154110695
"597",2021-06-11,67729.1245811809,68622.7184388955,69627.0309014025,68628.9904863134
"598",2021-06-18,68668.348215109,69575.3489076861,70599.6662849245,69586.0046868226
"599",2021-06-25,69616.7751157077,70531.3572551476,71567.9157522427,70542.0250608146
"600",2021-07-02,70521.6628041753,71455.876600968,72509.3365705223,71466.4359273866
"601",2021-07-09,71462.8284896229,72404.3006295033,73483.1888602595,72425.8470511394
"602",2021-07-16,72357.6217664053,73329.2309317332,74413.148519588,73346.6764855604
"603",2021-07-23,73279.3500959372,74257.6502603247,75345.2925151104,74278.0655156748
"604",2021-07-30,74153.5699210852,75192.6160271238,76315.0801665653,75210.1306035401
"605",2021-08-06,75080.1349525796,76119.1041923431,77248.0869237034,76136.3078830165
"606",2021-08-13,76003.070635092,77067.6738156978,78197.7358868048,77076.0884842485
"607",2021-08-20,76892.6235384058,77965.6052170281,79120.136253165,77977.0720931486
"608",2021-08-27,77806.4543717412,78867.8021531636,80042.2925001162,78888.4764450668
"609",2021-09-03,78733.6179364587,79840.5979886066,81024.7853069896,79857.8809424017
"610",2021-09-10,79663.7120066929,80785.2902443182,81984.9221966814,80805.838944027
"611",2021-09-17,80611.8521755481,81749.4020486161,82967.6626983874,81777.5416623473
"612",2021-09-24,81555.4378383541,82697.11874753,83941.1010691602,82726.0386365883
"613",2021-10-01,82530.3707310801,83673.1794705396,84929.3707016356,83704.9490554456
"614",2021-10-08,83500.077692355,84682.1600942985,85924.7268146424,84710.3939915028
"615",2021-10-15,84507.7613772839,85691.2004863346,86963.1889699013,85719.7638654119
"616",2021-10-22,85515.3941428774,86676.5211115674,87970.1156464026,86715.6755262383
"617",2021-10-29,86517.414642455,87712.7204485116,88998.3202578087,87743.1655353873
"618",2021-11-05,87530.7942258139,88755.1937297265,90046.3937467281,88779.8759255283
"619",2021-11-12,88552.6572098185,89789.0166879809,91111.8496877731,89815.9965023769
"620",2021-11-19,89560.1001932826,90839.4232560725,92193.7469326852,90859.8538778806
"621",2021-11-26,90646.2744712773,91925.4491633635,93278.4482590652,91947.5791187592
"622",2021-12-03,91748.0597943009,93039.1616662476,94399.6470363902,93060.9885164861
"623",2021-12-10,92838.9747033628,94169.332235077,95562.2913378568,94194.6408797795
"624",2021-12-17,93967.1769952487,95281.7071438514,96697.8204433042,95312.5661823965
"625",2021-12-24,95040.3090679747,96380.8219974636,97817.3694843509,96414.3930489484
"626",2021-12-31,96241.7596506005,97590.695897675,99027.2023187373,97620.4281257745
"627",2022-01-07,97533.1250646606,98895.7216721834,100333.845779856,98920.3193147709
"628",2022-01-14,98790.4428745211,100159.111508977,101617.616318809,100182.013832349
"629",2022-01-21,99970.7611450277,101346.418972872,102819.546279115,101373.623325719
"630",2022-01-28,101119.229089782,102507.964355658,104004.156506035,102538.79505274
"631",2022-02-04,102233.994907925,103655.137430644,105167.034570226,103689.42420459
"632",2022-02-11,103377.2806167,104805.036274262,106353.081978057,104845.381966768
"633",2022-02-18,104526.646576162,105939.384083751,107500.38897465,105977.510578839
"634",2022-02-25,105636.652189239,107056.369265611,108646.825932088,107101.878778375
