"","Week.ended","respiratory","signal","fit","upr","lwr"
"496",2019-07-05,1076,1077.744602723,NA,NA,NA
"497",2019-07-12,1081,1074.3270510798,NA,NA,NA
"498",2019-07-19,1024,1057.23520402817,NA,NA,NA
"499",2019-07-26,996,1048.4881551071,NA,NA,NA
"500",2019-08-02,1116,1056.9510541451,NA,NA,NA
"501",2019-08-09,1048,1029.85280881772,NA,NA,NA
"502",2019-08-16,1033,1016.71714517408,NA,NA,NA
"503",2019-08-23,981,989.128023727757,NA,NA,NA
"504",2019-08-30,854,956.112870690643,NA,NA,NA
"505",2019-09-06,1125,1050.72788752451,NA,NA,NA
"506",2019-09-13,1028,1033.14654522685,NA,NA,NA
"507",2019-09-20,1056,1075.02513513591,NA,NA,NA
"508",2019-09-27,1045,1096.22195612617,NA,NA,NA
"509",2019-10-04,1114,1134.06795109589,NA,NA,NA
"510",2019-10-11,1209,1186.84694534035,NA,NA,NA
"511",2019-10-18,1236,1243.36351273792,NA,NA,NA
"512",2019-10-25,1252,1271.89659732552,NA,NA,NA
"513",2019-11-01,1333,1318.12739083837,NA,NA,NA
"514",2019-11-08,1363,1378.49516697661,NA,NA,NA
"515",2019-11-15,1451,1399.65417641868,NA,NA,NA
"516",2019-11-22,1423,1395.53850134962,NA,NA,NA
"517",2019-11-29,1566,1493.26712413819,NA,NA,NA
"518",2019-12-06,1505,1567.31639393986,NA,NA,NA
"519",2019-12-13,1637,1679.19973981283,NA,NA,NA
"520",2019-12-20,1839,1426.17413208157,NA,NA,NA
"521",2019-12-27,1653.5,1427.38220554178,NA,NA,NA
"522",2020-01-03,1653.5,2274.48418123607,NA,NA,NA
"523",2020-01-10,2477,2303.15981411604,NA,NA,NA
"524",2020-01-17,2189,2083.71483777744,NA,NA,NA
"525",2020-01-24,1893,1917.04090283111,NA,NA,NA
"526",2020-01-31,1746,1772.95456114546,NA,NA,NA
"527",2020-02-07,1572,1676.05588133951,NA,NA,NA
"528",2020-02-14,1602,1653.13298945271,NA,NA,NA
"529",2020-02-21,1619,1638.65003974704,NA,NA,NA
"530",2020-02-28,1547,1570.30492946589,NA,NA,NA
"531",2020-03-06,1583,NA,1577.63542241247,2074.29862709311,1080.97221773182
"532",2020-03-13,1508,NA,1510.63542241247,2038.90350119373,982.367343631206
"533",2020-03-20,1546,NA,1369.53542241247,1927.62142585177,811.44941897317
"534",2020-03-27,1539,NA,1344.63542241248,1931.02506370097,758.245781123982
"535",2020-04-03,1972,NA,1448.23542241245,2061.62407211674,834.846772708164
"536",2020-04-10,1778,NA,1414.53542241246,2053.78377771864,775.287067106288
"537",2020-04-17,1790,NA,1312.83542241248,1976.93728503391,648.733559791052
"538",2020-04-24,1578,NA,1310.43542241247,1998.49363805476,622.377206770183
"539",2020-05-01,1272,NA,1188.43542241248,1899.64350187196,477.227342952991
"540",2020-05-08,923,NA,1192.63542241246,1926.26322754532,459.007617279604
"541",2020-05-15,1144,NA,1167.83542241247,1923.21782930295,412.453015521993
